 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 450514 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:29 1.195  WFC   40.1  180  g                                
 450515 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:30 1.194  WFC   40.1  180  g                                
 450516 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:31 1.194  WFC   40.1  180  g                                
 450517 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:33 1.194  WFC   40.0  180  g                                
 450518 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:34 1.193  WFC   39.6  180  g                                
 450519 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:35 1.193  WFC   39.5  180  g                                
 450520 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:37 1.192  WFC   40.1  180  g                                
 450521 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:38 1.192  WFC   40.1  180  g                                
 450522 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:39 1.192  WFC   39.5  180  g                                
 450523 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:40 1.192  WFC   39.6  180  g                                
 450524 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:42 1.191  WFC   40.1  180  g                                
 450525 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:43 1.191  WFC   40.1  180  g                                
 450526 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:44 1.191  WFC   40.1  180  g                                
 450527 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:46 1.190  WFC   39.5  180  g                                
 450528 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:47 1.190  WFC   40.1  180  g                                
 450529 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:48 1.190  WFC   40.1  180  g                                
 450530 1244+6135        12:44:26.29 +61:35:14.9 2000.00  21:49 1.190  WFC   40.1  180  g                                
 450531 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:51 1.190  WFC   39.5  180  g                                
 450532 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:52 1.190  WFC   39.6  180  g                                
 450533 1244+6135        12:44:26.30 +61:35:15.0 2000.00  21:53 1.189  WFC   40.1  180  g                                
 450534 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:55 1.189  WFC   40.0  180  g                                
 450535 1244+6135        12:44:26.29 +61:35:15.0 2000.00  21:56 1.189  WFC   40.1  180  g                                
 450536 1244+6135        12:44:26.29 +61:35:14.9 2000.00  21:57 1.189  WFC   39.5  180  g                                
 450537 1244+6135        12:44:26.30 +61:35:14.9 2000.00  21:58 1.189  WFC   40.1  180  g                                
 450538 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:00 1.189  WFC   40.0  180  g                                
 450539 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:01 1.189  WFC   39.6  180  g                                
 450540 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:02 1.189  WFC   40.0  180  g                                
 450541 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:04 1.189  WFC   39.6  180  g                                
 450542 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:05 1.189  WFC   40.1  180  g                                
 450543 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:06 1.189  WFC   40.1  180  g                                
 450544 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:07 1.189  WFC   40.1  180  g                                
 450545 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:09 1.190  WFC   40.1  180  g                                
 450546 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:10 1.190  WFC   40.1  180  g                                
 450547 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:11 1.190  WFC   40.1  180  g                                
 450548 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:13 1.190  WFC   40.1  180  g                                
 450549 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:14 1.190  WFC   40.1  180  g                                
 450550 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:15 1.190  WFC   40.1  180  g                                
 450551 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:16 1.191  WFC   40.1  180  g                                
 450552 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:18 1.191  WFC   40.1  180  g                                
 450553 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:19 1.191  WFC   40.1  180  g                                
 450554 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:20 1.191  WFC   40.1  180  g                                
 450555 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:22 1.192  WFC   40.1  180  g                                
 450556 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:23 1.192  WFC   40.2  180  g                                
 450557 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:24 1.192  WFC   40.1  180  g                                
 450558 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:25 1.193  WFC   40.1  180  g                                
 450559 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:27 1.193  WFC   40.1  180  g                                
 450560 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:28 1.193  WFC   39.5  180  g                                
 450561 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:29 1.194  WFC   40.1  180  g                                
 450562 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:31 1.194  WFC   40.1  180  g                                
 450563 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:32 1.195  WFC   39.6  180  g                                
 450564 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:33 1.195  WFC   40.1  180  g                                
 450565 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:34 1.196  WFC   40.1  180  g                                
 450566 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:36 1.196  WFC   39.5  180  g                                
 450567 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:37 1.197  WFC   40.1  180  g                                
 450568 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:38 1.197  WFC   40.1  180  g                                
 450569 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:40 1.198  WFC   40.1  180  g                                
 450570 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:41 1.198  WFC   40.1  180  g                                
 450571 1244+6135        12:44:26.29 +61:35:15.0 2000.00  22:42 1.199  WFC   40.1  180  g                                
 450572 1244+6135        12:44:26.30 +61:35:15.0 2000.00  22:43 1.200  WFC   40.1  180  g                                
 450573 1244+6135        12:44:26.30 +61:35:14.9 2000.00  22:45 1.200  WFC   39.5  180  g                                
 450574 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:46 1.201  WFC   40.1  180  g                                
 450575 1244+6135        12:44:26.29 +61:35:14.9 2000.00  22:47 1.201  WFC   39.6  180  g                                
