 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 450712 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:07 1.171  WFC   40.1  180  g                                
 450713 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:09 1.174  WFC   40.1  180  g                                
 450714 1429+4145        14:29:55.99 +41:45:16.9 2000.00  02:10 1.177  WFC   40.1  180  g                                
 450715 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:11 1.180  WFC   40.1  180  g                                
 450716 1429+4145        14:29:55.99 +41:45:17.0 2000.00  02:12 1.183  WFC   40.0  180  g                                
 450718 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:16 1.047  WFC   40.0  180  g                                
 450719 1604+4143        16:04:50.19 +41:43:29.0 2000.00  02:17 1.047  WFC   40.1  180  g                                
 450720 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:19 1.048  WFC   40.1  180  g                                
 450721 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:20 1.050  WFC   39.5  180  g                                
 450722 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:21 1.051  WFC   39.5  180  g                                
 450723 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:22 1.052  WFC   40.1  180  g                                
 450724 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:24 1.053  WFC   40.1  180  g                                
 450725 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:25 1.054  WFC   39.5  180  g                                
 450726 1604+4143        16:04:50.19 +41:43:29.0 2000.00  02:26 1.055  WFC   40.1  180  g                                
 450727 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:28 1.056  WFC   40.1  180  g                                
 450728 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:29 1.057  WFC   39.6  180  g                                
 450729 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:30 1.059  WFC   40.1  180  g                                
 450730 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:31 1.060  WFC   40.0  180  g                                
 450731 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:33 1.061  WFC   40.1  180  g                                
 450732 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:34 1.062  WFC   40.3  180  g                                
 450733 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:35 1.064  WFC   40.0  180  g                                
 450734 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:37 1.065  WFC   40.1  180  g                                
 450735 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:38 1.066  WFC   40.1  180  g                                
 450736 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:39 1.068  WFC   40.1  180  g                                
 450737 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:40 1.069  WFC   39.6  180  g                                
 450738 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:42 1.071  WFC   39.5  180  g                                
 450739 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:43 1.072  WFC   40.1  180  g                                
 450740 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:44 1.074  WFC   40.1  180  g                                
 450741 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:46 1.075  WFC   40.1  180  g                                
 450742 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:47 1.077  WFC   39.5  180  g                                
 450743 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:48 1.078  WFC   39.5  180  g                                
 450744 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:49 1.080  WFC   40.1  180  g                                
 450745 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:51 1.082  WFC   40.0  180  g                                
 450746 1604+4143        16:04:50.20 +41:43:28.9 2000.00  02:52 1.083  WFC   39.5  180  g                                
 450747 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:53 1.085  WFC   39.6  180  g                                
 450748 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:55 1.087  WFC   39.5  180  g                                
 450749 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:56 1.088  WFC   39.5  180  g                                
 450750 1604+4143        16:04:50.20 +41:43:29.0 2000.00  02:57 1.090  WFC   40.1  180  g                                
 450751 1604+4143        16:04:50.19 +41:43:28.9 2000.00  02:58 1.092  WFC   40.1  180  g                                
 450752 1604+4143        16:04:50.18 +41:43:29.0 2000.00  03:00 1.094  WFC   40.0  180  g                                
 450753 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:01 1.096  WFC   39.6  180  g                                
 450754 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:02 1.098  WFC   40.1  180  g                                
 450755 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:04 1.100  WFC   40.1  180  g                                
 450756 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:05 1.102  WFC   40.1  180  g                                
 450757 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:06 1.104  WFC   40.1  180  g                                
 450758 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:07 1.106  WFC   40.1  180  g                                
 450759 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:09 1.108  WFC   39.6  180  g                                
 450760 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:10 1.110  WFC   40.1  180  g                                
 450761 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:11 1.112  WFC   40.1  180  g                                
 450762 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:13 1.114  WFC   40.1  180  g                                
 450763 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:14 1.116  WFC   40.1  180  g                                
 450764 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:15 1.118  WFC   40.1  180  g                                
 450765 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:16 1.120  WFC   40.1  180  g                                
 450766 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:18 1.123  WFC   40.1  180  g                                
 450767 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:19 1.125  WFC   40.1  180  g                                
 450768 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:20 1.127  WFC   40.1  180  g                                
 450769 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:22 1.130  WFC   40.1  180  g                                
 450770 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:23 1.132  WFC   39.6  180  g                                
 450771 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:24 1.134  WFC   40.1  180  g                                
 450772 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:25 1.137  WFC   40.0  180  g                                
 450773 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:27 1.139  WFC   40.1  180  g                                
 450774 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:28 1.142  WFC   40.1  180  g                                
 450775 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:29 1.144  WFC   40.1  180  g                                
 450776 1604+4143        16:04:50.18 +41:43:29.0 2000.00  03:31 1.147  WFC   40.1  180  g                                
 450777 1604+4143        16:04:50.19 +41:43:29.1 2000.00  03:32 1.150  WFC   40.1  180  g                                
 450778 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:33 1.152  WFC   40.1  180  g                                
 450779 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:34 1.155  WFC   40.1  180  g                                
 450780 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:36 1.158  WFC   40.1  180  g                                
 450781 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:37 1.161  WFC   40.1  180  g                                
 450782 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:38 1.163  WFC   40.1  180  g                                
 450783 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:40 1.166  WFC   40.1  180  g                                
 450784 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:41 1.169  WFC   40.1  180  g                                
 450785 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:42 1.172  WFC   39.5  180  g                                
 450786 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:43 1.175  WFC   40.1  180  g                                
 450787 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:45 1.178  WFC   40.0  180  g                                
 450788 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:46 1.181  WFC   40.1  180  g                                
 450789 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:47 1.184  WFC   40.1  180  g                                
 450790 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:49 1.187  WFC   39.0  180  g                                
 450791 1604+4143        16:04:50.19 +41:43:29.0 2000.00  03:50 1.190  WFC   40.1  180  g                                
 450792 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:51 1.193  WFC   39.0  180  g                                
 450793 1604+4143        16:04:50.20 +41:43:28.9 2000.00  03:52 1.197  WFC   40.1  180  g                                
 450794 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:54 1.200  WFC   40.1  180  g                                
 450795 1604+4143        16:04:50.20 +41:43:29.0 2000.00  03:55 1.203  WFC   40.1  180  g                                
 450796 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:56 1.207  WFC   39.5  180  g                                
 450797 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:58 1.210  WFC   40.1  180  g                                
 450798 1604+4143        16:04:50.19 +41:43:28.9 2000.00  03:59 1.213  WFC   39.6  180  g                                
 450799 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:00 1.217  WFC   40.1  180  g                                
 450800 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:01 1.220  WFC   40.1  180  g                                
 450801 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:03 1.224  WFC   39.6  180  g                                
 450802 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:04 1.228  WFC   40.1  180  g                                
 450803 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:05 1.231  WFC   39.6  180  g                                
 450805 2205+1155        22:05:54.00 +11:55:54.0 2000.00  04:09 1.477  WFC  180.0  180  g                                
 450806 1604+4143        16:04:50.20 +41:43:28.8 2000.00  04:18 1.269  WFC   39.6  180  g                                
 450807 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:19 1.274  WFC   40.1  180  g                                
 450808 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:20 1.278  WFC   39.6  180  g                                
 450809 1604+4143        16:04:50.19 +41:43:28.9 2000.00  04:22 1.282  WFC   40.0  180  g                                
 450810 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:23 1.286  WFC   40.0  180  g                                
 450811 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:24 1.291  WFC   40.1  180  g                                
 450812 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:26 1.295  WFC   40.1  180  g                                
 450813 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:27 1.300  WFC   40.1  180  g                                
 450814 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:28 1.304  WFC   40.1  180  g                                
 450815 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:29 1.309  WFC   39.6  180  g                                
 450816 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:31 1.313  WFC   39.5  180  g                                
 450817 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:32 1.318  WFC   40.1  180  g                                
 450818 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:33 1.323  WFC   40.0  180  g                                
 450819 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:35 1.328  WFC   40.1  180  g                                
 450820 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:36 1.333  WFC   40.1  180  g                                
 450821 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:37 1.338  WFC   40.1  180  g                                
 450822 1604+4143        16:04:50.19 +41:43:28.9 2000.00  04:38 1.343  WFC   40.1  180  g                                
 450823 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:40 1.348  WFC   40.1  180  g                                
 450824 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:41 1.353  WFC   40.1  180  g                                
 450825 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:42 1.358  WFC   40.1  180  g                                
 450826 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:44 1.363  WFC   40.1  180  g                                
 450827 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:45 1.369  WFC   39.5  180  g                                
 450828 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:46 1.374  WFC   39.5  180  g                                
 450829 1604+4143        16:04:50.19 +41:43:28.9 2000.00  04:47 1.380  WFC   40.1  180  g                                
 450830 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:49 1.385  WFC   40.1  180  g                                
 450831 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:50 1.391  WFC   40.1  180  g                                
 450832 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:51 1.396  WFC   39.5  180  g                                
 450833 1604+4143        16:04:50.19 +41:43:28.9 2000.00  04:53 1.402  WFC   39.5  180  g                                
 450834 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:54 1.408  WFC   40.0  180  g                                
 450835 1604+4143        16:04:50.20 +41:43:28.9 2000.00  04:55 1.414  WFC   40.0  180  g                                
 450836 1604+4143        16:04:50.19 +41:43:28.9 2000.00  04:56 1.420  WFC   40.1  180  g                                
 450837 1604+4143        16:04:50.20 +41:43:29.0 2000.00  04:58 1.426  WFC   40.1  180  g                                
 450838 1604+4143        16:04:50.19 +41:43:29.0 2000.00  04:59 1.432  WFC   40.1  180  g                                
 450839 1604+4143        16:04:50.19 +41:43:28.9 2000.00  05:00 1.438  WFC   40.1  180  g                                
 450840 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:02 1.444  WFC   40.1  180  g                                
 450841 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:03 1.451  WFC   40.1  180  g                                
 450842 1604+4143        16:04:50.20 +41:43:29.0 2000.00  05:04 1.457  WFC   40.1  180  g                                
 450843 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:05 1.464  WFC   39.5  180  g                                
 450844 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:07 1.470  WFC   40.1  180  g                                
 450845 1604+4143        16:04:50.19 +41:43:28.9 2000.00  05:08 1.477  WFC   40.1  180  g                                
 450846 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:09 1.484  WFC   40.1  180  g                                
 450847 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:11 1.491  WFC   40.0  180  g                                
 450848 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:12 1.497  WFC   39.6  180  g                                
 450849 1604+4143        16:04:50.20 +41:43:29.0 2000.00  05:13 1.505  WFC   40.1  180  g                                
 450850 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:15 1.512  WFC   40.1  180  g                                
 450851 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:16 1.519  WFC   40.0  180  g                                
 450852 1604+4143        16:04:50.20 +41:43:29.0 2000.00  05:17 1.526  WFC   40.1  180  g                                
 450853 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:18 1.534  WFC   40.1  180  g                                
 450854 1604+4143        16:04:50.19 +41:43:28.9 2000.00  05:20 1.541  WFC   40.1  180  g                                
 450855 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:21 1.549  WFC   40.1  180  g                                
 450856 1604+4143        16:04:50.20 +41:43:28.9 2000.00  05:22 1.556  WFC   40.0  180  g                                
 450857 1604+4143        16:04:50.20 +41:43:29.0 2000.00  05:24 1.564  WFC   40.1  180  g                                
 450858 1604+4143        16:04:50.20 +41:43:29.0 2000.00  05:25 1.572  WFC   40.1  180  g                                
 450859 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:26 1.580  WFC   40.0  180  g                                
 450860 1604+4143        16:04:50.19 +41:43:29.0 2000.00  05:27 1.588  WFC   40.1  180  g                                
 450861 1604+4143        16:04:50.19 +41:43:28.9 2000.00  05:29 1.596  WFC   40.1  180  g                                
