 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517824 skyflat g 5s     15:02:01.53 +29:55:09.9 2000.00  20:35 1.009  WFC    5.1  180  g                                
 517825 skyflat g 5s     15:02:02.30 +29:55:09.9 2000.00  20:36 1.010  WFC    5.1  180  g                                
 517826 skyflat g 7s     15:02:03.07 +29:55:10.0 2000.00  20:36 1.010  WFC    7.1  180  g                                
 517827 skyflat g 10s    15:02:03.84 +29:55:10.0 2000.00  20:37 1.010  WFC    9.5  180  g                                
 517828 skyflat g 17s    15:02:01.53 +29:55:10.0 2000.00  20:38 1.011  WFC   17.1  180  g                                
 517829 skyflat g 25s    15:02:00.76 +29:55:09.9 2000.00  20:39 1.012  WFC   25.1  180  g                                
 517830 skyflat g 35s    15:01:59.99 +29:55:10.0 2000.00  20:40 1.012  WFC   35.1  180  g                                
 517831 skyflat g 45s    15:01:59.22 +29:55:09.9 2000.00  20:42 1.013  WFC   45.1  180  g                                
 517832 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  20:47 1.455  WFC   60.1  180  g                                
 517833 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  20:49 1.464  WFC   60.1  180  g                                
 517834 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  20:50 1.475  WFC   60.0  180  g                                
 517835 sdss1208+35 60s  12:08:39.49 +35:50:35.0 2000.00  20:52 1.484  WFC   59.6  180  g                                
 517836 sdss1208+35 60s  12:08:39.49 +35:50:35.0 2000.00  20:54 1.494  WFC   60.1  180  g                                
 517837 sdss1208+35 60s  12:08:39.49 +35:50:35.0 2000.00  20:55 1.503  WFC   59.5  180  g                                
 517838 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  20:57 1.513  WFC   60.1  180  g                                
 517839 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  20:59 1.522  WFC   60.0  180  g                                
 517840 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:00 1.532  WFC   60.1  180  g                                
 517841 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:02 1.542  WFC   60.0  180  g                                
 517842 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:03 1.553  WFC   60.0  180  g                                
 517843 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:05 1.563  WFC   60.1  180  g                                
 517844 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:07 1.574  WFC   60.1  180  g                                
 517845 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:08 1.585  WFC   60.0  180  g                                
 517846 sdss1208+35 60s  12:08:39.49 +35:50:35.0 2000.00  21:10 1.596  WFC   60.1  180  g                                
 517847 sdss1208+35 60s  12:08:39.49 +35:50:35.0 2000.00  21:12 1.607  WFC   60.1  180  g                                
 517848 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:13 1.618  WFC   60.1  180  g                                
 517849 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:15 1.630  WFC   60.0  180  g                                
 517850 sdss1208+35 60s  12:08:39.50 +35:50:35.1 2000.00  21:17 1.644  WFC   60.1  180  g                                
 517851 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:18 1.656  WFC   59.5  180  g                                
 517852 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:20 1.668  WFC   60.1  180  g                                
 517853 sdss1208+35 60s  12:08:39.50 +35:50:35.0 2000.00  21:21 1.681  WFC   60.0  180  g                                
 517854 sdss1208+35 60s  12:08:39.49 +35:50:35.1 2000.00  21:23 1.693  WFC   60.1  180  g                                
