 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518002 uvex_6215 U      20:50:35.60 +49:15:59.5 2000.00  02:28 1.079  WFC  120.0  180  U                                
 518003 uvex_6215 g      20:50:35.60 +49:15:59.4 2000.00  02:31 1.080  WFC   29.5  180  g                                
 518004 uvex_6221 He1    20:50:57.36 +51:49:59.5 2000.00  02:32 1.099  WFC  120.0  180  HeI 5870                         
 518005 uvex_6221 r      20:50:57.37 +51:49:59.3 2000.00  02:34 1.101  WFC   30.1  180  r                                
 518006 uvex_6221 U      20:50:57.36 +51:49:59.4 2000.00  02:36 1.102  WFC  120.0  180  U                                
 518007 uvex_6221 g      20:50:57.37 +51:49:59.4 2000.00  02:38 1.103  WFC   30.1  180  g                                
 518008 uvex_6222 He1    20:51:10.61 +47:47:59.1 2000.00  02:40 1.076  WFC  120.0  180  HeI 5870                         
 518009 uvex_6222 r      20:51:10.61 +47:47:59.4 2000.00  02:42 1.077  WFC   30.1  180  r                                
 518010 uvex_6222 U      20:51:10.61 +47:47:59.4 2000.00  02:44 1.078  WFC  120.0  180  U                                
 518011 uvex_6222 g      20:51:10.61 +47:47:59.5 2000.00  02:46 1.080  WFC   30.1  180  g                                
 518012 uvex_6222o He1   20:51:40.44 +47:52:59.5 2000.00  02:47 1.081  WFC  120.0  180  HeI 5870                         
 518013 uvex_6222o r     20:51:40.44 +47:52:59.4 2000.00  02:50 1.083  WFC   29.5  180  r                                
 518014 uvex_6222o U     20:51:40.43 +47:52:59.5 2000.00  02:51 1.084  WFC  120.0  180  U                                
 518015 uvex_6222o g     20:51:40.43 +47:52:59.5 2000.00  02:54 1.086  WFC   30.1  180  g                                
 518016 uvex_6224o He1   20:51:49.99 +49:53:59.8 2000.00  02:55 1.101  WFC  119.5  180  HeI 5870                         
 518017 uvex_6224o r     20:51:49.99 +49:53:59.4 2000.00  02:58 1.103  WFC   29.6  180  r                                
 518018 uvex_6224o U     20:51:49.99 +49:53:59.5 2000.00  02:59 1.104  WFC  120.0  180  U                                
 518019 uvex_6224o g     20:51:49.99 +49:53:59.5 2000.00  03:02 1.106  WFC   29.6  180  g                                
 518020 uvex_6227 He1    20:51:33.42 +46:19:59.1 2000.00  03:03 1.086  WFC  119.5  180  HeI 5870                         
 518021 uvex_6227 r      20:51:33.42 +46:19:59.5 2000.00  03:06 1.088  WFC   30.1  180  r                                
 518022 uvex_6227 U      20:51:33.41 +46:19:59.4 2000.00  03:07 1.090  WFC  119.5  180  U                                
 518023 uvex_6227 g      20:51:33.42 +46:19:59.5 2000.00  03:09 1.092  WFC   30.1  180  g                                
 518024 uvex_6227o He1   20:52:02.43 +46:24:59.4 2000.00  03:11 1.094  WFC  120.0  180  HeI 5870                         
 518025 uvex_6227o r     20:52:02.43 +46:24:59.5 2000.00  03:13 1.097  WFC   30.1  180  r                                
 518026 uvex_6227o U     20:52:02.42 +46:24:59.4 2000.00  03:15 1.099  WFC  120.0  180  U                                
 518027 uvex_6227o g     20:52:02.43 +46:24:59.4 2000.00  03:17 1.101  WFC   30.1  180  g                                
 518028 uvex_6229 He1    20:51:46.64 +44:51:59.4 2000.00  03:18 1.096  WFC  120.0  180  HeI 5870                         
 518029 uvex_6229 r      20:51:46.63 +44:51:59.5 2000.00  03:21 1.098  WFC   30.1  180  r                                
 518030 uvex_6229 U      20:51:46.63 +44:51:59.5 2000.00  03:22 1.101  WFC  120.0  180  U                                
 518031 uvex_6229 g      20:51:46.64 +44:51:59.6 2000.00  03:25 1.104  WFC   29.6  180  g                                
 518032 SA113-260 35s U  21:41:48.00 +00:23:53.3 2000.00  03:28 1.163  WFC   35.1  180  HeI 5870                         
 518033 SA113-260 35s U  21:41:48.00 +00:23:53.2 2000.00  03:29 1.165  WFC   35.1  180  U                                
 518034 SA113-260 5s r   21:41:48.00 +00:23:53.1 2000.00  03:31 1.166  WFC    5.1  180  r                                
 518035 SA113-260 5s g   21:41:48.00 +00:23:53.2 2000.00  03:33 1.168  WFC    5.1  180  g                                
 518036 SA113-260 5s i   21:41:48.00 +00:23:53.2 2000.00  03:34 1.169  WFC    4.5  180  i                                
 518037 GD552 10s i      22:50:39.64 +63:28:39.2 2000.00  03:37 1.217  WFC   10.1  180  i                                
 518038 uvex_6229o He1   20:52:14.89 +44:56:59.8 2000.00  03:39 1.125  WFC  120.0  180  HeI 5870                         
 518039 uvex_6229o r     20:52:14.90 +44:56:59.5 2000.00  03:41 1.128  WFC   30.1  180  r                                
 518040 uvex_6229o U     20:52:14.89 +44:56:59.4 2000.00  03:43 1.131  WFC  120.0  180  U                                
 518041 uvex_6229o g     20:52:14.90 +44:56:59.5 2000.00  03:45 1.134  WFC   30.1  180  g                                
 518042 uvex_6232 He1    20:51:57.60 +48:20:59.7 2000.00  03:46 1.155  WFC  120.0  180  HeI 5870                         
 518043 uvex_6232 r      20:51:57.60 +48:20:59.6 2000.00  03:49 1.159  WFC   30.1  180  r                                
 518044 uvex_6232 U      20:51:57.61 +48:20:59.5 2000.00  03:50 1.162  WFC  120.0  180  U                                
 518045 uvex_6232 g      20:51:57.61 +48:20:59.4 2000.00  03:53 1.166  WFC   30.1  180  g                                
 518046 uvex_6229o He1   20:52:14.90 +44:56:59.2 2000.00  03:54 1.152  WFC  120.0  180  HeI 5870                         
 518047 uvex_6229o r     20:52:14.89 +44:56:59.5 2000.00  03:57 1.155  WFC   30.1  180  r                                
 518048 uvex_6229o U     20:52:14.89 +44:56:59.4 2000.00  03:58 1.159  WFC  120.0  180  U                                
 518049 uvex_6229o g     20:52:14.90 +44:56:59.4 2000.00  04:01 1.163  WFC   29.5  180  g                                
 518050 uvex_6233 He1    20:52:00.93 +50:21:59.7 2000.00  04:02 1.196  WFC  120.0  180  HeI 5870                         
 518051 uvex_6233 r      20:52:00.92 +50:21:59.3 2000.00  04:05 1.200  WFC   29.6  180  r                                
 518052 uvex_6233 U      20:52:00.93 +50:21:59.4 2000.00  04:06 1.204  WFC  120.0  180  U                                
 518053 uvex_6233 g      20:52:00.92 +50:21:59.4 2000.00  04:09 1.207  WFC   30.1  180  g                                
 518054 uvex_6233o He1   20:52:32.33 +50:26:59.5 2000.00  04:10 1.211  WFC  120.0  180  HeI 5870                         
 518055 uvex_6233o r     20:52:32.34 +50:26:59.3 2000.00  04:12 1.215  WFC   30.1  180  r                                
 518056 uvex_6233o U     20:52:32.34 +50:26:59.4 2000.00  04:14 1.219  WFC  119.5  180  U                                
 518057 uvex_6233o g     20:52:32.34 +50:26:59.4 2000.00  04:16 1.223  WFC   30.1  180  g                                
 518058 uvex_6235o He1   20:52:52.85 +46:57:59.2 2000.00  04:18 1.208  WFC  120.0  180  HeI 5870                         
 518059 uvex_6235o r     20:52:52.86 +46:57:59.5 2000.00  04:20 1.213  WFC   30.1  180  r                                
 518060 uvex_6235o U     20:52:52.86 +46:57:59.4 2000.00  04:21 1.217  WFC  119.5  180  U                                
 518061 uvex_6235o g     20:52:52.85 +46:57:59.5 2000.00  04:24 1.222  WFC   30.1  180  g                                
 518062 uvex_6238 He1    20:52:38.32 +45:24:59.1 2000.00  04:25 1.221  WFC  120.0  180  HeI 5870                         
 518063 uvex_6238 r      20:52:38.31 +45:24:59.5 2000.00  04:28 1.226  WFC   30.1  180  r                                
 518064 uvex_6238 U      20:52:38.32 +45:24:59.4 2000.00  04:29 1.231  WFC  119.5  180  U                                
 518065 uvex_6238 g      20:52:38.32 +45:24:59.5 2000.00  04:32 1.236  WFC   30.1  180  g                                
 518066 uvex_6239 He1    20:52:41.52 +50:54:59.7 2000.00  04:33 1.267  WFC  120.0  180  HeI 5870                         
 518067 uvex_6239 r      20:52:41.52 +50:54:59.5 2000.00  04:36 1.272  WFC   30.1  180  r                                
 518068 uvex_6239 U      20:52:41.51 +50:54:59.4 2000.00  04:37 1.277  WFC  120.0  180  U                                
 518069 uvex_6239 g      20:52:41.52 +50:54:59.4 2000.00  04:40 1.282  WFC   30.1  180  g                                
 518070 uvex_6255 He1    20:54:02.09 +47:58:59.4 2000.00  04:41 1.270  WFC  120.0  180  HeI 5870                         
 518071 uvex_6255 r      20:54:02.09 +47:58:59.4 2000.00  04:44 1.275  WFC   30.0  180  r                                
 518072 uvex_6255 U      20:54:02.09 +47:58:59.4 2000.00  04:45 1.281  WFC  120.0  180  U                                
 518073 uvex_6255 g      20:54:02.09 +47:58:59.4 2000.00  04:48 1.286  WFC   30.1  180  g                                
 518074 uvex_6255o He1   20:54:32.03 +48:03:59.5 2000.00  04:49 1.291  WFC  119.5  180  HeI 5870                         
 518075 uvex_6255o r     20:54:32.02 +48:03:59.5 2000.00  04:51 1.297  WFC   30.1  180  r                                
 518076 uvex_6255o U     20:54:32.03 +48:03:59.4 2000.00  04:53 1.303  WFC  120.0  180  U                                
 518077 uvex_6255o g     20:54:32.03 +48:03:59.5 2000.00  04:55 1.309  WFC   30.0  180  g                                
 518078 uvex_6257 He1    20:54:14.19 +49:59:59.7 2000.00  04:56 1.324  WFC  120.0  180  HeI 5870                         
 518079 uvex_6257 r      20:54:14.20 +49:59:59.4 2000.00  04:59 1.330  WFC   30.1  180  r                                
 518080 uvex_6257 U      20:54:14.20 +49:59:59.1 2000.00  05:00 1.336  WFC  120.0  180  U                                
 518081 uvex_6257 g      20:54:14.19 +49:59:59.4 2000.00  05:03 1.343  WFC   30.1  180  g                                
 518082 uvex_6257o He1   20:54:45.37 +50:04:59.4 2000.00  05:04 1.348  WFC  119.4  180  HeI 5870                         
 518083 uvex_6257o r     20:54:45.37 +50:04:59.6 2000.00  05:07 1.354  WFC   30.1  180  r                                
 518084 uvex_6257o U     20:54:45.36 +50:04:59.3 2000.00  05:08 1.361  WFC  120.0  180  U                                
 518085 uvex_6257o g     20:54:45.37 +50:04:59.5 2000.00  05:11 1.368  WFC   30.1  180  g                                
 518086 uvex_6258 He1    20:54:22.61 +46:30:59.4 2000.00  05:12 1.365  WFC  119.5  180  HeI 5870                         
 518087 uvex_6258 r      20:54:22.61 +46:30:59.6 2000.00  05:15 1.372  WFC   30.1  180  r                                
 518088 uvex_6258 U      20:54:22.61 +46:30:59.4 2000.00  05:16 1.380  WFC  120.0  180  U                                
 518089 uvex_6258 g      20:54:22.61 +46:30:59.5 2000.00  05:19 1.388  WFC   30.1  180  g                                
 518090 uvex_6258o He1   20:54:51.73 +46:35:59.5 2000.00  05:20 1.394  WFC  120.0  180  HeI 5870                         
 518091 uvex_6258o r     20:54:51.73 +46:35:59.4 2000.00  05:22 1.401  WFC   30.1  180  r                                
 518092 uvex_6258o U     20:54:51.72 +46:35:59.4 2000.00  05:24 1.409  WFC  120.0  180  U                                
 518093 uvex_6258o g     20:54:51.73 +46:35:59.5 2000.00  05:26 1.418  WFC   30.1  180  g                                
 518094 uvex_6259 He1     0:00:00.00 +00:00:00.0 2000.00  05:28 1.445  WFC  120.0  180  HeI 5870                         
 518095 uvex_6259 r      20:54:27.73 +52:33:59.4 2000.00  05:30 1.452  WFC   30.1  180  r                                
 518096 uvex_6259 U      20:54:27.72 +52:33:59.3 2000.00  05:31 1.460  WFC  119.0  180  U                                
 518097 uvex_6259 g      20:54:27.72 +52:33:59.3 2000.00  05:34 1.468  WFC   30.0  180  g                                
 518098 skyflat i 60s     2:58:00.00 -00:06:00.0 2000.00  05:38 1.374  WFC   60.1  180  i                                
 518099 skyflat i 60s     2:58:00.66 -00:05:50.1 2000.00  05:40 1.365  WFC   60.1  180  i                                
 518100 skyflat i 60s     2:58:01.34 -00:05:49.9 2000.00  05:43 1.357  WFC   60.1  180  i                                
 518101 skyflat i 60s     2:58:01.99 -00:05:50.0 2000.00  05:45 1.349  WFC   60.0  180  i                                
 518102 skyflat i 50s     2:58:02.66 -00:05:49.9 2000.00  05:47 1.341  WFC   50.1  180  i                                
 518103 skyflat i 30s     2:58:03.33 -00:05:50.0 2000.00  05:50 1.332  WFC   30.1  180  i                                
