 535234 Prova M44 V       8:40:29.99 +19:40:59.9 2000.00  03:17 1.301  WFC   25.1  180  V                                
 535235 Prova M44 V       8:40:29.99 +19:40:59.9 2000.00  03:20 1.285  WFC   30.1  180  V                                
 535236 Prova M44 i       8:40:30.00 +19:40:59.9 2000.00  03:23 1.277  WFC   30.1  180  i                                
 535237 Prova M44 V       8:40:30.00 +19:40:59.9 2000.00  03:29 1.251  WFC   60.1  180  V                                
 535238 Prova M44 i       8:40:29.99 +19:41:00.1 2000.00  03:37 1.226  WFC   60.0  180  i                                
 535239 M44 i             8:40:30.00 +19:40:59.8 2000.00  03:42 1.208  WFC   60.0  180  i                                Error de lectura al xip 2
 535240 M44 i             8:40:29.99 +19:41:00.0 2000.00  03:44 1.203  WFC   60.0  180  i                                
 535241 M44 i             8:40:29.99 +19:41:00.0 2000.00  03:45 1.198  WFC   60.1  180  i                                
 535242 M44 i             8:40:30.00 +19:40:59.9 2000.00  03:47 1.194  WFC   60.1  180  i                                
 535243 M44 i             8:40:29.99 +19:41:00.0 2000.00  03:48 1.189  WFC   60.1  180  i                                
 535244 M44 i             8:40:29.99 +19:41:00.0 2000.00  03:50 1.184  WFC   60.1  180  i                                
 535245 M44 i             8:40:30.00 +19:40:59.9 2000.00  03:52 1.180  WFC   60.1  180  i                                
 535246 M44 i             8:40:29.99 +19:40:59.9 2000.00  03:53 1.175  WFC   60.1  180  i                                
 535247 M44 i             8:40:30.00 +19:41:00.0 2000.00  03:55 1.171  WFC   60.1  180  i                                
 535248 M44 i             8:40:29.99 +19:40:59.9 2000.00  03:57 1.166  WFC   59.6  180  i                                
 535249 M44 i             8:40:29.99 +19:41:00.0 2000.00  03:58 1.161  WFC   60.1  180  i                                
 535250 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:00 1.157  WFC   60.0  180  i                                
 535251 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:02 1.153  WFC   60.1  180  i                                
 535252 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:03 1.149  WFC   60.1  180  i                                
 535253 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:05 1.145  WFC   60.0  180  i                                
 535254 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:07 1.141  WFC   59.6  180  i                                
 535255 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:08 1.138  WFC   60.0  180  i                                
 535256 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:10 1.134  WFC   60.1  180  i                                
 535257 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:11 1.130  WFC   60.1  180  i                                
 535258 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:13 1.127  WFC   60.0  180  i                                
 535259 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:15 1.122  WFC   60.1  180  i                                
 535260 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:17 1.119  WFC   60.1  180  i                                
 535261 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:18 1.116  WFC   60.1  180  i                                
 535262 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:20 1.112  WFC   60.0  180  i                                
 535263 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:21 1.109  WFC   59.5  180  i                                
 535264 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:23 1.106  WFC   60.1  180  i                                
 535265 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:25 1.103  WFC   60.0  180  i                                
 535266 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:26 1.100  WFC   60.1  180  i                                
 535267 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:28 1.097  WFC   60.1  180  i                                
 535268 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:30 1.094  WFC   60.0  180  i                                
 535269 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:33 1.088  WFC   60.0  180  i                                
 535270 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:34 1.086  WFC   60.1  180  i                                
 535271 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:36 1.083  WFC   59.5  180  i                                
 535272 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:38 1.080  WFC   60.1  180  i                                
 535273 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:39 1.078  WFC   60.1  180  i                                
 535274 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:41 1.075  WFC   60.0  180  i                                
 535275 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:42 1.073  WFC   59.5  180  i                                
 535276 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:44 1.071  WFC   60.1  180  i                                
 535277 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:46 1.068  WFC   60.1  180  i                                
 535278 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:47 1.066  WFC   60.0  180  i                                
 535279 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:49 1.063  WFC   60.1  180  i                                
 535280 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:51 1.061  WFC   60.1  180  i                                
 535281 M44 i             8:40:29.99 +19:40:59.9 2000.00  04:53 1.059  WFC   60.0  180  i                                
 535282 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:54 1.057  WFC   60.0  180  i                                
 535283 M44 i             8:40:30.00 +19:41:00.0 2000.00  04:56 1.055  WFC   60.1  180  i                                
 535284 M44 i             8:40:29.99 +19:41:00.0 2000.00  04:57 1.053  WFC   60.0  180  i                                
 535285 M44 i             8:40:30.00 +19:40:59.9 2000.00  04:59 1.051  WFC   60.1  180  i                                
 535286 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:01 1.049  WFC   60.1  180  i                                
 535287 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:02 1.047  WFC   60.1  180  i                                
 535288 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:04 1.045  WFC   60.0  180  i                                
 535289 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:06 1.044  WFC   60.1  180  i                                
 535290 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:07 1.042  WFC   60.1  180  i                                
 535291 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:09 1.040  WFC   59.5  180  i                                
 535292 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:11 1.039  WFC   60.1  180  i                                
 535293 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:12 1.037  WFC   60.1  180  i                                
 535294 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:14 1.036  WFC   59.5  180  i                                
 535295 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:16 1.034  WFC   60.1  180  i                                
 535296 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:17 1.033  WFC   60.0  180  i                                
 535297 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:19 1.032  WFC   60.0  180  i                                
 535298 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:20 1.030  WFC   60.1  180  i                                
 535299 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:23 1.028  WFC   60.1  180  i                                
 535300 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:25 1.027  WFC   60.1  180  i                                
 535301 M44 i             8:40:29.99 +19:41:00.1 2000.00  05:27 1.026  WFC   60.1  180  i                                
 535302 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:28 1.025  WFC   60.1  180  i                                
 535303 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:30 1.024  WFC   60.1  180  i                                
 535304 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:32 1.023  WFC   60.0  180  i                                
 535305 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:33 1.022  WFC   60.1  180  i                                
 535306 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:35 1.021  WFC   60.1  180  i                                
 535307 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:36 1.020  WFC   59.6  180  i                                
 535308 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:38 1.019  WFC   60.1  180  i                                
 535309 M44 i             8:40:30.00 +19:41:00.1 2000.00  05:40 1.019  WFC   60.0  180  i                                
 535310 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:42 1.018  WFC   60.1  180  i                                
 535311 M44 i             8:40:29.99 +19:40:59.9 2000.00  05:43 1.017  WFC   60.0  180  i                                
 535312 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:45 1.017  WFC   60.1  180  i                                
 535313 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:46 1.016  WFC   60.1  180  i                                
 535314 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:48 1.016  WFC   60.1  180  i                                
 535315 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:50 1.015  WFC   60.1  180  i                                
 535316 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:51 1.015  WFC   60.1  180  i                                
 535317 M44 i             8:40:30.00 +19:40:59.9 2000.00  05:53 1.014  WFC   60.1  180  i                                
 535318 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:54 1.014  WFC   60.1  180  i                                
 535319 M44 i             8:40:29.99 +19:41:00.0 2000.00  05:57 1.014  WFC   60.1  180  i                                
 535320 M44 i             8:40:30.00 +19:41:00.0 2000.00  05:58 1.013  WFC   60.1  180  i                                
 535321 M44 i             8:40:29.99 +19:40:59.9 2000.00  06:00 1.013  WFC   60.1  180  i                                
