 505526 calib4 R 20      12:42:53.59 -00:32:02.0 2000.00  21:26 1.155  WFC   20.1  180  r                                
 505527 calib4 R 5       12:42:53.59 -00:32:02.0 2000.00  21:27 1.156  WFC    5.1  180  r                                
 505528 calib4 R 3       12:42:53.59 -00:32:01.9 2000.00  21:27 1.157  WFC    3.1  180  r                                
 505529 calib4 I 3       12:42:53.59 -00:32:02.0 2000.00  21:28 1.157  WFC    2.0  180  i                                
 505530 calib4 I 5       12:42:53.60 -00:32:02.0 2000.00  21:29 1.158  WFC    5.1  180  i                                
 505531 calib4 I 20      12:42:53.59 -00:32:01.9 2000.00  21:30 1.158  WFC   20.1  180  i                                
 505533 DDO154 I         12:55:09.38 +27:13:08.8 2000.00  21:33 1.005  WFC  249.4  180  i                                
 505534 DDO154 I         12:53:46.82 +27:13:35.0 2000.00  21:41 1.009  WFC  250.0  180  i                                
 505535 DDO154 I         12:54:28.32 +27:13:56.7 2000.00  21:46 1.012  WFC  250.0  180  i                                
 505536 DDO154 I         12:54:36.08 +27:12:37.4 2000.00  21:57 1.019  WFC  249.9  180  i                                
 505537 DDO154 I         12:54:51.59 +27:09:58.9 2000.00  22:03 1.022  WFC   88.1  180  i                                guided on a satellite
 505539 DDO154 I         12:54:51.59 +27:09:58.8 2000.00  22:09 1.029  WFC  249.9  180  i                                
 505540 DDO154 I         12:54:00.04 +27:05:07.8 2000.00  22:14 1.035  WFC  250.0  180  i                                
 505541 DDO154 I         12:53:52.28 +27:06:27.1 2000.00  22:19 1.041  WFC  249.9  180  i                                
 505542 DDO154 I         12:53:44.52 +27:07:46.4 2000.00  22:24 1.047  WFC  250.0  180  i                                
 505545 DDO154 I         12:54:25.13 +27:05:49.0 2000.00  22:30 1.054  WFC  249.4  180  i                                changed guide star after a while
 505546 DDO154 I         12:54:32.87 +27:04:29.4 2000.00  22:35 1.061  WFC  250.0  180  i                                
 505547 DDO154 I         12:54:17.37 +27:07:08.1 2000.00  22:41 1.069  WFC  250.0  180  i                                
 505548 DDO154 I         12:54:45.65 +27:15:57.1 2000.00  22:46 1.077  WFC  250.0  180  i                                
 505549 DDO154 I         12:54:09.62 +27:08:27.3 2000.00  22:51 1.087  WFC  249.9  180  i                                
 505550 DDO154 I         12:54:53.41 +27:14:37.9 2000.00  22:57 1.096  WFC  249.9  180  i                                
 505551 DDO154 I         12:54:01.87 +27:09:46.6 2000.00  23:02 1.108  WFC  250.0  180  i                                
 505552 DDO154 I         12:55:01.16 +27:13:18.4 2000.00  23:10 1.122  WFC  250.0  180  i                                
 505553 DDO154 I         12:53:54.12 +27:11:05.9 2000.00  23:15 1.137  WFC  250.0  180  i                                
 505554 DDO154 I 75      12:53:46.35 +27:12:25.2 2000.00  23:23 1.152  WFC   75.0  180  i                                
 505555 DDO154 I 75      12:54:28.78 +27:15:06.5 2000.00  23:25 1.157  WFC   75.0  180  i                                
 505556 DDO154 I 75      12:54:36.54 +27:13:47.2 2000.00  23:27 1.162  WFC   74.5  180  i                                
 505557 DDO154 I 75      12:54:21.03 +27:16:25.9 2000.00  23:30 1.169  WFC   75.1  180  i                                
 505558 DDO154 I         12:54:44.28 +27:12:27.9 2000.00  23:34 1.185  WFC  249.4  180  i                                
 505560 DDO154 I         12:54:08.25 +27:04:58.2 2000.00  23:43 1.212  WFC  250.0  180  i                                
 505561 DDO154 I         12:54:52.04 +27:11:08.4 2000.00  23:48 1.226  WFC  250.0  180  i                                
 505562 DDO154 I         12:54:00.49 +27:06:17.4 2000.00  23:53 1.247  WFC  249.9  180  i                                
 505563 DDO154 I         12:53:52.73 +27:07:36.7 2000.00  23:58 1.266  WFC  249.9  180  i                                
 505564 DDO154 I         12:53:44.99 +27:08:56.0 2000.00  00:03 1.286  WFC  249.9  180  i                                
 505565 DDO154 I         12:54:24.67 +27:04:38.8 2000.00  00:09 1.305  WFC  249.9  180  i                                
