INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514120 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:31 1.326  WFC   30.1  180  stromgren b                      
 514121 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:33 1.322  WFC   29.5  180  stromgren y                      
 514122 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:34 1.318  WFC   60.0  180  g                                
 514123 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  00:35 1.314  WFC   30.1  180  r                                
 514124 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:37 1.311  WFC   50.0  180  stromgren u                      
 514125 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  00:38 1.307  WFC   39.5  180  stromgren v                      
 514126 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:40 1.303  WFC   30.1  180  stromgren b                      
 514127 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  00:41 1.300  WFC   30.1  180  stromgren y                      
 514128 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:42 1.297  WFC   60.0  180  g                                
 514129 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  00:44 1.293  WFC   30.1  180  r                                
 514130 NGC7128 u        21:44:06.50 +53:39:00.0 2000.00  00:45 1.290  WFC   50.1  180  stromgren u                      
 514131 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  00:46 1.286  WFC   40.1  180  stromgren v                      
 514132 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:48 1.283  WFC   30.0  180  stromgren b                      
 514133 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:49 1.280  WFC   30.1  180  stromgren y                      
 514134 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:50 1.277  WFC   59.5  180  g                                
 514135 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  00:52 1.273  WFC   30.1  180  r                                
 514136 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:53 1.270  WFC   50.1  180  stromgren u                      
 514137 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  00:54 1.267  WFC   40.1  180  stromgren v                      
 514138 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:56 1.264  WFC   30.1  180  stromgren b                      
 514139 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:57 1.261  WFC   30.1  180  stromgren y                      
 514140 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:58 1.258  WFC   60.0  180  g                                
 514141 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  01:00 1.255  WFC   30.1  180  r                                
 514142 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  01:01 1.252  WFC   45.1  180  stromgren u                      
 514143 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  01:02 1.249  WFC   35.1  180  stromgren v                      
 514144 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:04 1.246  WFC   30.1  180  stromgren b                      
 514145 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  01:05 1.244  WFC   30.1  180  stromgren y                      
 514146 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  01:06 1.241  WFC   60.0  180  g                                
 514147 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  01:08 1.238  WFC   30.0  180  r                                
 514148 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  01:09 1.235  WFC   45.1  180  stromgren u                      
 514149 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:10 1.232  WFC   34.5  180  stromgren v                      
 514150 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:12 1.230  WFC   30.1  180  stromgren b                      
 514151 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  01:13 1.227  WFC   30.1  180  stromgren y                      
 514152 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  01:14 1.225  WFC   60.1  180  g                                
 514153 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  01:16 1.222  WFC   29.5  180  r                                
 514154 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  01:17 1.219  WFC   45.1  180  stromgren u                      
 514155 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:18 1.217  WFC   35.1  180  stromgren v                      
 514156 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:20 1.215  WFC   30.1  180  stromgren b                      
 514157 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  01:21 1.213  WFC   29.6  180  stromgren y                      
 514158 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  01:22 1.210  WFC   59.5  180  g                                
 514159 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  01:24 1.207  WFC   30.1  180  r                                
 514160 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  01:25 1.205  WFC   45.1  180  stromgren u                      
 514161 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:26 1.203  WFC   35.1  180  stromgren v                      
 514162 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:28 1.201  WFC   30.1  180  stromgren b                      
 514163 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  01:29 1.199  WFC   30.1  180  stromgren y                      
 514164 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  01:30 1.196  WFC   60.1  180  g                                
 514165 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  01:32 1.194  WFC   29.5  180  r                                
 514166 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  01:33 1.192  WFC   45.0  180  stromgren u                      
 514167 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:34 1.190  WFC   35.0  180  stromgren v                      
 514168 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:36 1.188  WFC   30.1  180  stromgren b                      
 514169 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  01:37 1.186  WFC   30.1  180  stromgren y                      
 514170 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  01:38 1.184  WFC   60.1  180  g                                
 514171 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  01:40 1.182  WFC   30.0  180  r                                
 514172 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  01:41 1.180  WFC   45.1  180  stromgren u                      
 514173 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:42 1.178  WFC   35.1  180  stromgren v                      
 514174 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:44 1.176  WFC   30.0  180  stromgren b                      
 514175 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  01:45 1.174  WFC   29.5  180  stromgren y                      
 514176 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  01:46 1.172  WFC   60.1  180  g                                
 514177 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  01:48 1.170  WFC   30.1  180  r                                
 514178 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  01:49 1.168  WFC   45.1  180  stromgren u                      
 514179 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:50 1.167  WFC   35.1  180  stromgren v                      
 514180 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  01:52 1.165  WFC   30.1  180  stromgren b                      
 514181 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  01:53 1.164  WFC   30.1  180  stromgren y                      
 514182 NGC7128 g        21:44:06.49 +53:39:00.0 2000.00  01:54 1.162  WFC   60.0  180  g                                
 514183 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  01:56 1.160  WFC   30.1  180  r                                
 514184 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  01:57 1.158  WFC   45.1  180  stromgren u                      
 514185 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  01:58 1.156  WFC   35.1  180  stromgren v                      
 514186 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  02:00 1.155  WFC   29.5  180  stromgren b                      
 514187 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:01 1.154  WFC   30.1  180  stromgren y                      
 514188 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  02:02 1.152  WFC   60.1  180  g                                
 514189 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  02:04 1.150  WFC   29.6  180  r                                
 514190 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  02:05 1.149  WFC   45.1  180  stromgren u                      
 514191 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  02:06 1.147  WFC   35.1  180  stromgren v                      
 514192 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  02:08 1.146  WFC   30.1  180  stromgren b                      
 514193 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  02:09 1.145  WFC   30.1  180  stromgren y                      
 514194 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  02:10 1.143  WFC   60.1  180  g                                
 514195 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  02:12 1.142  WFC   30.1  180  r                                
 514196 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  02:13 1.140  WFC   45.1  180  stromgren u                      
 514197 NGC7128 v        21:44:06.50 +53:39:00.0 2000.00  02:14 1.139  WFC   35.1  180  stromgren v                      
 514198 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  02:16 1.138  WFC   30.1  180  stromgren b                      
 514199 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:17 1.137  WFC   29.5  180  stromgren y                      
 514200 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  02:18 1.136  WFC   60.1  180  g                                
 514201 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  02:20 1.134  WFC   30.1  180  r                                
 514202 NGC7128 u        21:44:06.49 +53:38:59.8 2000.00  02:21 1.133  WFC   45.1  180  stromgren u                      
 514203 NGC7128 v        21:44:06.50 +53:39:00.0 2000.00  02:22 1.132  WFC   34.5  180  stromgren v                      
 514204 NGC7128 b        21:44:06.49 +53:38:59.8 2000.00  02:24 1.131  WFC   30.1  180  stromgren b                      
 514205 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:25 1.130  WFC   30.0  180  stromgren y                      
 514206 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  02:26 1.129  WFC   60.1  180  g                                
 514207 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  02:28 1.127  WFC   30.1  180  r                                
 514208 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  02:29 1.126  WFC   45.1  180  stromgren u                      
 514209 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  02:30 1.125  WFC   35.1  180  stromgren v                      
 514210 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  02:32 1.124  WFC   30.1  180  stromgren b                      
 514211 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  02:33 1.124  WFC   30.1  180  stromgren y                      
 514212 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  02:34 1.123  WFC   60.1  180  g                                
 514213 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  02:36 1.122  WFC   30.0  180  r                                
 514214 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  02:37 1.121  WFC   45.1  180  stromgren u                      
 514215 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  02:38 1.120  WFC   35.1  180  stromgren v                      
 514216 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  02:40 1.119  WFC   30.1  180  stromgren b                      
 514217 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:41 1.118  WFC   30.1  180  stromgren y                      
 514218 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  02:42 1.117  WFC   60.0  180  g                                
 514219 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  02:44 1.116  WFC   30.1  180  r                                
 514220 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  02:45 1.116  WFC   45.1  180  stromgren u                      
 514221 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  02:46 1.115  WFC   35.1  180  stromgren v                      
 514222 NGC7128 b        21:44:06.50 +53:39:00.2 2000.00  02:47 1.114  WFC   30.1  180  stromgren b                      
 514223 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:49 1.114  WFC   29.6  180  stromgren y                      
 514224 NGC7128 g        21:44:06.51 +53:39:00.1 2000.00  02:50 1.113  WFC   60.1  180  g                                
 514225 NGC7128 r        21:44:06.50 +53:39:00.0 2000.00  02:52 1.112  WFC   30.1  180  r                                
 514226 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  02:53 1.111  WFC   45.1  180  stromgren u                      
 514227 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  02:54 1.111  WFC   34.5  180  stromgren v                      
 514228 NGC7128 b        21:44:06.50 +53:38:59.8 2000.00  02:55 1.110  WFC   30.1  180  stromgren b                      
 514229 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  02:57 1.110  WFC   29.5  180  stromgren y                      
 514230 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  02:58 1.109  WFC   60.1  180  g                                
 514231 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  02:59 1.109  WFC   30.1  180  r                                
 514232 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  03:01 1.108  WFC   45.1  180  stromgren u                      
 514233 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  03:02 1.108  WFC   35.1  180  stromgren v                      
 514234 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  03:03 1.107  WFC   29.5  180  stromgren b                      
 514235 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  03:05 1.107  WFC   30.1  180  stromgren y                      
 514236 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  03:06 1.106  WFC   59.5  180  g                                
 514237 NGC7128 r        21:44:06.50 +53:38:59.8 2000.00  03:07 1.106  WFC   29.6  180  r                                
 514238 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  03:09 1.106  WFC   45.1  180  stromgren u                      
 514239 NGC7128 v        21:44:06.50 +53:38:59.8 2000.00  03:10 1.105  WFC   35.1  180  stromgren v                      
 514240 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  03:11 1.105  WFC   30.1  180  stromgren b                      
 514241 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  03:13 1.105  WFC   30.1  180  stromgren y                      
 514242 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  03:14 1.104  WFC   60.1  180  g                                
 514243 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  03:15 1.104  WFC   29.5  180  r                                
 514244 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  03:17 1.104  WFC   44.5  180  stromgren u                      
 514245 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  03:18 1.103  WFC   35.1  180  stromgren v                      
 514246 NGC7128 b        21:44:06.50 +53:38:59.8 2000.00  03:19 1.103  WFC   29.5  180  stromgren b                      
 514247 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  03:20 1.103  WFC   30.1  180  stromgren y                      
 514248 NGC7128 g        21:44:06.49 +53:39:00.0 2000.00  03:22 1.103  WFC   60.1  180  g                                
 514249 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  03:23 1.103  WFC   30.1  180  r                                
 514250 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  03:25 1.103  WFC   45.1  180  stromgren u                      
 514251 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  03:26 1.103  WFC   35.1  180  stromgren v                      
 514252 NGC7128 b        21:44:06.49 +53:38:59.9 2000.00  03:27 1.102  WFC   30.1  180  stromgren b                      
 514253 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  03:28 1.102  WFC   30.1  180  stromgren y                      
 514254 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  03:30 1.102  WFC   60.1  180  g                                
 514255 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  03:31 1.102  WFC   30.1  180  r                                
 514256 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  03:33 1.102  WFC   45.1  180  stromgren u                      
 514257 NGC7128 v        21:44:06.50 +53:38:59.8 2000.00  03:34 1.102  WFC   34.5  180  stromgren v                      
 514258 NGC7128 b        21:44:06.50 +53:39:00.0 2000.00  03:35 1.102  WFC   30.1  180  stromgren b                      
 514259 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  03:36 1.103  WFC   30.0  180  stromgren y                      
 514260 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  03:38 1.103  WFC   60.1  180  g                                
 514261 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  03:39 1.103  WFC   30.1  180  r                                
 514262 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  03:40 1.103  WFC   45.1  180  stromgren u                      
 514263 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  03:42 1.103  WFC   35.1  180  stromgren v                      
 514264 NGC7128 b        21:44:06.51 +53:38:59.9 2000.00  03:43 1.103  WFC   30.1  180  stromgren b                      
 514265 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  03:44 1.103  WFC   30.1  180  stromgren y                      
 514266 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  03:46 1.104  WFC   60.1  180  g                                
 514267 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  03:47 1.104  WFC   30.1  180  r                                
 514268 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  03:48 1.104  WFC   45.1  180  stromgren u                      
 514269 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  03:50 1.104  WFC   35.1  180  stromgren v                      
 514270 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  03:51 1.105  WFC   30.1  180  stromgren b                      
 514271 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  03:52 1.105  WFC   29.5  180  stromgren y                      
 514272 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  03:54 1.105  WFC   60.1  180  g                                
 514273 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  03:55 1.106  WFC   30.1  180  r                                
 514274 NGC7128 u        21:44:06.49 +53:38:59.9 2000.00  03:56 1.106  WFC   44.5  180  stromgren u                      
 514275 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  03:58 1.107  WFC   35.1  180  stromgren v                      
 514276 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  03:59 1.107  WFC   30.1  180  stromgren b                      
 514277 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  04:00 1.107  WFC   30.1  180  stromgren y                      
 514278 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  04:02 1.108  WFC   60.1  180  g                                
 514279 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:03 1.108  WFC   30.1  180  r                                
 514280 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  04:04 1.109  WFC   45.1  180  stromgren u                      
 514281 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  04:06 1.109  WFC   35.1  180  stromgren v                      
 514282 NGC7128 b        21:44:06.49 +53:39:00.0 2000.00  04:07 1.110  WFC   30.1  180  stromgren b                      
 514283 NGC7128 y        21:44:06.50 +53:39:00.0 2000.00  04:08 1.111  WFC   30.1  180  stromgren y                      
 514284 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  04:09 1.111  WFC   60.0  180  g                                
 514285 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:11 1.112  WFC   30.1  180  r                                
 514286 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  04:12 1.113  WFC   45.1  180  stromgren u                      
 514287 NGC7128 v        21:44:06.50 +53:39:00.0 2000.00  04:14 1.113  WFC   35.1  180  stromgren v                      
 514288 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  04:15 1.114  WFC   29.6  180  stromgren b                      
 514289 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  04:16 1.114  WFC   30.1  180  stromgren y                      
 514290 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  04:17 1.115  WFC   60.1  180  g                                
 514291 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:19 1.116  WFC   30.1  180  r                                
 514292 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  04:20 1.117  WFC   45.1  180  stromgren u                      
 514293 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  04:22 1.118  WFC   35.1  180  stromgren v                      
 514294 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  04:23 1.118  WFC   30.1  180  stromgren b                      
 514295 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  04:24 1.119  WFC   29.5  180  stromgren y                      
 514296 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  04:25 1.120  WFC   59.5  180  g                                
 514297 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  04:27 1.121  WFC   30.1  180  r                                
 514298 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  04:28 1.122  WFC   45.1  180  stromgren u                      
 514299 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  04:30 1.123  WFC   35.1  180  stromgren v                      
 514300 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  04:31 1.124  WFC   30.0  180  stromgren b                      
 514301 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  04:32 1.125  WFC   30.1  180  stromgren y                      
 514302 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  04:33 1.126  WFC   59.5  180  g                                
 514303 NGC7128 r        21:44:06.50 +53:38:59.8 2000.00  04:35 1.127  WFC   30.1  180  r                                
 514304 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  04:36 1.128  WFC   45.1  180  stromgren u                      
 514305 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  04:38 1.129  WFC   35.1  180  stromgren v                      
 514306 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  04:39 1.130  WFC   30.1  180  stromgren b                      
 514307 NGC7128 y        21:44:06.50 +53:38:59.7 2000.00  04:40 1.131  WFC   29.6  180  stromgren y                      
 514308 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  04:41 1.133  WFC   60.1  180  g                                
 514309 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:43 1.134  WFC   30.0  180  r                                
 514310 NGC7128 u        21:44:06.50 +53:39:00.0 2000.00  04:44 1.135  WFC   44.5  180  stromgren u                      
 514311 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  04:46 1.136  WFC   34.5  180  stromgren v                      
 514312 NGC7128 b        21:44:06.49 +53:38:59.9 2000.00  04:47 1.137  WFC   30.1  180  stromgren b                      
 514313 NGC7128 y        21:44:06.49 +53:39:00.0 2000.00  04:48 1.139  WFC   30.1  180  stromgren y                      
 514314 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  04:49 1.140  WFC   60.1  180  g                                
 514315 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:51 1.141  WFC   30.1  180  r                                
 514316 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  04:52 1.143  WFC   45.1  180  stromgren u                      
 514317 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  04:54 1.144  WFC   35.1  180  stromgren v                      
 514318 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  04:55 1.145  WFC   30.1  180  stromgren b                      
 514319 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  04:56 1.147  WFC   30.1  180  stromgren y                      
 514320 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  04:57 1.148  WFC   60.1  180  g                                
 514321 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  04:59 1.150  WFC   30.1  180  r                                
 514322 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  05:00 1.151  WFC   45.1  180  stromgren u                      
 514323 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  05:02 1.153  WFC   35.1  180  stromgren v                      
 514324 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  05:03 1.154  WFC   30.1  180  stromgren b                      
 514325 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  05:04 1.156  WFC   30.1  180  stromgren y                      
 514326 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  05:05 1.157  WFC   60.1  180  g                                
 514327 NGC7128 r        21:44:06.49 +53:38:59.8 2000.00  05:07 1.159  WFC   29.5  180  r                                
 514328 NGC7128 u        21:44:06.50 +53:38:59.8 2000.00  05:08 1.161  WFC   45.1  180  stromgren u                      
 514329 NGC7128 v        21:44:06.49 +53:38:59.8 2000.00  05:10 1.163  WFC   35.0  180  stromgren v                      
 514330 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  05:11 1.164  WFC   30.1  180  stromgren b                      
 514331 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  05:12 1.166  WFC   30.1  180  stromgren y                      
 514332 NGC7128 g        21:44:06.49 +53:38:59.9 2000.00  05:13 1.168  WFC   59.5  180  g                                
 514333 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  05:15 1.170  WFC   30.1  180  r                                
 514334 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  05:16 1.171  WFC   45.1  180  stromgren u                      
 514335 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  05:18 1.173  WFC   35.1  180  stromgren v                      
 514336 NGC7128 b        21:44:06.49 +53:38:59.9 2000.00  05:19 1.175  WFC   30.0  180  stromgren b                      
 514337 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  05:20 1.177  WFC   30.1  180  stromgren y                      
 514338 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  05:21 1.179  WFC   60.1  180  g                                
 514339 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  05:23 1.181  WFC   30.1  180  r                                
 514340 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  05:24 1.183  WFC   45.1  180  stromgren u                      
 514341 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  05:26 1.185  WFC   35.1  180  stromgren v                      
 514342 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  05:27 1.187  WFC   30.1  180  stromgren b                      
 514343 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  05:28 1.189  WFC   30.1  180  stromgren y                      
 514344 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  05:29 1.191  WFC   60.1  180  g                                
 514345 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  05:31 1.193  WFC   30.1  180  r                                
 514346 NGC7128 u        21:44:06.50 +53:39:00.0 2000.00  05:32 1.195  WFC   44.5  180  stromgren u                      
