 526290 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:04 1.425  WFC  499.7  180  B                                
 526291 NGC6822          19:44:56.75 -14:48:24.5 2000.00  22:13 1.442  WFC  499.7  180  B                                
 526292 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:22 1.464  WFC  499.3  180  B                                
 526293 NGC6822          19:44:56.75 -14:48:24.6 2000.00  22:31 1.488  WFC  499.8  180  B                                
 526294 NGC6822          19:44:56.74 -14:48:24.5 2000.00  22:40 1.515  WFC  499.8  180  B                                
 526295 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:02 1.779  WFC  499.8  180  B                                
 526296 IC1613            1:04:54.20 +02:07:59.9 2000.00  23:13 1.683  WFC  499.8  180  B                                
 526297 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:22 1.614  WFC  499.3  180  B                                
 526298 IC1613            1:04:54.20 +02:07:59.9 2000.00  23:31 1.553  WFC  499.8  180  B                                
 526299 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:40 1.499  WFC  499.8  180  B                                
 526300 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:49 1.450  WFC  499.8  180  B                                
 526301 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:58 1.406  WFC  499.8  180  B                                
 526302 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:07 1.367  WFC  499.3  180  B                                
 526303 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:16 1.332  WFC  499.8  180  B                                
 526304 IC1613            1:04:54.19 +02:07:59.9 2000.00  00:25 1.300  WFC  499.8  180  B                                
 526305 IC1613            1:04:54.19 +02:07:59.9 2000.00  00:34 1.272  WFC  499.8  180  B                                
 526306 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:46 1.237  WFC  499.8  180  B                                
 526307 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:55 1.216  WFC  499.9  180  B                                
 526308 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:04 1.197  WFC  499.7  180  B                                trailed image due to bad tracking
 526309 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:13 1.180  WFC  499.8  180  B                                bad image since tracking didn't work
 526310 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:22 1.166  WFC  499.7  180  B                                
 526311 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:34 1.150  WFC  499.7  180  B                                
 526312 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:44 1.139  WFC  499.8  180  B                                
 526313 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:53 1.132  WFC  499.8  180  B                                
 526314 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:02 1.126  WFC  499.3  180  B                                
 526315 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:12 1.121  WFC  499.8  180  B                                
 526316 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:21 1.119  WFC  499.7  180  B                                
 526317 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:30 1.118  WFC  499.8  180  B                                
 526318 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:39 1.119  WFC  499.8  180  B                                
 526319 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:48 1.122  WFC  499.8  180  B                                
 526320 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:58 1.127  WFC  499.8  180  B                                
 526321 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:07 1.134  WFC  499.8  180  B                                
 526322 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:16 1.142  WFC  499.7  180  B                                
 526323 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:25 1.152  WFC  499.7  180  B                                
 526324 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:34 1.164  WFC  499.8  180  B                                
 526325 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:44 1.180  WFC  499.8  180  B                                
 526326 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:53 1.196  WFC  499.9  180  B                                
 526327 IC1613            1:04:54.19 +02:08:00.0 2000.00  04:02 1.215  WFC  499.8  180  B                                
 526328 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:11 1.236  WFC  499.9  180  B                                
 526329 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:19 1.260  WFC  499.7  180  B                                
 526330 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:30 1.294  WFC  599.7  180  B                                
 526331 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:40 1.331  WFC  599.9  180  B                                
 526332 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:51 1.373  WFC  599.7  180  B                                
 526333 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:02 1.421  WFC  599.7  180  B                                partial thin cloud
 526334 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:12 1.475  WFC  599.7  180  B                                partial thin cloud
 526335 IC1613            1:04:54.19 +02:08:00.0 2000.00  05:23 1.538  WFC  599.7  180  B                                partial thin cloud
 526336 Bias              1:04:54.20 +02:08:00.0 2000.00  05:36 1.594  WFC    0.0  180  B                                
 526337 Bias              1:04:54.19 +02:08:00.0 2000.00  05:37 1.598  WFC    0.0  180  B                                
 526338 Bias              1:04:54.19 +02:08:00.0 2000.00  05:37 1.602  WFC    0.0  180  B                                
 526339 Bias              1:04:54.20 +02:07:59.9 2000.00  05:38 1.606  WFC    0.0  180  B                                
 526340 Bias              1:04:54.20 +02:07:59.9 2000.00  05:39 1.610  WFC    0.0  180  B                                
 526341 Bias              1:04:54.20 +02:07:59.9 2000.00  05:39 1.614  WFC    0.0  180  B                                
 526342 Bias              1:04:54.19 +02:08:00.0 2000.00  05:40 1.619  WFC    0.0  180  B                                
 526343 Bias              1:04:54.20 +02:08:00.0 2000.00  05:40 1.623  WFC    0.0  180  B                                
 526344 Bias              1:04:54.20 +02:08:00.0 2000.00  05:41 1.627  WFC    0.0  180  B                                
 526345 Bias              1:04:54.19 +02:08:00.0 2000.00  05:42 1.632  WFC    0.0  180  B                                
 526346 Flat field        5:56:00.00 +04:09:00.0 2000.00  06:24 1.135  WFC   40.1  180  B                                
 526347 Flat field        5:56:00.00 +04:09:09.8 2000.00  06:26 1.133  WFC   30.1  180  B                                
 526348 Flat field        5:56:00.66 +04:09:00.0 2000.00  06:27 1.132  WFC   20.1  180  B                                
 526349 Flat field        5:56:00.66 +04:09:09.7 2000.00  06:28 1.130  WFC   15.1  180  B                                
 526350 Flat field        5:55:59.33 +04:09:00.0 2000.00  06:30 1.129  WFC   10.1  180  B                                
 526351 Flat field        5:55:59.33 +04:08:49.9 2000.00  06:31 1.128  WFC   10.1  180  B                                
 526352 Flat field        5:55:59.99 +04:08:49.9 2000.00  06:32 1.127  WFC    6.1  180  B                                
 526353 Flat field        5:55:59.99 +04:09:19.7 2000.00  06:33 1.125  WFC    4.1  180  B                                
 526354 Flat field        5:56:01.33 +04:09:00.2 2000.00  06:34 1.125  WFC    3.6  180  B                                
