 487625 M34 i             2:42:06.00 +42:46:59.9 2000.00  19:28 1.206  WFC   30.1  180  i                                
 487626 M34 V             2:42:05.99 +42:47:00.0 2000.00  19:30 1.202  WFC   60.1  180  V                                
 487627 M34 i             2:42:05.99 +42:46:59.9 2000.00  19:32 1.197  WFC   30.1  180  i                                
 487628 M34 V             2:42:06.00 +42:47:00.0 2000.00  19:33 1.193  WFC   60.1  180  V                                
 487629 M34 i             2:42:05.99 +42:46:59.9 2000.00  19:36 1.188  WFC   29.5  180  i                                
 487630 M34 V             2:42:06.00 +42:47:00.0 2000.00  19:37 1.184  WFC   60.1  180  V                                
 487631 M34 i             2:42:06.00 +42:47:00.0 2000.00  19:39 1.180  WFC   30.1  180  i                                
 487632 M34 V             2:42:06.00 +42:46:59.9 2000.00  19:41 1.176  WFC   60.1  180  V                                
 487633 M34 i             2:42:05.99 +42:47:00.0 2000.00  19:43 1.172  WFC   30.1  180  i                                
 487634 M34 V             2:42:06.00 +42:46:59.9 2000.00  19:44 1.168  WFC   60.1  180  V                                
 487635 M34 i             2:42:06.00 +42:46:59.9 2000.00  19:47 1.164  WFC   30.1  180  i                                
 487636 M34 V             2:42:06.00 +42:47:00.0 2000.00  19:48 1.160  WFC   60.1  180  V                                
 487637 M34 i             2:42:06.00 +42:47:00.0 2000.00  19:50 1.156  WFC   30.1  180  i                                
 487638 M34 V             2:42:05.99 +42:46:59.9 2000.00  19:52 1.152  WFC   60.1  180  V                                
 487639 M34 i             2:42:06.00 +42:47:00.0 2000.00  19:54 1.149  WFC   30.1  180  i                                
 487640 M34 V             2:42:06.00 +42:47:00.0 2000.00  19:55 1.145  WFC   60.1  180  V                                
 487641 M34 i             2:42:05.99 +42:46:59.9 2000.00  19:58 1.141  WFC   30.1  180  i                                
 487642 M31 DLP           0:44:45.50 +41:38:11.9 2000.00  20:00 1.026  WFC  899.6  180  i                                
 487643 IC1613            1:04:54.00 +02:07:59.9 2000.00  20:19 1.118  WFC  299.9  180  B                                
 487644 M34 V             2:42:05.99 +42:47:00.0 2000.00  20:27 1.093  WFC   60.1  180  V                                
 487645 M34 i             2:42:06.00 +42:46:59.9 2000.00  20:30 1.090  WFC   30.1  180  i                                
 487646 M34 V             2:42:06.00 +42:47:00.0 2000.00  20:31 1.088  WFC   60.0  180  V                                
 487647 M34 i             2:42:06.00 +42:46:59.9 2000.00  20:33 1.085  WFC   30.1  180  i                                
 487648 M34 V             2:42:06.00 +42:46:59.9 2000.00  20:35 1.083  WFC   60.1  180  V                                
 487649 M34 i             2:42:05.99 +42:46:59.9 2000.00  20:37 1.081  WFC   30.1  180  i                                
 487650 M34 V             2:42:06.00 +42:46:59.9 2000.00  20:38 1.079  WFC   60.1  180  V                                
 487651 M34 i             2:42:06.00 +42:47:00.0 2000.00  20:40 1.077  WFC   30.1  180  i                                
 487652 M34 V             2:42:05.99 +42:46:59.9 2000.00  20:42 1.075  WFC   60.1  180  V                                
 487653 M34 i             2:42:05.99 +42:47:00.0 2000.00  20:44 1.072  WFC   30.1  180  i                                
 487654 M34 V             2:42:06.00 +42:46:59.9 2000.00  20:46 1.070  WFC   60.1  180  V                                
 487655 M34 i             2:42:05.99 +42:46:59.9 2000.00  20:48 1.069  WFC   30.1  180  i                                
 487656 M34 V             2:42:06.00 +42:46:59.9 2000.00  20:49 1.067  WFC   60.0  180  V                                
 487657 M34 i             2:42:06.00 +42:46:59.9 2000.00  20:51 1.065  WFC   30.1  180  i                                
 487658 M34 V             2:42:06.00 +42:46:59.9 2000.00  20:53 1.063  WFC   60.1  180  V                                
 487659 M34 i             2:42:05.99 +42:46:59.9 2000.00  20:55 1.061  WFC   30.1  180  i                                
 487660 M34 V             2:42:06.00 +42:47:00.0 2000.00  20:57 1.060  WFC   60.1  180  V                                
 487661 M34 i             2:42:05.99 +42:47:00.0 2000.00  20:59 1.058  WFC   30.1  180  i                                
 487662 M34 V             2:42:06.00 +42:46:59.9 2000.00  21:00 1.056  WFC   60.1  180  V                                
 487663 M34 i             2:42:05.99 +42:47:00.0 2000.00  21:03 1.055  WFC   29.5  180  i                                
 487664 M34 V             2:42:06.00 +42:47:00.0 2000.00  21:05 1.053  WFC   60.1  180  V                                
 487665 M34 i             2:42:05.99 +42:47:00.0 2000.00  21:07 1.051  WFC   30.1  180  i                                
 487666 M34 V             2:42:05.99 +42:46:59.9 2000.00  21:09 1.050  WFC   60.1  180  V                                
 487667 M34 i             2:42:06.00 +42:47:00.0 2000.00  21:11 1.049  WFC   30.1  180  i                                
 487668 M34 V             2:42:06.00 +42:47:00.0 2000.00  21:12 1.048  WFC   60.1  180  V                                
