INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 11 06:50

TELESCOPE             INT
DATE                  20050810
OBSERVER/S            RAS
PROGRAMME             C122
PROPOSAL REF          Hot Neptunes
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.74
INSTRUMENT/S          WFC

SUNSET (UT)           20:04
EVENING TWILIGHT (UT) 21:22
MORNING TWILIGHT (UT) 05:13
SUNRISE (UT)          06:31
%ILLUM. LUNAR DISK    29
DARK TIME (HRS)       07:51
TWILIGHT TIME (HRS)   02:36
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:02

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  16.1    9    15.0  16.9  223   772.1   16.1  18.0    18.8    9     5 
22:00  17.2    6    19.8  21.8  214   772.2   17.2  18.1    18.7    6     2 
23:00  17.3    7    10.2  12.2  161   772.7   17.3  18.2    18.5    7     3 
00:00  16.9    8    20.2  23.1  193   772.7   16.9  18.2    18.5    8     3 
01:00  16.6   12    11.1  14.8  219   772.4   16.6  17.8    18.5   12     7 
02:00  16.2   14    15.7  20.4  209   772.0   16.2  17.4    18.4   14     9 
03:00  12.7   19    19.5  24.1  161   771.5   12.7  14.8    17.5   19    14 
04:00  12.5   21    14.6  17.4  162   771.0   12.5  14.4    16.4   21    16 
05:00  12.9   19    14.7  18.1  176   771.1   12.9  14.4    16.1   19    15 
06:00  12.9   19    14.5  20.4  164   770.9   12.9  14.4    16.0   19    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Seeing moderately good until 0:30 UT, then 2"

COMMENTS (causes of time lost, setup information eg CCD windows):
Everything OK



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466585 Bias frame        0:00:00.00 +00:00:00.0 2005.606 13:10 2.011  WFC    0.0  180  R                                Con radio time check:
 466624 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:38 1.149  WFC   80.0  180  r                                
 466625 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:40 1.146  WFC   80.0  180  r                                
 466626 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:42 1.143  WFC   80.0  180  r                                
 466627 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:44 1.140  WFC   80.0  180  r                                
 466628 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:46 1.137  WFC   80.0  180  r                                
 466629 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:48 1.134  WFC   79.5  180  r                                
 466630 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:50 1.131  WFC   80.1  180  r                                
 466631 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:52 1.128  WFC   80.0  180  r                                
 466632 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:54 1.125  WFC   80.0  180  r                                
 466633 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:56 1.123  WFC   80.0  180  r                                
 466634 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:58 1.120  WFC   80.0  180  r                                
 466635 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:00 1.118  WFC   80.0  180  r                                
 466636 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:02 1.115  WFC   80.1  180  r                                
 466637 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:04 1.113  WFC   80.1  180  r                                
 466638 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:06 1.110  WFC   80.0  180  r                                
 466639 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:08 1.108  WFC   80.1  180  r                                
 466640 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:10 1.106  WFC   80.0  180  r                                
 466641 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:12 1.104  WFC   79.5  180  r                                
 466642 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:13 1.101  WFC   80.0  180  r                                
 466643 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:15 1.099  WFC   80.0  180  r                                
 466644 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:17 1.097  WFC   80.0  180  r                                
 466645 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:19 1.095  WFC   80.0  180  r                                
 466646 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:21 1.093  WFC   80.0  180  r                                
 466647 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:23 1.092  WFC   80.0  180  r                                
 466648 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:25 1.090  WFC   80.1  180  r                                
 466649 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:27 1.088  WFC   80.0  180  r                                
 466650 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:29 1.086  WFC   79.5  180  r                                
 466651 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:31 1.085  WFC   80.0  180  r                                
 466652 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:33 1.083  WFC   80.0  180  r                                
 466653 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:35 1.082  WFC   80.0  180  r                                
 466654 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:37 1.080  WFC   80.0  180  r                                
 466655 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:39 1.079  WFC   79.5  180  r                                
 466656 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:41 1.077  WFC   80.0  180  r                                
 466657 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:43 1.076  WFC   80.0  180  r                                
 466658 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:45 1.075  WFC   80.0  180  r                                
 466659 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:47 1.074  WFC   80.0  180  r                                
 466660 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:49 1.072  WFC   80.0  180  r                                
 466661 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:51 1.071  WFC   80.0  180  r                                
 466662 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:53 1.070  WFC   80.0  180  r                                
 466663 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:54 1.069  WFC   80.0  180  r                                
 466664 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:56 1.068  WFC   79.5  180  r                                
 466665 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:58 1.067  WFC   80.1  180  r                                
 466666 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:00 1.066  WFC   80.1  180  r                                
 466667 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:02 1.066  WFC   80.0  180  r                                
 466668 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:04 1.065  WFC   80.0  180  r                                
 466669 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:06 1.064  WFC   80.0  180  r                                
 466670 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:08 1.063  WFC   80.1  180  r                                
 466671 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:10 1.063  WFC   80.0  180  r                                
 466672 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:12 1.062  WFC   80.0  180  r                                
 466673 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:14 1.062  WFC   80.1  180  r                                
 466674 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:16 1.061  WFC   80.0  180  r                                
 466675 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:18 1.061  WFC   80.0  180  r                                
 466676 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:20 1.060  WFC   79.5  180  r                                
 466677 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:22 1.060  WFC   80.0  180  r                                
 466678 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:24 1.060  WFC   79.5  180  r                                
 466679 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:26 1.060  WFC   79.5  180  r                                
 466680 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:28 1.059  WFC   80.0  180  r                                
 466681 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:30 1.059  WFC   79.5  180  r                                
 466682 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:32 1.059  WFC   80.0  180  r                                
 466683 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:34 1.059  WFC   80.1  180  r                                
 466684 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:36 1.059  WFC   80.0  180  r                                
 466685 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:37 1.059  WFC   80.0  180  r                                
 466686 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:39 1.059  WFC   80.0  180  r                                
 466687 KEPLER           19:42:00.01 +48:00:00.0 2000.00  23:41 1.059  WFC   80.0  180  r                                
 466688 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:43 1.060  WFC   80.0  180  r                                
 466689 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:45 1.060  WFC   80.0  180  r                                
 466690 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:47 1.060  WFC   80.0  180  r                                
 466691 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:49 1.060  WFC   80.0  180  r                                
 466692 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:51 1.061  WFC   80.0  180  r                                
 466693 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:53 1.061  WFC   79.5  180  r                                
 466694 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:55 1.062  WFC   79.5  180  r                                
 466695 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:57 1.062  WFC   80.0  180  r                                
 466696 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:59 1.063  WFC   80.1  180  r                                
 466697 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:01 1.064  WFC   80.0  180  r                                
 466698 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:03 1.064  WFC   80.0  180  r                                
 466699 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:05 1.065  WFC   80.0  180  r                                
 466700 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:07 1.066  WFC   80.0  180  r                                
 466701 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:09 1.067  WFC   80.0  180  r                                
 466702 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:11 1.067  WFC   80.0  180  r                                
 466703 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:13 1.068  WFC   80.0  180  r                                
 466704 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:15 1.069  WFC   80.0  180  r                                
 466705 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:17 1.070  WFC   80.1  180  r                                
 466706 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:19 1.072  WFC   79.5  180  r                                
 466707 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:21 1.073  WFC   80.0  180  r                                
 466708 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:23 1.074  WFC   79.5  180  r                                
 466709 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:25 1.075  WFC   80.1  180  r                                
 466710 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:26 1.076  WFC   80.0  180  r                                
 466711 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:28 1.078  WFC   80.0  180  r                                
 466712 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:30 1.079  WFC   80.0  180  r                                
 466713 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:32 1.081  WFC   80.0  180  r                                
 466714 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:34 1.082  WFC   80.0  180  r                                
 466715 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:36 1.084  WFC   80.0  180  r                                
 466716 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:38 1.085  WFC   80.0  180  r                                
 466717 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:40 1.087  WFC   80.0  180  r                                
 466718 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:42 1.089  WFC   80.0  180  r                                
 466719 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:44 1.090  WFC   80.0  180  r                                
 466720 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:46 1.092  WFC   80.1  180  r                                
 466721 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:48 1.094  WFC   80.1  180  r                                
 466722 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:50 1.096  WFC   80.0  180  r                                
 466723 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:52 1.098  WFC   80.0  180  r                                
 466724 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:54 1.100  WFC   79.5  180  r                                
 466725 KEPLER           19:42:00.00 +48:00:00.0 2000.00  00:56 1.102  WFC   79.5  180  r                                
 466726 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:58 1.104  WFC   80.1  180  r                                
 466727 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:00 1.106  WFC   80.0  180  r                                
 466728 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:02 1.109  WFC   80.0  180  r                                
 466729 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:04 1.111  WFC   80.0  180  r                                
 466730 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:06 1.113  WFC   80.0  180  r                                
 466731 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:08 1.116  WFC   80.0  180  r                                
 466732 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:09 1.118  WFC   80.1  180  r                                
 466733 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:11 1.121  WFC   80.0  180  r                                
 466734 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:13 1.123  WFC   80.0  180  r                                
 466735 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:15 1.126  WFC   79.5  180  r                                
 466736 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:17 1.129  WFC   80.0  180  r                                
 466737 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:19 1.132  WFC   80.1  180  r                                
 466738 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:21 1.135  WFC   79.5  180  r                                
 466739 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:23 1.137  WFC   80.0  180  r                                
 466740 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:25 1.140  WFC   80.0  180  r                                
 466741 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:27 1.144  WFC   80.0  180  r                                
 466742 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:29 1.147  WFC   80.1  180  r                                
 466743 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:31 1.150  WFC   80.0  180  r                                
 466744 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:33 1.153  WFC   80.0  180  r                                
 466745 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:35 1.156  WFC   80.1  180  r                                
 466746 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:37 1.160  WFC   80.0  180  r                                
 466747 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:39 1.163  WFC   80.0  180  r                                
 466748 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:41 1.167  WFC   80.0  180  r                                
 466749 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:43 1.170  WFC   80.1  180  r                                
 466750 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:45 1.174  WFC   79.5  180  r                                
 466751 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:47 1.178  WFC   80.0  180  r                                
 466752 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:49 1.182  WFC   80.0  180  r                                
 466753 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:51 1.186  WFC   80.0  180  r                                
 466754 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:52 1.190  WFC   79.5  180  r                                
 466755 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:54 1.194  WFC   80.0  180  r                                
 466756 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:56 1.198  WFC   80.0  180  r                                
 466757 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:58 1.202  WFC   80.0  180  r                                
 466758 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:00 1.206  WFC   80.0  180  r                                
 466759 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:02 1.211  WFC   80.0  180  r                                
 466760 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:04 1.215  WFC   80.1  180  r                                
 466761 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:06 1.220  WFC   79.5  180  r                                
 466762 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:08 1.224  WFC   80.0  180  r                                
 466763 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:10 1.229  WFC   80.0  180  r                                
 466764 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:12 1.234  WFC   80.0  180  r                                
 466765 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:14 1.239  WFC   80.0  180  r                                
 466766 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:16 1.244  WFC   80.0  180  r                                
 466767 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:18 1.249  WFC   80.0  180  r                                
 466768 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:20 1.254  WFC   80.0  180  r                                
 466769 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:22 1.259  WFC   80.0  180  r                                
 466770 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:24 1.265  WFC   79.5  180  r                                
 466771 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:26 1.270  WFC   79.5  180  r                                
 466772 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:28 1.276  WFC   79.5  180  r                                
 466773 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:30 1.281  WFC   80.0  180  r                                
 466774 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:32 1.287  WFC   80.0  180  r                                
 466775 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:33 1.293  WFC   80.0  180  r                                
 466776 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:35 1.299  WFC   80.0  180  r                                
 466777 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:37 1.305  WFC   80.0  180  r                                
 466778 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:39 1.311  WFC   80.0  180  r                                
 466779 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:41 1.317  WFC   80.0  180  r                                
 466780 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:43 1.324  WFC   80.1  180  r                                
 466781 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:45 1.330  WFC   80.0  180  r                                
 466782 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:47 1.337  WFC   80.1  180  r                                
 466783 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:49 1.344  WFC   80.0  180  r                                
 466784 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:51 1.350  WFC   80.0  180  r                                
 466785 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:53 1.357  WFC   80.0  180  r                                
 466786 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:55 1.364  WFC   80.0  180  r                                
 466787 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:57 1.372  WFC   80.0  180  r                                
 466788 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:59 1.379  WFC   80.0  180  r                                
 466789 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:01 1.387  WFC   80.0  180  r                                
 466790 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:03 1.394  WFC   80.0  180  r                                
 466791 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:05 1.402  WFC   80.1  180  r                                
 466792 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:07 1.410  WFC   80.0  180  r                                
 466793 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:09 1.418  WFC   79.5  180  r                                
 466794 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:11 1.426  WFC   80.0  180  r                                
 466795 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:13 1.434  WFC   80.0  180  r                                
 466796 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:15 1.443  WFC   80.0  180  r                                
 466797 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:16 1.451  WFC   80.0  180  r                                
 466798 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:18 1.460  WFC   79.5  180  r                                
 466799 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:20 1.469  WFC   80.0  180  r                                
 466800 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:22 1.478  WFC   80.0  180  r                                
 466801 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:24 1.488  WFC   79.5  180  r                                
 466802 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:26 1.497  WFC   79.5  180  r                                
 466803 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:28 1.507  WFC   80.0  180  r                                
