 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 496282 H57_19 600s      11:38:05.50 +21:59:05.9 2000.00  22:46 1.067  WFC  599.6  180  r                                
 496283 H57_20 600s      11:38:15.49 +21:59:05.9 2000.00  22:59 1.050  WFC  599.8  180  r                                
 496284 H57_21 600s      11:38:05.49 +21:58:55.7 2000.00  23:11 1.037  WFC  599.8  180  r                                
 496285 H57_22 600s      11:38:15.50 +21:58:45.9 2000.00  23:23 1.026  WFC  599.8  180  r                                
 496286 H57_23 600s      11:37:50.50 +21:58:55.7 2000.00  23:36 1.017  WFC  599.7  180  r                                
 496287 H57_24 600s      11:37:50.50 +21:58:45.9 2000.00  23:48 1.011  WFC  599.7  180  r                                
 496288 H57_25 600s      11:37:40.50 +21:58:55.8 2000.00  00:00 1.008  WFC  599.8  180  r                                
 496289 H57_26 600s      11:37:30.49 +21:58:46.2 2000.00  00:13 1.007  WFC  599.8  180  r                                
 496290 H57_27 600s      11:37:40.50 +21:59:06.2 2000.00  00:25 1.009  WFC  599.3  180  r                                
 496291 H57_28 600s      11:37:30.50 +21:59:06.0 2000.00  00:37 1.013  WFC  599.8  180  r                                
 496292 H57_29 600s      11:37:40.49 +21:59:16.0 2000.00  00:49 1.019  WFC  599.8  180  r                                
 496293 H57_30 600s      11:37:30.49 +21:59:26.1 2000.00  01:01 1.028  WFC  599.7  180  r                                
 496294 H57_31 600s      11:37:50.50 +21:59:16.0 2000.00  01:14 1.039  WFC  599.7  180  r                                
 496295 H57_32 600s      11:37:50.50 +21:59:26.0 2000.00  01:26 1.053  WFC  599.8  180  r                                
 496296 H57_33 600s      11:38:05.50 +21:59:15.9 2000.00  01:38 1.069  WFC  599.7  180  r                                
 496297 H57_34 600s      11:38:15.49 +21:59:25.6 2000.00  01:50 1.089  WFC  599.8  180  r                                
 496298 H61_39 240s      12:12:24.90 +29:11:20.7 2000.00  02:03 1.042  WFC  239.9  180  r                                
 496299 H61_40 240s      12:12:34.89 +29:11:21.0 2000.00  02:10 1.049  WFC  239.9  180  r                                
 496300 H61_41 240s      12:12:44.89 +29:11:21.0 2000.00  02:16 1.057  WFC  239.9  180  r                                
 496301 H61_42 240s      12:12:34.90 +29:11:11.0 2000.00  02:22 1.067  WFC  239.9  180  r                                
 496302 H61_43 240s      12:12:44.89 +29:11:00.9 2000.00  02:28 1.076  WFC  240.0  180  r                                
 496303 H61_44 240s      12:12:24.90 +29:11:11.2 2000.00  02:34 1.087  WFC  239.9  180  r                                
