 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441222 kelu-1 test      13:05:40.20 -25:41:06.0 2000.00  06:16 1.794  WFC  100.0  180  I                                
 441223 kelu-1 test      13:05:40.20 -25:41:05.9 2000.00  06:19 1.802  WFC  100.0  180  I                                
 441224 kelu-1 test      13:05:40.20 -25:41:05.9 2000.00  06:21 1.823  WFC  599.8  180  I                                
 441225 2MASSJ14+16      14:12:24.39 +16:33:12.1 2000.00  06:46 1.027  WFC   60.1  180  I                                
 441226 2MASSJ14+16      14:12:24.40 +16:33:11.9 2000.00  06:48 1.028  WFC   60.1  180  I                                
 441227 2MASSJ14+16      14:12:25.09 +16:33:22.2 2000.00  06:51 1.029  WFC   60.1  180  I                                
 441228 2MASSJ14+16      14:12:25.09 +16:33:12.1 2000.00  06:53 1.030  WFC   60.1  180  I                                
 441229 2MASSJ14+16      14:12:25.09 +16:33:01.9 2000.00  06:55 1.031  WFC   60.1  180  I                                
 441230 2MASSJ14+16      14:12:24.40 +16:33:22.0 2000.00  06:57 1.032  WFC   60.1  180  I                                
 441231 Sky flat         18:05:59.99 +00:30:00.0 2000.00  07:10 1.658  WFC  100.0  180  I                                
 441232 Sky flat         18:06:00.00 +00:30:00.0 2000.00  07:13 1.638  WFC   80.0  180  I                                
 441233 Sky flat         18:06:00.66 +00:30:15.0 2000.00  07:16 1.618  WFC   45.1  180  I                                
 441234 Sky flat         18:05:59.33 +00:30:15.0 2000.00  07:18 1.602  WFC   35.1  180  I                                
 441235 Sky flat         18:06:00.66 +00:29:45.0 2000.00  07:20 1.592  WFC   23.6  180  I                                
 441236 Sky flat         18:05:59.33 +00:29:45.0 2000.00  07:22 1.581  WFC   20.1  180  I                                
 441237 Sky flat         18:05:59.99 +00:29:44.9 2000.00  07:23 1.572  WFC   14.1  180  I                                
 441238 Sky flat         18:06:00.00 +00:30:24.9 2000.00  07:25 1.561  WFC   10.1  180  I                                
 441239 Sky flat         18:06:01.33 +00:29:59.9 2000.00  07:26 1.554  WFC    7.5  180  I                                
