INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 14 07:19

TELESCOPE             INT
DATE                  20060713
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         22:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         02:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly windy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
Telescope spontaneously defocussed twice during the night for reasons known only to itself.
Substantial manual intervention made continued observations possible, but this fault needs fixing.


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514581 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:11 1.140  WFC   35.1  180  stromgren v                      
 514582 NGC7128 b        21:44:20.00 +53:43:59.6 2000.00  02:12 1.139  WFC   30.1  180  stromgren b                      
 514583 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:13 1.137  WFC   30.1  180  stromgren y                      
 514584 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:14 1.136  WFC   60.0  180  g                                
 514585 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:16 1.135  WFC   39.6  180  r                                
 514586 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:17 1.133  WFC   45.1  180  stromgren u                      
 514587 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:19 1.132  WFC   35.1  180  stromgren v                      
 514588 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:20 1.131  WFC   30.1  180  stromgren b                      
 514589 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:21 1.130  WFC   30.1  180  stromgren y                      
 514590 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:22 1.129  WFC   60.1  180  g                                
 514591 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:24 1.128  WFC   40.1  180  r                                
 514592 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:26 1.127  WFC   45.1  180  stromgren u                      
 514593 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:27 1.126  WFC   35.1  180  stromgren v                      
 514594 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:28 1.125  WFC   30.1  180  stromgren b                      
 514595 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:29 1.124  WFC   30.1  180  stromgren y                      
 514596 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:31 1.123  WFC   60.1  180  g                                
 514597 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:32 1.122  WFC   40.1  180  r                                
 514598 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:34 1.121  WFC   45.1  180  stromgren u                      
 514599 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:35 1.120  WFC   34.5  180  stromgren v                      
 514600 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:37 1.119  WFC   30.1  180  stromgren b                      
 514601 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:38 1.118  WFC   30.1  180  stromgren y                      
 514602 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:39 1.118  WFC   60.1  180  g                                
 514603 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:41 1.117  WFC   40.1  180  r                                
 514604 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:42 1.116  WFC   45.0  180  stromgren u                      
 514605 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:43 1.115  WFC   35.0  180  stromgren v                      
 514606 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:45 1.114  WFC   29.5  180  stromgren b                      
 514607 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:46 1.114  WFC   29.5  180  stromgren y                      
 514608 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:47 1.113  WFC   60.1  180  g                                
 514609 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:49 1.112  WFC   40.1  180  r                                
 514610 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:50 1.112  WFC   45.1  180  stromgren u                      
 514611 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:52 1.111  WFC   34.5  180  stromgren v                      
 514612 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:53 1.111  WFC   30.1  180  stromgren b                      
 514613 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  02:54 1.110  WFC   30.1  180  stromgren y                      
 514614 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:55 1.109  WFC   60.1  180  g                                
 514615 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:57 1.109  WFC   40.1  180  r                                
 514616 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:58 1.108  WFC   45.1  180  stromgren u                      
 514617 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  03:00 1.108  WFC   35.1  180  stromgren v                      
 514618 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  03:01 1.108  WFC   30.1  180  stromgren b                      
 514619 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:02 1.107  WFC   29.5  180  stromgren y                      
 514620 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:03 1.107  WFC   60.1  180  g                                
 514621 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:05 1.106  WFC   40.1  180  r                                
 514622 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:06 1.106  WFC   45.1  180  stromgren u                      
 514623 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  03:08 1.106  WFC   34.5  180  stromgren v                      
 514624 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:09 1.105  WFC   30.1  180  stromgren b                      
 514625 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:10 1.105  WFC   30.0  180  stromgren y                      
 514626 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:11 1.105  WFC   60.1  180  g                                
 514627 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  03:13 1.104  WFC   40.0  180  r                                
 514629 NGC7128          21:44:20.00 +53:44:00.0 2000.00  03:20 1.104  WFC   10.1  180  r                                
 514630 NGC7128          21:44:20.00 +53:44:00.0 2000.00  03:22 1.103  WFC   10.1  180  r                                
 514631 NGC7128          21:44:20.00 +53:43:59.9 2000.00  03:24 1.103  WFC   10.1  180  r                                
 514632 NGC7128          21:44:19.99 +53:43:59.9 2000.00  03:26 1.103  WFC   10.1  180  r                                
 514633 NGC7128          21:44:20.00 +53:43:59.9 2000.00  03:27 1.103  WFC   30.1  180  stromgren y                      
 514634 NGC7128          21:44:20.00 +53:44:00.0 2000.00  03:30 1.103  WFC   30.1  180  stromgren y                      
 514635 NGC7128          21:44:19.99 +53:43:59.9 2000.00  03:32 1.103  WFC   30.1  180  stromgren y                      
 514636 NGC7128          21:44:19.99 +53:43:59.9 2000.00  03:34 1.103  WFC   30.1  180  stromgren y                      
 514637 NGC7128          21:44:20.00 +53:43:59.9 2000.00  03:36 1.104  WFC   30.1  180  stromgren y                      
 514638 NGC7128          21:44:19.99 +53:44:00.0 2000.00  03:38 1.104  WFC   30.1  180  stromgren y                      
 514639 NGC7128          21:44:19.99 +53:43:59.9 2000.00  03:40 1.104  WFC   29.5  180  stromgren y                      
 514640 NGC7128          21:44:20.00 +53:43:59.9 2000.00  03:43 1.104  WFC   30.1  180  stromgren y                      
 514641 NGC7128          21:44:19.99 +53:44:00.0 2000.00  03:45 1.105  WFC   10.1  180  r                                
 514642 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:47 1.105  WFC   45.1  180  stromgren u                      
 514643 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  03:49 1.106  WFC   35.1  180  stromgren v                      
 514644 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:50 1.106  WFC   30.1  180  stromgren b                      
 514645 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:51 1.106  WFC   29.6  180  stromgren y                      
 514646 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:52 1.107  WFC   59.5  180  g                                
 514647 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:54 1.107  WFC   39.6  180  r                                
 514648 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:55 1.108  WFC   45.1  180  stromgren u                      
 514649 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:57 1.108  WFC   34.5  180  stromgren v                      
 514650 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:58 1.109  WFC   30.1  180  stromgren b                      
 514651 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:59 1.109  WFC   30.1  180  stromgren y                      
 514652 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:00 1.110  WFC   60.0  180  g                                
 514653 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  04:02 1.110  WFC   40.1  180  r                                
 514654 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:04 1.111  WFC   45.1  180  stromgren u                      
 514655 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:05 1.111  WFC   35.1  180  stromgren v                      
 514656 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:06 1.112  WFC   30.1  180  stromgren b                      
 514657 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:07 1.113  WFC   30.1  180  stromgren y                      
 514658 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  04:09 1.113  WFC   60.1  180  g                                
 514659 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:10 1.114  WFC   40.1  180  r                                
 514660 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:12 1.115  WFC   45.1  180  stromgren u                      
 514661 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  04:13 1.116  WFC   35.1  180  stromgren v                      
 514662 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:14 1.116  WFC   30.1  180  stromgren b                      
 514663 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:16 1.117  WFC   30.1  180  stromgren y                      
 514664 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:17 1.118  WFC   60.1  180  g                                
 514665 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:18 1.119  WFC   40.1  180  r                                
 514666 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  04:20 1.120  WFC   45.1  180  stromgren u                      
 514667 NGC7128 v        21:44:20.01 +53:44:00.0 2000.00  04:21 1.120  WFC   35.1  180  stromgren v                      
 514668 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:22 1.121  WFC   30.1  180  stromgren b                      
 514669 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:24 1.122  WFC   30.1  180  stromgren y                      
 514670 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  04:25 1.123  WFC   60.1  180  g                                
 514671 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:27 1.124  WFC   40.1  180  r                                
 514672 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:28 1.125  WFC   45.1  180  stromgren u                      
 514673 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  04:29 1.126  WFC   34.5  180  stromgren v                      
 514674 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:31 1.127  WFC   29.5  180  stromgren b                      
 514675 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:32 1.128  WFC   29.5  180  stromgren y                      
 514676 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  04:33 1.129  WFC   60.1  180  g                                
 514677 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:35 1.131  WFC   40.0  180  r                                
 514678 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  04:36 1.132  WFC   45.1  180  stromgren u                      
 514679 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:37 1.133  WFC   35.1  180  stromgren v                      
 514680 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:39 1.134  WFC   30.1  180  stromgren b                      
 514681 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:40 1.135  WFC   30.1  180  stromgren y                      
 514682 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:41 1.136  WFC   60.0  180  g                                
 514683 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:43 1.138  WFC   40.1  180  r                                
 514684 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:44 1.139  WFC   45.1  180  stromgren u                      
 514685 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  04:46 1.140  WFC   34.6  180  stromgren v                      
 514686 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:47 1.142  WFC   30.1  180  stromgren b                      
 514687 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:48 1.143  WFC   30.1  180  stromgren y                      
 514688 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:49 1.144  WFC   60.1  180  g                                
 514689 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  04:51 1.146  WFC   40.1  180  r                                
 514690 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:52 1.147  WFC   45.1  180  stromgren u                      
 514691 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  04:54 1.149  WFC   35.1  180  stromgren v                      
 514692 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:55 1.150  WFC   30.1  180  stromgren b                      
 514693 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:56 1.152  WFC   29.6  180  stromgren y                      
 514694 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:57 1.153  WFC   59.5  180  g                                
 514695 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:59 1.155  WFC   39.5  180  r                                
 514697 QX               23:59:09.99 +61:11:59.9 2000.00  05:02 1.194  WFC   12.1  180  stromgren y                      
 514699 QX               23:59:09.99 +61:12:00.0 2000.00  05:03 1.194  WFC    6.1  180  stromgren y                      
 514700 QX               23:59:09.99 +61:12:00.0 2000.00  05:04 1.193  WFC    6.1  180  stromgren y                      
 514701 QX               23:59:10.00 +61:12:00.0 2000.00  05:05 1.193  WFC    6.1  180  stromgren y                      
 514702 QX               23:59:10.00 +61:12:00.0 2000.00  05:05 1.193  WFC    6.1  180  stromgren y                      
 514703 QX               23:59:10.00 +61:12:00.0 2000.00  05:06 1.192  WFC    6.1  180  stromgren y                      
 514704 QX               23:59:10.00 +61:12:00.0 2000.00  05:07 1.192  WFC    5.6  180  stromgren y                      
 514705 QX               23:59:10.00 +61:12:00.0 2000.00  05:07 1.192  WFC    6.1  180  stromgren y                      
 514706 QX               23:59:10.00 +61:12:00.0 2000.00  05:08 1.192  WFC    6.1  180  stromgren y                      
 514707 QX               23:59:09.99 +61:11:59.9 2000.00  05:09 1.191  WFC    6.1  180  stromgren y                      
 514708 QX               23:59:10.00 +61:12:00.0 2000.00  05:10 1.191  WFC    6.1  180  stromgren y                      
 514709 QX               23:59:10.00 +61:12:00.0 2000.00  05:12 1.190  WFC    6.1  180  stromgren y                      
 514710 QX               23:59:09.99 +61:12:00.0 2000.00  05:13 1.190  WFC    5.5  180  stromgren y                      
 514711 QX               23:59:10.00 +61:12:00.0 2000.00  05:13 1.190  WFC    6.1  180  stromgren y                      
 514712 QX               23:59:10.00 +61:12:00.0 2000.00  05:14 1.189  WFC    6.1  180  stromgren y                      
 514713 QX               23:59:09.99 +61:12:00.0 2000.00  05:15 1.189  WFC    6.1  180  stromgren y                      
 514714 QX               23:59:09.99 +61:12:00.0 2000.00  05:15 1.189  WFC    6.1  180  stromgren y                      
 514715 QX               23:59:10.00 +61:11:59.9 2000.00  05:16 1.189  WFC    6.1  180  stromgren y                      
 514716 QX               23:59:09.99 +61:11:59.9 2000.00  05:17 1.189  WFC    6.1  180  stromgren y                      
 514717 QX               23:59:10.00 +61:11:59.9 2000.00  05:18 1.188  WFC    6.1  180  stromgren y                      
 514718 QX               23:59:09.99 +61:11:59.9 2000.00  05:18 1.188  WFC    6.1  180  stromgren y                      
 514719 QX               23:59:09.99 +61:11:59.9 2000.00  05:19 1.188  WFC    6.1  180  stromgren y                      
 514720 QX               23:59:09.99 +61:12:00.0 2000.00  05:20 1.188  WFC    5.6  180  stromgren y                      
 514721 QX               23:59:10.00 +61:12:00.0 2000.00  05:20 1.188  WFC    6.1  180  stromgren y                      
 514722 QX               23:59:09.99 +61:12:00.0 2000.00  05:21 1.187  WFC    6.1  180  stromgren y                      
 514723 QX               23:59:09.99 +61:12:00.0 2000.00  05:22 1.187  WFC    6.1  180  stromgren y                      
 514724 QX               23:59:09.99 +61:11:59.9 2000.00  05:23 1.187  WFC    6.1  180  stromgren y                      
 514725 QX               23:59:10.00 +61:12:00.0 2000.00  05:23 1.187  WFC    6.1  180  stromgren y                      
 514726 QX               23:59:09.99 +61:11:59.9 2000.00  05:24 1.187  WFC    6.1  180  stromgren y                      
 514727 QX               23:59:10.00 +61:12:00.0 2000.00  05:25 1.187  WFC    6.1  180  stromgren y                      
 514728 QX               23:59:10.00 +61:12:00.0 2000.00  05:25 1.186  WFC    6.1  180  stromgren y                      
 514729 QX               23:59:10.00 +61:11:59.9 2000.00  05:26 1.186  WFC    6.1  180  stromgren y                      
 514730 QX               23:59:10.00 +61:11:59.9 2000.00  05:27 1.186  WFC    5.5  180  stromgren y                      
 514731 QX               23:59:10.00 +61:11:59.9 2000.00  05:28 1.186  WFC    6.1  180  stromgren y                      
 514732 QX               23:59:10.00 +61:12:00.0 2000.00  05:28 1.186  WFC    5.5  180  stromgren y                      
 514733 QX               23:59:09.99 +61:12:00.0 2000.00  05:29 1.186  WFC    6.1  180  stromgren y                      
 514734 QX               23:59:09.99 +61:11:59.9 2000.00  05:30 1.186  WFC    6.1  180  stromgren y                      
 514735 QX               23:59:09.99 +61:11:59.9 2000.00  05:30 1.186  WFC    5.5  180  stromgren y                      
 514736 QX               23:59:09.99 +61:11:59.9 2000.00  05:31 1.186  WFC    6.1  180  stromgren y                      
 514737 QX               23:59:10.00 +61:12:00.0 2000.00  05:32 1.185  WFC    6.0  180  stromgren y                      
 514738 QX               23:59:10.00 +61:12:00.0 2000.00  05:33 1.185  WFC    6.1  180  stromgren y                      
 514739 QX               23:59:09.99 +61:11:59.9 2000.00  05:33 1.185  WFC    6.1  180  stromgren y                      
 514740 QX               23:59:09.99 +61:11:59.9 2000.00  05:34 1.185  WFC    6.1  180  stromgren y                      
 514741 QX               23:59:09.99 +61:11:59.9 2000.00  05:35 1.185  WFC    6.1  180  stromgren y                      
 514742 QX               23:59:09.99 +61:11:59.9 2000.00  05:35 1.185  WFC    6.1  180  stromgren y                      
 514743 QX               23:59:10.00 +61:12:00.0 2000.00  05:36 1.185  WFC    6.1  180  stromgren y                      
 514744 QX               23:59:09.99 +61:12:00.0 2000.00  05:37 1.185  WFC    6.1  180  stromgren y                      
 514745 QX               23:59:10.00 +61:11:59.9 2000.00  05:38 1.185  WFC    5.6  180  stromgren y                      
 514746 QX               23:59:09.99 +61:11:59.9 2000.00  05:38 1.185  WFC    6.1  180  stromgren y                      
 514747 QX               23:59:09.99 +61:12:00.0 2000.00  05:39 1.185  WFC    6.1  180  stromgren y                      
 514748 QX               23:59:09.99 +61:11:59.9 2000.00  05:40 1.185  WFC    6.1  180  stromgren y                      
 514749 QX               23:59:09.99 +61:11:59.9 2000.00  05:41 1.185  WFC    6.1  180  stromgren y                      
 514750 QX               23:59:09.99 +61:11:59.9 2000.00  05:41 1.185  WFC    6.1  180  stromgren y                      
 514751 QX               23:59:09.99 +61:11:59.9 2000.00  05:42 1.185  WFC    5.5  180  stromgren y                      
 514752 QX               23:59:09.99 +61:11:59.9 2000.00  05:43 1.185  WFC    6.1  180  stromgren y                      
 514753 QX               23:59:10.00 +61:12:00.0 2000.00  05:43 1.185  WFC    6.1  180  stromgren y                      
 514754 QX               23:59:10.00 +61:12:00.0 2000.00  05:44 1.185  WFC    6.1  180  stromgren y                      
 514755 QX               23:59:09.99 +61:12:00.0 2000.00  05:45 1.185  WFC    5.5  180  stromgren y                      
 514756 QX               23:59:10.00 +61:12:00.0 2000.00  05:46 1.185  WFC    6.1  180  stromgren y                      
 514757 QX               23:59:09.99 +61:11:59.9 2000.00  05:46 1.185  WFC    6.1  180  stromgren y                      
 514758 QX               23:59:10.00 +61:11:59.9 2000.00  05:47 1.185  WFC    5.6  180  stromgren y                      
 514759 QX               23:59:09.99 +61:11:59.9 2000.00  05:48 1.185  WFC    6.1  180  stromgren y                      
 514760 QX               23:59:09.99 +61:12:00.0 2000.00  05:48 1.185  WFC    6.1  180  stromgren y                      
 514761 QX               23:59:09.99 +61:12:00.0 2000.00  05:49 1.185  WFC    6.1  180  stromgren y                      
 514762 QX               23:59:10.00 +61:12:00.0 2000.00  05:50 1.185  WFC    6.1  180  stromgren y                      
 514763 QX               23:59:10.00 +61:11:59.9 2000.00  05:51 1.185  WFC    6.1  180  stromgren y                      
 514764 QX               23:59:10.00 +61:11:59.9 2000.00  05:51 1.185  WFC    6.1  180  stromgren y                      
 514765 QX               23:59:10.00 +61:12:00.0 2000.00  05:52 1.185  WFC    6.1  180  stromgren y                      
 514766 QX               23:59:10.00 +61:11:59.9 2000.00  05:53 1.185  WFC    6.0  180  stromgren y                      
 514767 QX               23:59:10.00 +61:12:00.0 2000.00  05:53 1.185  WFC    6.1  180  stromgren y                      
 514768 QX               23:59:10.00 +61:12:00.0 2000.00  05:54 1.186  WFC    6.1  180  stromgren y                      
 514769 QX               23:59:10.00 +61:12:00.0 2000.00  05:55 1.186  WFC    6.1  180  stromgren y                      
 514770 QX               23:59:09.99 +61:12:00.2 2000.00  05:56 1.186  WFC    6.1  180  stromgren y                      
 514771 QX               23:59:10.00 +61:11:59.9 2000.00  05:56 1.186  WFC    6.1  180  stromgren y                      
 514772 QX               23:59:10.00 +61:12:00.0 2000.00  05:57 1.186  WFC    6.1  180  stromgren y                      
 514774 Bias             23:59:10.00 +61:11:59.9 2000.00  05:59 1.186  WFC    0.0  180  stromgren y                      
 514775 Bias             23:59:10.00 +61:12:00.0 2000.00  05:59 1.186  WFC    0.0  180  stromgren y                      
 514776 Bias             23:59:10.00 +61:11:59.9 2000.00  06:00 1.186  WFC    0.0  180  stromgren y                      
 514777 Bias             23:59:10.00 +61:12:00.0 2000.00  06:00 1.187  WFC    0.0  180  stromgren y                      
 514778 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 1.300  WFC    0.0  180  stromgren y                      
 514779 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 2.387  WFC    0.0  180  stromgren y                      
 514780 Bias              0:00:00.00 +00:00:00.0 2000.00  06:02 2.469  WFC    0.0  180  stromgren y                      
 514781 Bias              0:00:00.00 +00:00:00.0 2000.00  06:03 3.222  WFC    0.0  180  stromgren y                      
 514782 Bias              0:00:00.00 +00:00:00.0 2000.00  06:03 4.316  WFC    0.0  180  stromgren y                      
 514783 Bias              0:00:00.00 +00:00:00.0 2000.00  06:04 4.316  WFC    0.0  180  stromgren y                      
