 451294 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:43 1.046  WFC   39.6  180  g                                
 451295 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:44 1.045  WFC   39.5  180  g                                
 451296 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:46 1.044  WFC   40.1  180  g                                
 451297 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:47 1.043  WFC   40.1  180  g                                
 451298 1429+4145        14:29:55.99 +41:45:17.0 2000.00  22:48 1.043  WFC   40.1  180  g                                
 451299 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:50 1.042  WFC   40.1  180  g                                
 451300 1429+4145        14:29:55.99 +41:45:16.9 2000.00  22:51 1.041  WFC   40.1  180  g                                
 451301 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:52 1.040  WFC   39.5  180  g                                
 451302 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:53 1.039  WFC   40.0  180  g                                
 451303 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:55 1.039  WFC   40.1  180  g                                
 451304 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:56 1.038  WFC   39.6  180  g                                
 451305 1429+4145        14:29:56.00 +41:45:16.9 2000.00  22:57 1.037  WFC   39.5  180  g                                
 451306 1429+4145        14:29:56.00 +41:45:17.0 2000.00  22:59 1.036  WFC   40.1  180  g                                
 451307 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:00 1.036  WFC   40.1  180  g                                
 451308 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:01 1.035  WFC   40.1  180  g                                
 451309 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:02 1.035  WFC   39.5  180  g                                
 451310 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:04 1.034  WFC   40.1  180  g                                
 451311 1429+4145        14:29:56.00 +41:45:17.0 2000.00  23:05 1.033  WFC   40.1  180  g                                
 451312 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:06 1.033  WFC   40.1  180  g                                
 451313 1429+4145        14:29:55.99 +41:45:17.0 2000.00  23:08 1.032  WFC   40.1  180  g                                
 451314 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:09 1.032  WFC   40.0  180  g                                
 451315 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:10 1.031  WFC   40.1  180  g                                
 451316 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:11 1.031  WFC   40.1  180  g                                
 451317 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:13 1.030  WFC   40.1  180  g                                
 451318 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:14 1.030  WFC   40.1  180  g                                
 451319 1429+4145        14:29:56.00 +41:45:16.9 2000.00  23:15 1.030  WFC   39.6  180  g                                
 451320 1429+4145        14:29:56.00 +41:45:17.4 2000.00  23:17 1.029  WFC   40.1  180  g                                
 451321 1429+4145        14:29:55.99 +41:45:17.0 2000.00  23:18 1.029  WFC   39.5  180  g                                
 451322 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:19 1.028  WFC   39.5  180  g                                
 451323 1429+4145        14:29:55.99 +41:45:16.9 2000.00  23:20 1.028  WFC   40.1  180  g                                
