 509688 HZ44 r           13:23:35.52 +36:07:59.9 2000.00  21:17 1.035  WFC    2.1  180  r                                
 509689 HZ44 HeI         13:23:35.51 +36:07:59.8 2000.00  21:19 1.036  WFC   30.1  180  HeI 5870                         
 509690 HZ44 g           13:23:35.51 +36:07:59.9 2000.00  21:20 1.037  WFC    2.1  180  g                                
 509691 HZ44 Ha          13:23:35.51 +36:07:59.8 2000.00  21:21 1.038  WFC   10.1  180  Halpha                           
 509692 HZ44 i           13:23:35.52 +36:07:59.8 2000.00  21:22 1.039  WFC    2.1  180  i                                
 509693 HZ44 U           13:23:35.52 +36:07:59.9 2000.00  21:23 1.040  WFC    9.6  180  U                                
 509694 st_pg1657 U      16:59:35.51 +07:42:30.8 2000.00  21:26 1.309  WFC   30.1  180  U                                
 509695 st_pg1657 r      16:59:35.51 +07:42:31.0 2000.00  21:27 1.304  WFC   10.1  180  r                                
 509696 st_pg1657 HeI    16:59:35.52 +07:42:31.0 2000.00  21:28 1.300  WFC   30.1  180  HeI 5870                         
 509697 st_pg1657 g      16:59:35.52 +07:42:31.0 2000.00  21:29 1.295  WFC    9.5  180  g                                
 509698 st_pg1657 Ha     16:59:35.52 +07:42:30.9 2000.00  21:30 1.291  WFC   30.0  180  Halpha                           
 509699 st_pg1657 i      16:59:35.52 +07:42:31.0 2000.00  21:31 1.287  WFC   10.1  180  i                                
 509700 sdssj1411 He1    14:11:18.31 +48:12:57.5 2000.00  21:34 1.067  WFC  239.9  180  HeI 5870                         
 509701 sdssj1411 r      14:11:18.31 +48:12:57.6 2000.00  21:39 1.069  WFC   60.1  180  r                                
 509702 sdssj1411 Ha     14:11:18.31 +48:12:57.5 2000.00  21:41 1.070  WFC  240.0  180  Halpha                           
 509703 sdssj1411 i      14:11:18.31 +48:12:57.5 2000.00  21:46 1.072  WFC   20.1  180  i                                
 509704 sdssj1411 g      14:11:18.31 +48:12:57.5 2000.00  21:47 1.072  WFC   59.5  180  g                                
 509705 sdssj1411 U      14:11:18.31 +48:12:57.6 2000.00  21:48 1.074  WFC  240.0  180  U                                
 509706 Coll350 He1      17:48:06.00 +01:18:00.0 2000.00  21:55 1.485  WFC  120.0  180  HeI 5870                         
 509707 Coll350 r        17:48:06.00 +01:18:00.0 2000.00  21:58 1.474  WFC   29.6  180  r                                
 509708 Coll350 Ha       17:48:06.00 +01:17:59.9 2000.00  21:59 1.464  WFC  119.6  180  Halpha                           
 509709 Coll350 i        17:48:05.99 +01:18:00.0 2000.00  22:02 1.455  WFC    9.6  180  i                                
 509710 Coll350 g        17:48:05.99 +01:18:00.0 2000.00  22:02 1.449  WFC   30.1  180  g                                
 509711 Coll350 U        17:48:06.00 +01:18:00.0 2000.00  22:04 1.440  WFC  120.0  180  U                                
 509712 Coll350 He1      17:48:05.99 +01:17:59.9 2000.00  22:06 1.426  WFC  119.0  180  HeI 5870                         
 509713 Coll350 r        17:48:05.99 +01:18:00.0 2000.00  22:09 1.417  WFC   30.0  180  r                                
 509714 Coll350 Ha       17:48:06.00 +01:18:00.0 2000.00  22:10 1.408  WFC  120.0  180  Halpha                           
 509715 Coll350 i        17:48:06.00 +01:17:59.9 2000.00  22:13 1.400  WFC   10.1  180  i                                
 509716 Coll350 g        17:48:05.99 +01:18:00.0 2000.00  22:14 1.395  WFC   30.1  180  g                                
 509717 Coll350 U        17:48:06.00 +01:18:00.0 2000.00  22:15 1.387  WFC  120.0  180  U                                
