 473800 intphas_2965 Ha   5:59:22.03 +21:23:59.9 2000.00  04:57 1.024  WFC  120.0  180  Halpha                           
 473801 intphas_2965 r    5:59:22.02 +21:23:59.9 2000.00  04:59 1.023  WFC   30.1  180  r                                
 473802 intphas_2965 i    5:59:22.03 +21:23:59.9 2000.00  05:00 1.022  WFC   10.1  180  i                                
 473803 intphas_2965o Ha  5:59:43.52 +21:28:59.9 2000.00  05:01 1.021  WFC  120.0  180  Halpha                           
 473804 intphas_2965o r   5:59:43.51 +21:28:59.9 2000.00  05:04 1.020  WFC   30.1  180  r                                
 473805 intphas_2965o i   5:59:43.52 +21:28:59.9 2000.00  05:05 1.019  WFC   10.1  180  i                                
 473806 intphas_2967 Ha   5:59:25.76 +19:55:59.6 2000.00  05:06 1.022  WFC  120.1  180  Halpha                           
 473807 intphas_2967 r    5:59:25.76 +19:55:59.8 2000.00  05:09 1.021  WFC   30.1  180  r                                
 473808 intphas_2967 i    5:59:25.76 +19:55:59.9 2000.00  05:10 1.021  WFC    9.5  180  i                                
 473809 intphas_2967o Ha  5:59:47.05 +20:00:59.9 2000.00  05:11 1.020  WFC  120.0  180  Halpha                           
 473810 intphas_2967o r   5:59:47.04 +20:00:59.9 2000.00  05:14 1.019  WFC   30.1  180  r                                
 473811 intphas_2967o i   5:59:47.05 +20:00:59.9 2000.00  05:15 1.018  WFC   10.1  180  i                                
 473812 intphas_2969 Ha   5:59:30.42 +18:27:59.8 2000.00  05:16 1.022  WFC  120.0  180  Halpha                           
 473813 intphas_2969 r    5:59:30.42 +18:27:59.8 2000.00  05:18 1.021  WFC   30.1  180  r                                
 473814 intphas_2969 i    5:59:30.42 +18:27:59.8 2000.00  05:19 1.021  WFC   10.1  180  i                                
 473815 intphas_2969o Ha  5:59:51.52 +18:32:59.9 2000.00  05:20 1.020  WFC  120.0  180  Halpha                           
 473816 intphas_2969o r   5:59:51.52 +18:32:59.9 2000.00  05:23 1.019  WFC   30.1  180  r                                
 473817 intphas_2969o i   5:59:51.52 +18:32:59.9 2000.00  05:24 1.019  WFC   10.1  180  i                                
 473818 intphas_2970 Ha   5:59:35.71 +16:59:59.8 2000.00  05:25 1.024  WFC  120.0  180  Halpha                           
 473819 intphas_2970 r    5:59:35.71 +16:59:59.9 2000.00  05:28 1.023  WFC   30.1  180  r                                
 473820 intphas_2970 i    5:59:35.71 +17:00:00.0 2000.00  05:29 1.023  WFC   10.1  180  i                                
 473821 intphas_2970o Ha  5:59:56.62 +17:04:59.9 2000.00  05:30 1.022  WFC  120.0  180  Halpha                           
 473822 intphas_2970o r   5:59:56.63 +17:05:00.0 2000.00  05:33 1.022  WFC   30.1  180  r                                
 473823 intphas_2970o i   5:59:56.63 +17:05:00.0 2000.00  05:34 1.022  WFC   10.1  180  i                                
 473824 intphas_2972 Ha   5:59:41.14 +15:31:59.7 2000.00  05:35 1.028  WFC  120.1  180  Halpha                           
 473825 intphas_2972 r    5:59:41.13 +15:31:59.9 2000.00  05:37 1.027  WFC   30.1  180  r                                
 473826 intphas_2972 i    5:59:41.14 +15:32:00.0 2000.00  05:39 1.027  WFC   10.1  180  i                                
 473827 intphas_2972o Ha  6:00:01.90 +15:36:59.9 2000.00  05:39 1.027  WFC  120.0  180  Halpha                           
 473828 intphas_2972o r   6:00:01.91 +15:37:00.0 2000.00  05:42 1.027  WFC   30.1  180  r                                
 473829 intphas_2972o i   6:00:01.90 +15:36:59.9 2000.00  05:43 1.027  WFC   10.1  180  i                                
 473830 intphas_2973 Ha   5:59:46.65 +14:03:59.8 2000.00  05:44 1.034  WFC  120.0  180  Halpha                           
 473831 intphas_2973 r    5:59:46.64 +14:04:00.0 2000.00  05:47 1.034  WFC   30.1  180  r                                
 473832 intphas_2973 i    5:59:46.64 +14:03:59.9 2000.00  05:48 1.034  WFC   10.1  180  i                                
 473833 intphas_2973o Ha  6:00:07.28 +14:08:59.9 2000.00  05:49 1.034  WFC  120.0  180  Halpha                           
 473834 intphas_2973o r   6:00:07.28 +14:09:00.0 2000.00  05:52 1.034  WFC   30.1  180  r                                
 473835 intphas_2973o i   6:00:07.27 +14:09:00.2 2000.00  05:53 1.034  WFC   10.1  180  i                                
 473836 intphas_2975 Ha   6:00:04.45 +24:53:00.2 2000.00  05:54 1.003  WFC  120.0  180  Halpha                           
 473837 intphas_2975 r    6:00:04.45 +24:52:59.8 2000.00  05:57 1.004  WFC   30.1  180  r                                
 473838 intphas_2975 i    6:00:04.45 +24:52:59.9 2000.00  05:58 1.004  WFC   10.1  180  i                                Foucs seems a little softer now - no time to redo
 473839 G191B2B 60 Ha     5:05:30.59 +52:49:54.1 2000.00  06:01 1.128  WFC   60.1  180  Halpha                           
 473840 G191B2B 10 R      5:05:30.59 +52:49:54.0 2000.00  06:05 1.131  WFC   10.1  180  r                                
 473841 G191B2B 10 I      5:05:30.60 +52:49:54.1 2000.00  06:06 1.132  WFC   10.1  180  i                                
 473842 SA98-650 80 Ha    6:52:04.32 -00:19:39.1 2000.00  06:10 1.150  WFC   80.1  180  Halpha                           
 473843 SA98-650 10 R     6:52:04.31 -00:19:38.9 2000.00  06:13 1.149  WFC   10.1  180  r                                
 473844 SA98-650 10 I     6:52:04.31 -00:19:38.9 2000.00  06:16 1.148  WFC   10.1  180  i                                
 473845 Bias              6:52:04.32 -00:19:39.0 2000.00  06:19 1.147  WFC    0.0  180  Halpha                           
 473846 Bias              6:52:04.32 -00:19:38.9 2000.00  06:19 1.147  WFC    0.0  180  Halpha                           
 473847 Bias              6:52:04.32 -00:19:38.9 2000.00  06:20 1.147  WFC    0.0  180  Halpha                           
 473848 Bias              6:52:04.31 -00:19:38.9 2000.00  06:20 1.146  WFC    0.0  180  Halpha                           
 473849 Bias              6:52:04.31 -00:19:38.9 2000.00  06:21 1.146  WFC    0.0  180  Halpha                           
 473850 Skyflat HA 60     7:06:59.99 +01:20:00.1 2000.00  06:36 1.128  WFC   60.1  180  Halpha                           rubbish do not USE
 473851 Skyflat R 35      7:07:00.00 +01:20:00.0 2000.00  06:38 1.128  WFC   35.1  180  r                                
 473852 Skyflat R 25      7:07:00.66 +01:20:10.1 2000.00  06:40 1.127  WFC   25.1  180  r                                
 473853 Skyflat R 15      7:07:01.33 +01:20:19.8 2000.00  06:41 1.127  WFC   15.1  180  r                                
 473854 Skyflat I 10      7:06:58.66 +01:19:40.0 2000.00  06:43 1.127  WFC   10.1  180  i                                
 473855 Skyflat I 5       7:06:59.33 +01:19:50.0 2000.00  06:44 1.127  WFC    5.1  180  i                                
 473856 Skyflat I 3       7:07:00.66 +01:20:10.0 2000.00  06:45 1.127  WFC    3.1  180  i                                
 473857 Skyflat Ha 45     7:07:00.66 +01:20:09.9 2000.00  06:46 1.126  WFC   45.1  180  Halpha                           
 473858 Skyflat Ha 25     7:07:00.66 +01:20:09.9 2000.00  06:48 1.126  WFC   25.1  180  Halpha                           
 473859 Skyflat Ha 17     7:07:01.33 +01:20:20.0 2000.00  06:50 1.126  WFC   16.5  180  Halpha                           
