 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 709435 Bias              0:00:00.00 +00:00:00.0  2009.91 16:43 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709436 Bias              0:00:00.00 +00:00:00.0  2009.91 16:44 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709438 Bias              0:00:00.00 +00:00:00.0  2009.91 16:56 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709439 Bias              0:00:00.00 +00:00:00.0  2009.91 16:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709440 Bias              0:00:00.00 +00:00:00.0  2009.91 16:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709441 Bias              0:00:00.00 +00:00:00.0  2009.91 16:58 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709442 Bias              0:00:00.00 +00:00:00.0  2009.91 16:58 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709443 Bias              0:00:00.00 +00:00:00.0  2009.91 16:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709444 Bias              0:00:00.00 +00:00:00.0  2009.91 16:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709445 Bias              0:00:00.00 +00:00:00.0  2009.91 16:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709446 Bias              0:00:00.00 +00:00:00.0  2009.91 17:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709447 Bias              0:00:00.00 +00:00:00.0  2009.91 17:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709448 Bias              0:00:00.00 +00:00:00.0  2009.91 17:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709449 Bias              0:00:00.00 +00:00:00.0  2009.91 17:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709450 Bias              0:00:00.00 +00:00:00.0  2009.91 17:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709451 Bias              0:00:00.00 +00:00:00.0  2009.91 17:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709452 Bias              0:00:00.00 +00:00:00.0  2009.91 17:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709453 Bias              0:00:00.00 +00:00:00.0  2009.91 17:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709454 Bias              0:00:00.00 +00:00:00.0  2009.91 17:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  65.3 5497.1   
