 562871 ST_L107          15:39:20.87 -00:20:25.9 2000.00  21:48 1.446  WFC   10.1  180  i                                
 562872 ST_L104          12:42:51.12 -00:31:48.8 2000.00  21:55 1.159  WFC   10.1  180  i                                
 562873 ST_L104          12:42:51.11 -00:31:48.8 2000.00  21:56 1.159  WFC   30.1  180  r                                
 562874 ST_L104          12:42:51.12 -00:31:48.7 2000.00  22:00 1.163  WFC  120.0  180  Halpha                           
 562875 Arp299 g         11:28:31.89 +58:33:45.0 2000.00  22:07 1.239  WFC   89.6  180  g                                
 562876 Arp299 g         11:28:34.46 +58:33:44.9 2000.00  22:09 1.242  WFC   89.5  180  g                                
 562877 Arp299 g         11:28:34.45 +58:34:05.3 2000.00  22:12 1.246  WFC   90.0  180  g                                
 562878 Arp299 r         11:28:31.89 +58:33:44.9 2000.00  22:14 1.249  WFC   30.1  180  r                                
 562879 Arp299 r         11:28:34.48 +58:33:45.0 2000.00  22:15 1.250  WFC   30.1  180  r                                
 562880 Arp299 r         11:28:34.45 +58:34:04.7 2000.00  22:16 1.252  WFC   30.1  180  r                                
 562881 Arp299 i         11:28:31.88 +58:33:44.8 2000.00  22:17 1.254  WFC   10.1  180  r                                
 562882 Arp299 i         11:28:34.45 +58:33:45.0 2000.00  22:18 1.255  WFC   10.1  180  r                                
 562883 Arp299 i         11:28:34.45 +58:34:04.8 2000.00  22:19 1.257  WFC   10.1  180  r                                
 562884 N4038/9 r        12:01:53.30 -18:52:30.0 2000.00  22:24 1.691  WFC  100.0  180  r                                
 562885 N4038/9 Ha       12:01:53.30 -18:52:30.0 2000.00  22:26 1.714  WFC  399.8  180  Halpha                           
 562886 N4038/9 i        12:01:53.30 -18:52:29.8 2000.00  22:34 1.740  WFC   60.1  180  i                                
 562887 N4038/9 g        12:01:53.30 -18:52:30.0 2000.00  22:37 1.761  WFC  200.0  180  g                                
 562888 N4038/9 HeI      12:01:53.29 -18:52:30.0 2000.00  22:41 1.797  WFC  399.9  180  HeI 5870                         
