 472786 92-248            0:54:30.69 +00:40:16.9 2000.00  00:35 1.153  WFC   10.1  180  i                                
 472787 92-248            0:54:30.69 +00:40:17.0 2000.00  00:36 1.152  WFC   10.1  180  i                                
 472788 92-248            0:54:30.69 +00:40:16.9 2000.00  00:36 1.152  WFC   10.1  180  i                                
 472789 92-248            0:54:30.69 +00:40:16.9 2000.00  00:37 1.151  WFC   10.1  180  i                                
 472790 92-248            0:54:30.70 +00:40:16.9 2000.00  00:38 1.150  WFC   10.1  180  i                                
 472791 92-248            0:54:30.69 +00:40:17.0 2000.00  00:39 1.149  WFC   10.1  180  i                                
 472792 92-248            0:54:30.70 +00:40:17.0 2000.00  00:40 1.148  WFC   10.1  180  V                                
 472793 92-248            0:54:30.70 +00:40:16.9 2000.00  00:41 1.148  WFC    9.6  180  V                                
 472794 92-248            0:54:30.69 +00:40:17.0 2000.00  00:42 1.147  WFC   10.1  180  V                                
 472795 92-248            0:54:30.69 +00:40:17.0 2000.00  00:42 1.146  WFC   20.1  180  B                                
 472796 92-248            0:54:30.69 +00:40:17.0 2000.00  00:43 1.146  WFC   20.1  180  B                                
 472797 92-248            0:54:30.69 +00:40:17.0 2000.00  00:44 1.145  WFC   20.1  180  B                                
 472798 92-248            0:54:30.70 +00:40:17.0 2000.00  00:46 1.144  WFC   60.0  180  U                                
 472799 92-248            0:54:30.70 +00:40:17.0 2000.00  00:47 1.143  WFC   60.0  180  U                                
 472800 92-248            0:54:30.69 +00:40:16.9 2000.00  00:49 1.142  WFC   59.5  180  U                                
 472801 92-248            0:54:30.68 +00:40:17.3 2000.00  00:51 1.141  WFC   60.1  180  U                                
 472802 92-248            0:54:30.69 +00:40:16.9 2000.00  00:52 1.140  WFC   60.1  180  U                                
 472803 92-248            0:54:30.70 +00:40:16.9 2000.00  00:54 1.139  WFC   60.0  180  U                                
 472804 92-248            0:54:30.70 +00:40:16.9 2000.00  00:56 1.138  WFC   19.5  180  B                                
 472805 92-248            0:54:30.69 +00:40:17.0 2000.00  00:57 1.138  WFC   20.1  180  B                                
 472806 92-248            0:54:30.70 +00:40:17.0 2000.00  00:58 1.137  WFC   20.1  180  B                                
 472807 92-248            0:54:30.70 +00:40:17.0 2000.00  00:59 1.137  WFC   10.1  180  V                                
 472808 92-248            0:54:30.70 +00:40:17.0 2000.00  00:59 1.137  WFC   10.1  180  V                                
 472809 92-248            0:54:30.70 +00:40:17.0 2000.00  01:00 1.136  WFC   10.1  180  V                                
 472810 92-248            0:54:30.70 +00:40:17.0 2000.00  01:01 1.136  WFC   10.1  180  i                                
 472811 92-248            0:54:30.70 +00:40:16.9 2000.00  01:02 1.136  WFC   10.1  180  i                                
 472812 92-248            0:54:30.69 +00:40:16.9 2000.00  01:03 1.135  WFC   10.1  180  i                                
 472813 92-248            0:54:30.70 +00:40:17.0 2000.00  01:04 1.135  WFC   10.1  180  i                                
 472814 92-248            0:54:30.70 +00:40:16.9 2000.00  01:04 1.135  WFC   10.1  180  i                                
 472815 92-248            0:54:30.69 +00:40:16.9 2000.00  01:05 1.135  WFC   10.1  180  i                                
 472816 92-248            0:54:30.70 +00:40:17.0 2000.00  01:06 1.134  WFC   10.1  180  V                                
 472817 92-248            0:54:30.69 +00:40:17.0 2000.00  01:07 1.134  WFC   10.1  180  V                                
 472818 92-248            0:54:30.69 +00:40:17.0 2000.00  01:08 1.134  WFC   10.1  180  V                                
 472819 92-248            0:54:30.69 +00:40:16.9 2000.00  01:09 1.134  WFC   20.1  180  B                                
 472820 92-248            0:54:30.69 +00:40:16.9 2000.00  01:10 1.134  WFC   20.1  180  B                                
 472821 92-248            0:54:30.70 +00:40:16.9 2000.00  01:11 1.133  WFC   19.5  180  B                                
 472822 92-248            0:54:30.70 +00:40:17.0 2000.00  01:12 1.133  WFC   60.0  180  U                                
 472823 92-248            0:54:30.69 +00:40:17.0 2000.00  01:13 1.133  WFC   60.0  180  U                                
 472824 92-248            0:54:30.70 +00:40:16.9 2000.00  01:15 1.133  WFC   60.0  180  U                                
 472825 M33A              1:32:31.99 +30:41:15.9 2000.00  01:30 1.005  WFC   90.0  180  V                                
 472826 M33A              1:32:32.00 +30:41:15.9 2000.00  01:32 1.004  WFC   90.0  180  V                                
 472827 M33A              1:32:31.99 +30:41:15.9 2000.00  01:34 1.004  WFC   90.0  180  V                                
 472828 M33A              1:32:32.00 +30:41:16.0 2000.00  01:37 1.003  WFC  119.5  180  B                                
 472829 M33A              1:32:32.00 +30:41:16.0 2000.00  01:40 1.002  WFC  120.0  180  B                                
 472830 M33A              1:32:32.00 +30:41:15.8 2000.00  01:42 1.002  WFC  119.5  180  B                                
 472831 M33A              1:32:31.99 +30:41:16.0 2000.00  01:45 1.001  WFC  179.4  180  U                                
 472832 M33A              1:32:32.00 +30:41:16.0 2000.00  01:49 1.001  WFC  180.0  180  U                                
 472833 M33A              1:32:32.00 +30:41:16.0 2000.00  01:52 1.001  WFC  179.5  180  U                                
 472834 M33B              1:32:36.99 +30:16:29.9 2000.00  01:57 1.000  WFC  180.0  180  U                                
 472835 M33B              1:32:37.00 +30:16:29.7 2000.00  02:00 1.001  WFC  180.0  180  U                                
 472836 M33B              1:32:36.99 +30:16:29.9 2000.00  02:04 1.001  WFC  180.0  180  U                                
 472837 M33B              1:32:37.00 +30:16:30.0 2000.00  02:09 1.002  WFC  119.5  180  B                                
 472838 M33B              1:32:36.99 +30:16:29.9 2000.00  02:11 1.002  WFC  120.0  180  B                                
 472839 M33B              1:32:37.00 +30:16:29.9 2000.00  02:14 1.003  WFC  120.1  180  B                                
 472840 M33B              1:32:37.00 +30:16:29.9 2000.00  02:17 1.004  WFC   90.0  180  V                                
 472841 M33B              1:32:37.00 +30:16:30.0 2000.00  02:19 1.004  WFC   90.0  180  V                                
 472842 M33B              1:32:36.99 +30:16:29.9 2000.00  02:21 1.005  WFC   90.0  180  V                                
 472843 M33C              1:34:15.00 +30:30:04.9 2000.00  02:23 1.006  WFC   90.0  180  V                                
 472844 M33C              1:34:15.00 +30:30:05.0 2000.00  02:25 1.006  WFC   90.0  180  V                                
 472845 M33C              1:34:15.00 +30:30:05.0 2000.00  02:28 1.007  WFC   90.0  180  V                                
 472846 M33C              1:34:15.00 +30:30:05.0 2000.00  02:30 1.009  WFC  120.0  180  B                                
 472847 M33C              1:34:15.00 +30:30:05.0 2000.00  02:32 1.010  WFC  120.0  180  B                                
 472848 M33C              1:34:15.00 +30:30:05.0 2000.00  02:35 1.011  WFC  120.0  180  B                                
 472849 M33C              1:34:15.00 +30:30:05.0 2000.00  02:38 1.013  WFC  180.0  180  U                                
 472850 M33C              1:34:14.99 +30:30:04.9 2000.00  02:41 1.016  WFC  180.0  180  U                                
 472851 M33C              1:34:15.00 +30:30:05.0 2000.00  02:45 1.018  WFC  179.4  180  U                                
 472852 M33D              1:34:15.99 +30:55:00.0 2000.00  02:49 1.021  WFC  180.0  180  U                                
 472853 M33D              1:34:15.99 +30:55:00.0 2000.00  02:53 1.024  WFC  180.0  180  U                                
 472854 M33D              1:34:15.99 +30:54:59.9 2000.00  02:56 1.027  WFC  179.9  180  U                                
 472855 M33D              1:34:16.00 +30:54:59.9 2000.00  03:00 1.030  WFC  120.0  180  B                                
 472856 M33D              1:34:15.99 +30:55:00.0 2000.00  03:03 1.033  WFC  119.6  180  B                                
 472857 M33D              1:34:16.00 +30:54:59.9 2000.00  03:05 1.036  WFC  120.0  180  B                                
 472858 M33D              1:34:16.00 +30:55:00.0 2000.00  03:08 1.038  WFC   90.0  180  V                                
 472859 M33D              1:34:16.00 +30:54:59.9 2000.00  03:10 1.041  WFC   90.1  180  V                                
 472860 M33D              1:34:15.99 +30:54:59.9 2000.00  03:12 1.043  WFC   90.0  180  V                                
 472861 92-248            0:54:30.69 +00:40:16.8 2000.00  03:17 1.305  WFC   60.1  180  U                                
 472862 92-248            0:54:30.70 +00:40:16.9 2000.00  03:18 1.310  WFC   60.1  180  U                                
 472863 92-248            0:54:30.70 +00:40:16.9 2000.00  03:20 1.316  WFC   60.1  180  U                                
