 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543396 n784v             2:01:16.89 +28:50:14.0 2000.00  19:47 1.037  WFC  299.9  180  V                                
 543397 n784v             2:01:19.18 +28:50:44.0 2000.00  19:57 1.027  WFC  299.9  180  V                                
 543398 n784v             2:01:21.46 +28:51:14.0 2000.00  20:04 1.021  WFC  299.9  180  V                                
 543399 n784v             2:01:14.62 +28:49:43.9 2000.00  20:12 1.015  WFC  299.9  180  V                                
 543400 mkn996            1:27:35.50 -06:19:36.0 2000.00  20:21 1.221  WFC   30.0  180  V                                
 543401 mkn996v           1:27:35.50 -06:19:35.6 2000.00  20:29 1.221  WFC  299.9  180  V                                
 543402 mkn996v           1:27:35.49 -06:19:36.0 2000.00  20:35 1.223  WFC  299.9  180  V                                
 543403 mkn996b           1:27:35.50 -06:19:36.0 2000.00  20:44 1.226  WFC  299.9  180  B                                
 543404 mkn996b           1:27:35.50 -06:19:35.9 2000.00  20:50 1.230  WFC  300.0  180  B                                
 543405 mkn996b           1:27:35.49 -06:19:35.9 2000.00  20:56 1.234  WFC  299.9  180  B                                
 543406 mkn996v           1:27:35.49 -06:19:35.9 2000.00  21:02 1.240  WFC  299.9  180  V                                
 543407 mkn996r           1:27:35.49 -06:19:35.9 2000.00  21:08 1.246  WFC  299.9  180  r                                
 543408 mkn996r           1:27:35.50 -06:19:36.0 2000.00  21:14 1.253  WFC  299.9  180  r                                
 543409 mkn996r           1:27:35.50 -06:19:36.0 2000.00  21:19 1.261  WFC  300.0  180  r                                
 543410 mkn996v           1:27:35.50 -06:19:35.9 2000.00  21:26 1.270  WFC  299.9  180  V                                
 543411 n1023v            2:40:24.00 +39:03:48.0 2000.00  21:37 1.016  WFC  299.4  180  V                                
 543412 n1023v            2:40:21.42 +39:03:17.7 2000.00  21:44 1.017  WFC  299.9  180  V                                
 543413 n1023v            2:40:26.58 +39:04:17.9 2000.00  21:50 1.018  WFC  300.0  180  V                                
 543414 n1023v            2:40:21.42 +39:03:17.9 2000.00  21:58 1.020  WFC  300.0  180  V                                
 543415 n1023v            2:40:18.85 +39:02:48.0 2000.00  22:05 1.022  WFC  299.9  180  V                                
 543416 c139v             4:04:27.19 -02:11:18.9 2000.00  22:14 1.190  WFC  299.8  180  V                                
 543417 c139v             4:04:25.19 -02:11:49.0 2000.00  22:21 1.183  WFC  299.9  180  V                                
 543418 c139v             4:04:29.19 -02:10:49.0 2000.00  22:30 1.176  WFC  299.9  180  V                                
 543419 c139b             4:04:29.20 -02:10:48.9 2000.00  22:36 1.171  WFC  599.8  180  B                                
 543420 c139b             4:04:29.20 -02:10:48.9 2000.00  22:48 1.166  WFC  599.8  180  B                                
 543421 c139b             4:04:25.19 -02:11:48.9 2000.00  23:00 1.166  WFC  599.8  180  B                                
 543422 c139r             4:04:25.20 -02:11:49.0 2000.00  23:11 1.167  WFC  299.9  180  r                                
 543423 c139r             4:04:29.19 -02:10:48.9 2000.00  23:18 1.168  WFC   64.5  180  r                                
 543424 c139r             4:04:29.20 -02:10:48.9 2000.00  23:20 1.170  WFC  299.9  180  r                                
 543425 c139r             4:04:25.19 -02:11:49.0 2000.00  23:28 1.174  WFC  299.9  180  r                                
 543426 sa92r             0:54:00.00 +00:39:59.9 2000.00  23:35 2.000  WFC   40.1  180  r                                
 543427 sa92r             0:53:58.00 +00:39:29.9 2000.00  23:37 2.020  WFC   20.1  180  r                                
 543428 sa92v             0:53:58.00 +00:39:30.0 2000.00  23:38 2.036  WFC   20.1  180  V                                
 543429 sa92v             0:53:58.00 +00:39:30.0 2000.00  23:39 2.058  WFC   59.6  180  V                                
 543430 sa92b             0:53:57.99 +00:39:29.9 2000.00  23:41 2.084  WFC   60.0  180  B                                
 543431 sa92b             0:53:58.00 +00:39:30.0 2000.00  23:43 2.107  WFC   30.1  180  B                                
 543432 sa98b             6:52:10.00 -00:23:32.0 2000.00  23:46 1.337  WFC   20.1  180  B                                
 543433 sa98b             6:52:09.99 -00:23:32.0 2000.00  23:47 1.330  WFC   60.0  180  B                                
 543434 sa98v             6:52:09.99 -00:23:32.0 2000.00  23:49 1.325  WFC   30.1  180  B                                
 543435 sa98r             6:52:09.99 -00:23:32.0 2000.00  23:51 1.319  WFC   19.5  180  r                                
 543436 n2683r            8:52:41.79 +33:25:19.9 2000.00  23:55 1.540  WFC  300.0  180  r                                
 543437 n2683r            8:52:39.40 +33:24:50.0 2000.00  00:02 1.493  WFC  299.9  180  r                                
 543438 n2683r            8:52:44.19 +33:25:50.0 2000.00  00:10 1.450  WFC  300.0  180  r                                
 543439 n2683v            8:52:44.19 +33:25:49.9 2000.00  00:16 1.418  WFC  299.4  180  V                                
 543440 n2683v            8:52:44.19 +33:25:49.9 2000.00  00:23 1.384  WFC  299.9  180  V                                
 543441 n2683v            8:52:39.40 +33:24:49.9 2000.00  00:30 1.352  WFC  300.0  180  V                                
 543442 n2683b            8:52:39.40 +33:24:50.0 2000.00  00:37 1.309  WFC  599.2  180  B                                
 543443 n2683b            8:52:39.40 +33:24:50.0 2000.00  00:49 1.265  WFC  599.7  180  B                                
 543444 n2683b            8:52:44.19 +33:25:50.0 2000.00  01:01 1.225  WFC  599.7  180  B                                
 543445 c324r             9:22:02.29 +50:58:44.0 2000.00  01:15 1.314  WFC  300.0  180  r                                
 543446 c324r             9:22:05.48 +50:59:13.9 2000.00  01:22 1.294  WFC  298.9  180  r                                
 543447 c324r             9:21:59.12 +50:58:14.0 2000.00  01:29 1.276  WFC  299.9  180  r                                
 543448 c324v             9:21:59.12 +50:58:13.9 2000.00  01:35 1.260  WFC  299.9  180  V                                
 543449 c324v             9:21:59.12 +50:58:14.0 2000.00  01:42 1.243  WFC  299.9  180  V                                
 543450 c324v             9:22:05.47 +50:59:14.0 2000.00  01:49 1.227  WFC  299.9  180  V                                
 543451 c324b             9:22:05.47 +50:59:14.0 2000.00  01:55 1.210  WFC  599.7  180  B                                
 543452 c324b             9:22:05.48 +50:59:14.0 2000.00  02:07 1.186  WFC  599.7  180  B                                
 543453 Focus run        10:42:42.20 +34:26:56.0 2000.00  02:26 1.341  WFC   19.1  180  B                                
 543455 c434r            10:42:42.19 +34:26:55.9 2000.00  02:42 1.260  WFC  299.9  180  r                                
 543456 c434r            10:42:44.63 +34:27:26.0 2000.00  02:50 1.234  WFC  299.9  180  r                                
 543457 c434r            10:42:39.77 +34:26:26.0 2000.00  02:57 1.213  WFC  300.0  180  r                                
 543458 c434v            10:42:39.77 +34:26:25.9 2000.00  03:02 1.196  WFC  299.9  180  V                                
 543459 c434v            10:42:39.77 +34:26:26.0 2000.00  03:08 1.180  WFC  300.0  180  V                                
 543460 c434v            10:42:44.63 +34:27:25.8 2000.00  03:14 1.165  WFC  299.9  180  V                                
 543461 c434b            10:42:44.62 +34:27:26.0 2000.00  03:21 1.143  WFC  599.7  180  B                                
 543462 c434b            10:42:44.62 +34:27:25.9 2000.00  03:33 1.117  WFC  599.7  180  B                                
 543463 c469r            11:11:30.98 +55:40:27.0 2000.00  03:47 1.245  WFC  299.9  180  r                                
 543464 c469r            11:11:34.52 +55:40:57.0 2000.00  03:53 1.233  WFC  299.9  180  r                                
 543465 c469r            11:11:27.43 +55:39:57.1 2000.00  03:59 1.222  WFC  299.4  180  r                                
 543466 c469v            11:11:27.43 +55:39:56.9 2000.00  04:05 1.212  WFC  299.9  180  V                                
 543467 c469v            11:11:27.42 +55:39:57.0 2000.00  04:11 1.202  WFC  299.9  180  V                                
 543468 c469v            11:11:34.53 +55:40:57.2 2000.00  04:17 1.194  WFC  299.9  180  V                                
 543469 c469b            11:11:34.52 +55:40:57.0 2000.00  04:25 1.181  WFC  599.8  180  B                                
 543470 c469b            11:11:34.52 +55:40:56.9 2000.00  04:37 1.167  WFC  599.8  180  B                                
 543471 c469b            11:11:27.43 +55:39:57.0 2000.00  04:50 1.154  WFC  599.2  180  B                                
 543472 m64r             12:56:43.83 +21:40:59.9 2000.00  05:03 1.282  WFC  200.0  180  r                                
 543473 m64r             12:56:41.67 +21:40:30.1 2000.00  05:07 1.266  WFC  200.0  180  r                                
 543474 m64r             12:56:45.98 +21:41:29.8 2000.00  05:11 1.250  WFC  199.5  180  r                                
 543475 m64r             12:56:48.13 +21:41:59.8 2000.00  05:15 1.235  WFC  199.9  180  r                                
 543476 m64r             12:56:39.52 +21:40:00.0 2000.00  05:20 1.221  WFC  199.9  180  r                                
 543477 m64r             12:56:43.83 +21:41:00.0 2000.00  05:24 1.207  WFC  200.0  180  V                                
 543478 m64r             12:56:45.98 +21:41:29.7 2000.00  05:28 1.194  WFC  199.4  180  V                                
 543479 m64r             12:56:41.68 +21:40:30.1 2000.00  05:32 1.182  WFC  200.0  180  V                                
 543480 m64r             12:56:39.52 +21:40:00.1 2000.00  05:37 1.170  WFC  200.0  180  V                                
 543481 m64r             12:56:48.14 +21:41:59.7 2000.00  05:41 1.159  WFC  199.4  180  V                                
 543482 m64b             12:56:43.82 +21:40:59.9 2000.00  05:45 1.144  WFC  399.9  180  B                                
 543483 m64b             12:56:45.98 +21:41:29.8 2000.00  05:53 1.127  WFC  399.8  180  B                                
 543484 m64b             12:56:41.67 +21:40:29.9 2000.00  06:01 1.109  WFC  399.8  180  B                                
 543485 m64b             12:56:39.52 +21:40:00.2 2000.00  06:08 1.095  WFC  399.8  180  B                                
 543486 m64b             12:56:48.13 +21:42:00.0 2000.00  06:16 1.082  WFC  399.8  180  B                                
 543487 m64b             12:56:50.28 +21:42:29.9 2000.00  06:24 1.069  WFC  399.3  180  B                                
 543488 m64h             12:56:43.83 +21:41:00.0 2000.00  06:33 1.057  WFC  399.8  180  Halpha                           
 543489 m64h             12:56:45.98 +21:41:30.0 2000.00  06:43 1.045  WFC  399.8  180  Halpha                           
