INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 07 02 06:41

TELESCOPE             INT
DATE                  20040701
OBSERVER/S            P.Guterman
PROGRAMME             CoRoT
PROPOSAL REF          CAT 
TELESCOPE OPERATOR    no one
SUPPORT ASTRONOMER    Antonio Garcia

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:43
SUNRISE (UT)          06:09
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       06:55
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:04

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  20.0   21     3.5   4.2  136   777.3   20.0  22.5    20.6   21    20 
22:00  19.7   18     6.5   6.8   48   777.7   19.7  21.1    20.8   18    17 
23:00  19.7   18    14.3  15.9   21   778.2   19.7  20.9    20.7   18    17 
00:00  19.9   17    18.1  19.3   45   778.5   19.9  20.8    20.7   17    17 
01:00  19.6   17    17.1  20.2   10   778.2   19.6  20.4    20.8   17    17 
02:00  19.4   17    13.6  14.6    2   777.9   19.4  20.2    20.6   17    17 
03:00  19.4   17    15.5  17.3    2   777.4   19.4  19.9    20.6   17    17 
04:00  19.6   16    18.3  19.0   11   777.1   19.6  19.9    20.6   16    16 
05:00  19.4   16    20.8  21.5   30   776.5   19.4  19.6    20.4   16    17 
06:00  19.6   14    19.6  20.0   23   776.5   19.6  19.7    20.4   14    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
not photometric. sahara dust brume  + full moon

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 405778 Bias frame                                        14:26        WFC    0.0       B                                
 405817 181555_3a        19:29:00.00 -02:23:05.9 J2000.00 23:33 1.460  WFC   16.1  180  V                                
 405818 181555_3a        19:29:00.00 -02:23:06.0 J2000.00 23:34 1.456  WFC   10.1  180  r                                
 405819 181555_3a        19:29:00.00 -02:23:06.0 J2000.00 23:35 1.452  WFC   10.1  180  i                                
 405820 181555_4a        19:30:59.99 -02:23:05.9 J2000.00 23:35 1.456  WFC   40.1  180  B                                
 405821 181555_4a        19:31:00.00 -02:23:06.0 J2000.00 23:37 1.450  WFC   16.1  180  V                                
 405822 181555_4a        19:31:00.00 -02:23:05.9 J2000.00 23:38 1.446  WFC   10.1  180  r                                
 405823 181555_4a        19:31:00.00 -02:23:06.0 J2000.00 23:39 1.442  WFC   10.1  180  i                                
 405824 110-365          18:42:57.39 +00:07:23.0 J2000.00 23:41 1.236  WFC   19.5  180  B                                
 405825 110-365          18:42:57.39 +00:07:22.9 J2000.00 23:42 1.233  WFC    7.1  180  V                                
 405826 110-365          18:42:57.40 +00:07:23.0 J2000.00 23:43 1.232  WFC    4.5  180  r                                
 405827 110-365          18:42:57.40 +00:07:22.9 J2000.00 23:44 1.230  WFC    5.1  180  i                                
 405828 170580_5a        18:30:08.99 +01:15:55.2 J2000.00 23:46 1.187  WFC   39.5  180  B                                
 405829 170580_5a        18:30:09.00 +01:15:55.0 J2000.00 23:47 1.185  WFC   16.1  180  V                                
 405830 170580_5a        18:30:08.99 +01:15:54.9 J2000.00 23:48 1.184  WFC   10.1  180  r                                
 405831 170580_5a        18:30:08.99 +01:15:55.0 J2000.00 23:49 1.182  WFC   10.1  180  i                                
 405832 170580_12a       18:28:08.99 +01:45:55.1 J2000.00 23:51 1.171  WFC   40.1  180  B                                
 405833 170580_12a       18:28:09.00 +01:45:55.0 J2000.00 23:52 1.169  WFC   16.1  180  V                                
 405834 170580_12a       18:28:09.00 +01:45:55.0 J2000.00 23:53 1.168  WFC   10.1  180  r                                
 405835 170580_12a       18:28:08.99 +01:45:55.0 J2000.00 23:54 1.166  WFC   10.1  180  i                                
 405836 170580_7a        18:34:08.99 +01:15:54.8 J2000.00 23:57 1.176  WFC   40.1  180  B                                
 405837 170580_7a        18:34:08.99 +01:15:55.0 J2000.00 23:58 1.174  WFC   16.1  180  V                                
 405838 170580_7a        18:34:08.99 +01:15:54.9 J2000.00 23:59 1.173  WFC   10.1  180  r                                
 405839 170580_7a        18:34:09.00 +01:15:55.0 J2000.00 00:00 1.171  WFC   10.1  180  i                                
 405840 170580_8a        18:36:08.99 +01:15:55.0 J2000.00 00:01 1.173  WFC   40.1  180  B                                
 405841 170580_8a        18:36:09.00 +01:15:54.9 J2000.00 00:02 1.171  WFC   16.1  180  V                                
 405842 170580_8a        18:36:09.00 +01:15:55.0 J2000.00 00:03 1.170  WFC   10.1  180  r                                
 405843 170580_8a        18:36:09.00 +01:15:54.9 J2000.00 00:04 1.168  WFC    9.5  180  i                                
 405844 170580_8a        18:36:08.99 +01:15:54.9 J2000.00 00:05 1.167  WFC   40.1  180  B                                
 405845 170580_8a        18:36:09.00 +01:15:54.9 J2000.00 00:07 1.165  WFC   16.1  180  V                                
 405846 170580_8a        18:36:09.00 +01:15:54.9 J2000.00 00:08 1.164  WFC   10.1  180  r                                
 405847 170580_8a        18:36:09.00 +01:15:54.9 J2000.00 00:08 1.163  WFC   10.1  180  i                                
 405848 170580_9a        18:38:08.99 +01:15:54.9 J2000.00 00:09 1.164  WFC   40.1  180  B                                
 405849 170580_9a        18:38:08.99 +01:15:55.0 J2000.00 00:11 1.162  WFC   16.1  180  V                                
 405850 170580_9a        18:38:09.00 +01:15:55.0 J2000.00 00:12 1.161  WFC   10.1  180  r                                
 405851 170580_9a        18:38:08.99 +01:15:55.0 J2000.00 00:13 1.160  WFC   10.1  180  i                                
 405852 170580_10a       18:40:09.00 +01:15:55.0 J2000.00 00:14 1.161  WFC   40.1  180  B                                
 405853 170580_10a       18:40:09.00 +01:15:55.0 J2000.00 00:15 1.160  WFC   16.1  180  V                                
 405854 170580_10a       18:40:09.00 +01:15:55.0 J2000.00 00:16 1.158  WFC    9.5  180  r                                
 405855 170580_10a       18:40:08.99 +01:15:55.0 J2000.00 00:17 1.157  WFC   10.1  180  i                                
 405856 170580_11a       18:42:08.99 +01:15:55.0 J2000.00 00:18 1.158  WFC   39.5  180  B                                
 405857 170580_11a       18:42:08.99 +01:15:55.0 J2000.00 00:19 1.157  WFC   16.1  180  V                                
 405858 170580_11a       18:42:08.99 +01:15:54.9 J2000.00 00:20 1.156  WFC   10.1  180  r                                
 405859 170580_11a       18:42:08.99 +01:15:55.0 J2000.00 00:21 1.155  WFC   10.1  180  i                                
 405860 170580_1a        18:34:09.00 +00:45:54.9 J2000.00 00:22 1.151  WFC   40.1  180  B                                
 405861 170580_1a        18:34:09.00 +00:45:54.9 J2000.00 00:23 1.150  WFC   16.1  180  V                                
 405862 170580_1a        18:34:09.00 +00:45:54.9 J2000.00 00:24 1.149  WFC   10.1  180  r                                
 405863 170580_1a        18:34:09.00 +00:45:55.0 J2000.00 00:25 1.148  WFC   10.1  180  i                                
 405864 170580_2a        18:36:09.00 +00:45:54.9 J2000.00 00:26 1.149  WFC   40.1  180  B                                
 405865 170580_2a        18:36:09.00 +00:45:55.0 J2000.00 00:27 1.148  WFC   16.1  180  V                                
 405866 170580_2a        18:36:08.99 +00:45:55.0 J2000.00 00:28 1.147  WFC   10.1  180  r                                
 405867 170580_2a        18:36:09.00 +00:45:55.0 J2000.00 00:29 1.147  WFC    9.5  180  i                                
 405868 170580_3a        18:38:09.00 +00:45:55.0 J2000.00 00:30 1.147  WFC   40.1  180  B                                
 405869 170580_3a        18:38:08.99 +00:45:54.9 J2000.00 00:32 1.146  WFC   15.6  180  V                                
 405870 170580_3a        18:38:08.99 +00:45:55.0 J2000.00 00:33 1.146  WFC    9.6  180  r                                
 405871 170580_3a        18:38:09.00 +00:45:55.0 J2000.00 00:33 1.145  WFC   10.1  180  i                                
 405872 170580_4a        18:40:09.00 +00:45:54.9 J2000.00 00:34 1.146  WFC   40.1  180  B                                
 405873 170580_4a        18:40:09.00 +00:45:55.0 J2000.00 00:36 1.145  WFC   16.1  180  V                                
 405874 170580_4a        18:40:08.99 +00:45:55.0 J2000.00 00:37 1.144  WFC   10.1  180  r                                
 405875 170580_4a        18:40:08.99 +00:45:55.0 J2000.00 00:38 1.143  WFC    9.5  180  i                                seeing 0.8
 405876 110-365          18:42:57.40 +00:07:22.9 J2000.00 00:39 1.151  WFC   20.1  180  B                                seeing 0.6 
 405877 110-365          18:42:57.40 +00:07:23.0 J2000.00 00:40 1.150  WFC    7.1  180  V                                
 405878 110-365          18:42:57.39 +00:07:23.0 J2000.00 00:41 1.150  WFC    5.1  180  r                                
 405879 110-365          18:42:57.39 +00:07:22.9 J2000.00 00:42 1.149  WFC    5.1  180  i                                
 405880 171834_97a       18:48:14.00 +04:57:00.1 J2000.00 00:44 1.104  WFC   39.5  180  B                                
 405881 171834_97a       18:48:14.00 +04:56:59.9 J2000.00 00:45 1.103  WFC   16.1  180  V                                
 405882 171834_97a       18:48:14.00 +04:57:00.0 J2000.00 00:46 1.103  WFC   10.1  180  r                                
 405883 171834_97a       18:48:14.00 +04:56:59.9 J2000.00 00:47 1.102  WFC   10.1  180  i                                
 405884 171834_98a       18:46:13.99 +04:57:00.0 J2000.00 00:50 1.099  WFC   40.1  180  B                                
 405885 171834_98a       18:46:13.99 +04:57:00.0 J2000.00 00:52 1.099  WFC   16.1  180  V                                
 405886 171834_98a       18:46:13.99 +04:57:00.0 J2000.00 00:53 1.098  WFC    9.5  180  r                                
 405887 171834_98a       18:46:14.00 +04:57:00.0 J2000.00 00:53 1.098  WFC   10.1  180  i                                
 405888 171834_99a       18:44:14.00 +04:56:59.9 J2000.00 00:54 1.096  WFC   40.1  180  B                                
 405889 171834_99a       18:44:13.99 +04:57:00.0 J2000.00 00:56 1.096  WFC   16.1  180  V                                
 405890 171834_99a       18:44:14.00 +04:57:00.0 J2000.00 00:57 1.096  WFC   10.1  180  r                                
 405891 171834_99a       18:44:13.99 +04:57:00.0 J2000.00 00:58 1.095  WFC   10.1  180  i                                
 405892 171834_100a      18:42:14.00 +04:56:59.9 J2000.00 00:58 1.094  WFC   40.1  180  B                                
 405893 171834_100a      18:42:14.00 +04:56:59.9 J2000.00 01:00 1.094  WFC   16.1  180  V                                
 405894 171834_100a      18:42:14.00 +04:57:00.0 J2000.00 01:01 1.094  WFC   10.1  180  r                                
 405895 171834_100a      18:42:13.99 +04:57:00.0 J2000.00 01:02 1.094  WFC   10.1  180  i                                
 405896 171834_101a      18:40:14.00 +04:56:59.9 J2000.00 01:03 1.093  WFC   40.1  180  B                                
 405897 171834_101a      18:40:14.00 +04:57:00.0 J2000.00 01:04 1.093  WFC   16.1  180  V                                
 405898 171834_101a      18:40:14.00 +04:56:59.9 J2000.00 01:05 1.093  WFC   10.1  180  r                                
 405899 171834_101a      18:40:14.00 +04:57:00.0 J2000.00 01:06 1.093  WFC   10.1  180  i                                
 405900 171834_102a      18:48:14.00 +04:27:00.1 J2000.00 01:07 1.098  WFC   40.1  180  B                                
 405901 171834_102a      18:48:14.00 +04:26:59.9 J2000.00 01:08 1.098  WFC   15.6  180  V                                
 405902 171834_102a      18:48:14.00 +04:27:00.0 J2000.00 01:09 1.098  WFC   10.1  180  r                                
 405903 171834_102a      18:48:14.00 +04:26:59.9 J2000.00 01:10 1.098  WFC   10.1  180  i                                
 405904 171834_103a      18:46:13.99 +04:27:00.0 J2000.00 01:11 1.097  WFC   39.5  180  B                                
 405905 171834_103a      18:46:14.00 +04:27:00.0 J2000.00 01:12 1.097  WFC   16.1  180  V                                seeing 0.7
