 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 692164 Bias              0:00:00.00 +00:00:00.0  2009.69 14:08 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692165 Bias              0:00:00.00 +00:00:00.0  2009.69 14:09 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692166 Bias              0:00:00.00 +00:00:00.0  2009.69 14:09 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692167 Bias              0:00:00.00 +00:00:00.0  2009.69 14:10 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692168 Bias              0:00:00.00 +00:00:00.0  2009.69 14:10 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692169 Bias              0:00:00.00 +00:00:00.0  2009.69 14:11 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692170 Bias              0:00:00.00 +00:00:00.0  2009.69 14:11 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692171 Bias              0:00:00.00 +00:00:00.0  2009.69 14:12 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692172 Bias              0:00:00.00 +00:00:00.0  2009.69 14:12 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692173 Bias              0:00:00.00 +00:00:00.0  2009.69 14:12 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692174 Bias              0:00:00.00 +00:00:00.0  2009.69 14:13 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692175 Bias              0:00:00.00 +00:00:00.0  2009.69 14:13 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692176 Bias              0:00:00.00 +00:00:00.0  2009.69 14:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692177 Bias              0:00:00.00 +00:00:00.0  2009.69 14:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692178 Bias              0:00:00.00 +00:00:00.0  2009.69 14:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692179 Bias              0:00:00.00 +00:00:00.0  2009.69 14:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692180 Bias              0:00:00.00 +00:00:00.0  2009.69 14:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692181 Bias              0:00:00.00 +00:00:00.0  2009.69 14:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692182 Bias              0:00:00.00 +00:00:00.0  2009.69 14:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692183 Bias              0:00:00.00 +00:00:00.0  2009.69 14:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692184 Bias              0:00:00.00 +00:00:00.0  2009.69 14:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692185 Bias              0:00:00.00 +00:00:00.0  2009.69 14:18 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692186 Bias              0:00:00.00 +00:00:00.0  2009.69 14:18 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692187 Bias              0:00:00.00 +00:00:00.0  2009.69 14:19 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692188 Bias              0:00:00.00 +00:00:00.0  2009.69 14:19 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692189 Bias              0:00:00.00 +00:00:00.0  2009.69 14:20 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692190 Bias              0:00:00.00 +00:00:00.0  2009.69 14:20 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692191 Bias              0:00:00.00 +00:00:00.0  2009.69 14:20 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692192 Bias              0:00:00.00 +00:00:00.0  2009.69 14:21 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692193 Bias              0:00:00.00 +00:00:00.0  2009.69 14:21 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692194 Bias              0:00:00.00 +00:00:00.0  2009.69 14:22 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692195 Bias              0:00:00.00 +00:00:00.0  2009.69 14:22 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692196 Bias              0:00:00.00 +00:00:00.0  2009.69 14:23 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692197 Bias              0:00:00.00 +00:00:00.0  2009.69 14:23 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692198 Bias              0:00:00.00 +00:00:00.0  2009.69 14:24 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692199 Bias              0:00:00.00 +00:00:00.0  2009.69 14:24 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692200 Bias              0:00:00.00 +00:00:00.0  2009.69 14:24 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692201 Bias              0:00:00.00 +00:00:00.0  2009.69 14:25 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692202 Bias              0:00:00.00 +00:00:00.0  2009.69 14:25 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692203 Bias              0:00:00.00 +00:00:00.0  2009.69 14:26 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692204 Bias              0:00:00.00 +00:00:00.0  2009.69 14:26 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692205 Bias              0:00:00.00 +00:00:00.0  2009.69 14:27 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692206 Bias              0:00:00.00 +00:00:00.0  2009.69 14:27 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692207 Bias              0:00:00.00 +00:00:00.0  2009.69 14:28 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692208 Bias              0:00:00.00 +00:00:00.0  2009.69 14:28 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692209 Bias              0:00:00.00 +00:00:00.0  2009.69 14:28 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692210 Bias              0:00:00.00 +00:00:00.0  2009.69 14:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692211 Bias              0:00:00.00 +00:00:00.0  2009.69 14:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692212 Bias              0:00:00.00 +00:00:00.0  2009.69 14:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692213 Bias              0:00:00.00 +00:00:00.0  2009.69 14:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692214 Bias              0:00:00.00 +00:00:00.0  2009.69 14:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692215 Bias              0:00:00.00 +00:00:00.0  2009.69 14:31 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692216 Bias              0:00:00.00 +00:00:00.0  2009.69 14:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692217 Bias              0:00:00.00 +00:00:00.0  2009.69 14:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692218 Bias              0:00:00.00 +00:00:00.0  2009.69 14:32 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692219 Bias              0:00:00.00 +00:00:00.0  2009.69 14:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692220 Bias              0:00:00.00 +00:00:00.0  2009.69 14:33 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692221 Bias              0:00:00.00 +00:00:00.0  2009.69 14:34 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692222 Bias              0:00:00.00 +00:00:00.0  2009.69 14:34 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692223 Bias              0:00:00.00 +00:00:00.0  2009.69 14:35 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692224 Bias              0:00:00.00 +00:00:00.0  2009.69 14:35 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692225 Bias              0:00:00.00 +00:00:00.0  2009.69 14:35 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692226 Bias              0:00:00.00 +00:00:00.0  2009.69 14:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692227 Bias              0:00:00.00 +00:00:00.0  2009.69 14:36 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692228 Bias              0:00:00.00 +00:00:00.0  2009.69 14:37 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692229 Bias              0:00:00.00 +00:00:00.0  2009.69 14:37 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692230 Bias              0:00:00.00 +00:00:00.0  2009.69 14:38 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692231 Bias              0:00:00.00 +00:00:00.0  2009.69 14:38 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692232 Bias              0:00:00.00 +00:00:00.0  2009.69 14:39 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692233 Bias              0:00:00.00 +00:00:00.0  2009.69 14:39 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692234 Bias              0:00:00.00 +00:00:00.0  2009.69 14:39 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692235 Bias              0:00:00.00 +00:00:00.0  2009.69 14:40 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692236 Bias              0:00:00.00 +00:00:00.0  2009.69 14:40 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692237 Bias              0:00:00.00 +00:00:00.0  2009.69 14:41 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692238 Bias              0:00:00.00 +00:00:00.0  2009.69 14:41 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692239 Bias              0:00:00.00 +00:00:00.0  2009.69 14:42 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692240 Bias              0:00:00.00 +00:00:00.0  2009.69 14:42 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692241 Bias              0:00:00.00 +00:00:00.0  2009.69 14:43 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
