INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 29 06:56

TELESCOPE             INT
DATE                  20050628
OBSERVER/S            Deeg/Almenara
PROGRAMME             COROT sample field observations
PROPOSAL REF          INT/05A/C11
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    47
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.4   11    11.1  12.2  271   773.3   14.4  16.1    16.7   11     6 
22:00  12.7    7    20.0  22.9  313   773.1   12.7  15.1    16.1    7     4 
23:00  11.4    4    23.1  24.8  315   773.4   11.4  13.4    16.2    4     2 
00:00  10.8    6    32.9  34.6  327   773.4   10.8  12.5    16.0    6     2 
01:00  10.7   15    21.0  24.5   11   773.6   10.7  12.5    15.8   15     7 
02:00  10.6   27    16.5  17.5  347   773.4   10.6  12.1    15.5   27    21 
03:00  11.6   22    21.4  22.2  339   773.1   11.6  12.7    15.4   22    14 
04:00  12.2   24    18.9  19.7  348   772.7   12.2  12.9    14.6   24    16 
05:00  12.2   24    17.6  18.6  331   772.5   12.2  12.5    14.4   24    20 
06:00  12.6   21    11.5  11.7  346   772.6   12.6  12.7    14.1   21    19 

TIME LOST weather           00:00
TIME LOST Technical         00:45
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear.

COMMENTS (causes of time lost, setup information eg CCD windows):
filter wheel error, see fault 16836. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 457241 Bias              5:59:59.99 +19:59:59.9 2005.489 13:13 1.019  WFC    0.0  180  i                                
 457285 181555_65b       19:25:02.00 +02:18:53.7 2000.00  22:54 1.664  WFC    8.1  180  B                                
 457286 181555_65b       19:25:01.99 +02:18:54.0 2000.00  22:55 1.658  WFC    3.1  180  V                                
 457287 181555_65b       19:25:02.00 +02:18:53.9 2000.00  22:55 1.652  WFC    2.1  180  r                                
 457288 181555_65b       19:25:01.99 +02:18:54.0 2000.00  22:56 1.647  WFC    1.5  180  i                                
 457289 181555_58b       19:27:01.99 +01:48:53.6 2000.00  22:57 1.663  WFC    8.1  180  B                                focus 43.75
 457290 181555_58b       19:27:01.99 +01:48:53.9 2000.00  22:58 1.656  WFC    3.1  180  V                                
 457291 181555_58b       19:27:02.00 +01:48:54.0 2000.00  22:59 1.651  WFC    2.1  180  r                                
 457292 181555_58b       19:27:02.00 +01:48:53.9 2000.00  23:00 1.645  WFC    2.1  180  i                                
 457293 181555_57b       19:25:01.99 +01:48:53.8 2000.00  23:01 1.622  WFC    8.1  180  B                                
 457294 181555_57b       19:25:02.00 +01:48:54.0 2000.00  23:02 1.616  WFC    3.1  180  V                                
 457295 181555_57b       19:25:02.00 +01:48:53.9 2000.00  23:02 1.611  WFC    1.5  180  r                                
 457296 181555_57b       19:25:02.00 +01:48:53.9 2000.00  23:03 1.606  WFC    2.1  180  i                                
 457297 181555_56b       19:23:01.98 +01:48:53.7 2000.00  23:04 1.585  WFC    8.1  180  B                                
 457298 181555_56b       19:23:01.99 +01:48:53.9 2000.00  23:05 1.579  WFC    3.1  180  V                                
 457299 181555_56b       19:23:02.00 +01:48:54.0 2000.00  23:06 1.574  WFC    2.1  180  r                                
 457300 181555_56b       19:23:01.99 +01:48:53.9 2000.00  23:06 1.570  WFC    1.5  180  i                                
 457301 181555_52b       19:27:01.99 +01:18:54.0 2000.00  23:07 1.602  WFC    8.1  180  B                                
 457302 181555_52b       19:27:01.99 +01:18:53.9 2000.00  23:08 1.596  WFC    3.1  180  V                                
 457303 181555_52b       19:27:01.99 +01:18:54.0 2000.00  23:09 1.591  WFC    2.1  180  r                                
 457304 181555_52b       19:27:01.99 +01:18:54.0 2000.00  23:09 1.587  WFC    2.1  180  i                                
