 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536286 G191B2B           5:05:30.60 +52:49:54.1 2000.00  01:58 1.095  WFC   10.1  180  r                                
 536287 G191B2B           5:05:30.60 +52:49:54.1 2000.00  01:59 1.095  WFC  100.0  180  HeI 5870                         
 536288 G191B2B           5:05:30.60 +52:49:54.0 2000.00  02:02 1.095  WFC   10.1  180  g                                
 536289 G191B2B           5:05:30.60 +52:49:54.0 2000.00  02:03 1.095  WFC  100.0  180  U                                
 536290 uvex_2421 He1     5:25:45.39 +27:04:59.7 2000.00  02:07 1.003  WFC  120.0  180  HeI 5870                         
 536291 uvex_2421 r       5:25:45.40 +27:04:59.7 2000.00  02:09 1.002  WFC   30.1  180  r                                
 536292 uvex_2421 U       5:25:45.40 +27:04:59.8 2000.00  02:11 1.002  WFC  120.0  180  U                                
 536293 uvex_2421 g       5:25:45.40 +27:04:59.8 2000.00  02:13 1.002  WFC   30.1  180  g                                
 536294 uvex_2421o He1    5:26:07.88 +27:09:59.8 2000.00  02:14 1.001  WFC  120.0  180  HeI 5870                         
 536295 uvex_2421o r      5:26:07.87 +27:09:59.7 2000.00  02:17 1.001  WFC   30.1  180  r                                
 536296 uvex_2421o U      5:26:07.87 +27:09:59.8 2000.00  02:19 1.001  WFC  120.0  180  U                                
 536297 uvex_2421o g      5:26:07.88 +27:09:59.8 2000.00  02:21 1.001  WFC   29.5  180  g                                
 536298 uvex_2424 He1     5:25:52.04 +32:01:59.0 2000.00  02:23 1.002  WFC  120.1  180  HeI 5870                         
 536299 uvex_2424 r       5:25:52.04 +32:01:59.7 2000.00  02:25 1.002  WFC   30.1  180  r                                
 536300 uvex_2424 U       5:25:52.04 +32:01:59.7 2000.00  02:27 1.002  WFC  119.4  180  U                                Gain error on CCD2
 536301 uvex_2424 g       5:25:52.04 +32:01:59.7 2000.00  02:29 1.002  WFC   30.0  180  g                                
 536302 uvex_2424o He1    5:26:15.65 +32:06:59.7 2000.00  02:31 1.002  WFC  120.0  180  HeI 5870                         
 536303 uvex_2424o r      5:26:15.64 +32:06:59.7 2000.00  02:33 1.002  WFC   30.1  180  r                                
 536304 uvex_2424o U      5:26:15.65 +32:06:59.6 2000.00  02:35 1.002  WFC  120.0  180  U                                
 536305 uvex_2424o g      5:26:15.65 +32:06:59.7 2000.00  02:37 1.003  WFC   30.0  180  g                                
 536306 uvex_2425o He1    5:26:25.28 +30:38:59.7 2000.00  02:39 1.002  WFC  120.0  180  HeI 5870                         
 536307 uvex_2425o r      5:26:25.28 +30:38:59.8 2000.00  02:41 1.002  WFC   29.5  180  r                                
 536308 uvex_2425o U      5:26:25.27 +30:38:59.7 2000.00  02:43 1.003  WFC  119.5  180  U                                
 536309 uvex_2425o g      5:26:25.28 +30:38:59.7 2000.00  02:45 1.003  WFC   30.1  180  g                                
 536310 uvex_2428o He1    5:26:36.28 +29:10:59.9 2000.00  02:46 1.003  WFC  120.0  180  HeI 5870                         
 536311 uvex_2428o r      5:26:36.28 +29:10:59.7 2000.00  02:49 1.004  WFC   30.0  180  r                                
 536312 uvex_2428o U      5:26:36.29 +29:10:59.7 2000.00  02:50 1.005  WFC  120.0  180  U                                
 536313 uvex_2428o g      5:26:36.28 +29:10:59.8 2000.00  02:53 1.005  WFC   30.1  180  g                                
 536314 uvex_2430 He1     5:26:26.81 +27:37:59.9 2000.00  02:54 1.007  WFC  120.0  180  HeI 5870                         
 536315 uvex_2430 r       5:26:26.80 +27:37:59.7 2000.00  02:57 1.007  WFC   30.0  180  r                                
 536316 uvex_2430 U       5:26:26.81 +27:37:59.8 2000.00  02:58 1.008  WFC  120.1  180  U                                
 536317 uvex_2430 g       5:26:26.80 +27:37:59.8 2000.00  03:01 1.009  WFC   30.1  180  g                                
 536318 uvex_2430o He1    5:26:49.40 +27:42:59.8 2000.00  03:02 1.010  WFC  120.0  180  HeI 5870                         
 536319 uvex_2430o r      5:26:49.39 +27:42:59.8 2000.00  03:05 1.011  WFC   30.1  180  r                                
 536320 uvex_2430o U      5:26:49.40 +27:42:59.7 2000.00  03:06 1.012  WFC  120.0  180  U                                
 536321 uvex_2430o g      5:26:49.40 +27:42:59.8 2000.00  03:09 1.014  WFC   30.1  180  g                                
 536322 uvex_2437 He1     5:26:46.28 +31:06:59.5 2000.00  03:10 1.015  WFC  120.0  180  HeI 5870                         
 536323 uvex_2437 r       5:26:46.28 +31:06:59.6 2000.00  03:13 1.017  WFC   30.1  180  r                                
 536324 uvex_2437 U       5:26:46.28 +31:06:59.7 2000.00  03:14 1.018  WFC  120.1  180  U                                
 536325 uvex_2437 g       5:26:46.27 +31:06:59.7 2000.00  03:17 1.020  WFC   29.5  180  g                                
 536326 uvex_2438 He1     5:26:56.34 +29:38:59.9 2000.00  03:18 1.021  WFC  120.0  180  HeI 5870                         
 536327 uvex_2438 r       5:26:56.34 +29:38:59.8 2000.00  03:21 1.022  WFC   30.1  180  r                                
 536328 uvex_2438 U       5:26:56.35 +29:38:59.7 2000.00  03:22 1.024  WFC  120.0  180  U                                
 536329 uvex_2438 g       5:26:56.35 +29:38:59.8 2000.00  03:25 1.025  WFC   29.5  180  g                                
 536330 uvex_2438o He1    5:27:19.38 +29:43:59.8 2000.00  03:26 1.027  WFC  120.0  180  HeI 5870                         
 536331 uvex_2438o r      5:27:19.38 +29:43:59.7 2000.00  03:29 1.029  WFC   30.1  180  r                                
 536332 uvex_2438o U      5:27:19.38 +29:43:59.8 2000.00  03:30 1.031  WFC  120.0  180  U                                
 536333 uvex_2438o g      5:27:19.38 +29:43:59.8 2000.00  03:33 1.033  WFC   30.1  180  g                                
 536334 uvex_2440 He1     5:27:09.16 +28:10:59.9 2000.00  03:34 1.035  WFC  120.0  180  HeI 5870                         
 536335 uvex_2440 r       5:27:09.16 +28:10:59.8 2000.00  03:37 1.037  WFC   30.1  180  r                                
 536336 uvex_2440 U       5:27:09.16 +28:10:59.7 2000.00  03:38 1.039  WFC  120.0  180  U                                
 536337 uvex_2440 g       5:27:09.17 +28:10:59.8 2000.00  03:41 1.042  WFC   30.1  180  g                                
 536338 uvex_2440o He1    5:27:31.88 +28:15:59.8 2000.00  03:42 1.044  WFC  120.0  180  HeI 5870                         
 536339 uvex_2440o r      5:27:31.88 +28:15:59.8 2000.00  03:45 1.046  WFC   30.1  180  r                                
 536340 uvex_2440o U      5:27:31.87 +28:15:59.8 2000.00  03:46 1.049  WFC  120.0  180  U                                
 536341 uvex_2440o g      5:27:31.88 +28:15:59.8 2000.00  03:49 1.051  WFC   30.1  180  g                                
 536342 SA98-650          6:52:04.31 -00:19:38.9 2000.00  03:52 1.144  WFC  100.0  180  HeI 5870                         
 536343 SA98-650          6:52:04.32 -00:19:39.0 2000.00  03:55 1.144  WFC   10.1  180  r                                
 536344 SA98-650          6:52:04.31 -00:19:39.0 2000.00  03:56 1.144  WFC  100.0  180  U                                
 536345 SA98-650          6:52:04.32 -00:19:38.9 2000.00  03:58 1.145  WFC    9.6  180  r                                
 536346 uvex_3434 He1     6:24:08.02 +02:53:00.2 2000.00  04:01 1.126  WFC  120.0  180  HeI 5870                         
 536347 uvex_3434 r       6:24:08.01 +02:53:00.0 2000.00  04:04 1.128  WFC   30.1  180  r                                
 536348 uvex_3434 U       6:24:08.02 +02:53:00.0 2000.00  04:05 1.130  WFC  120.0  180  U                                
 536349 uvex_3434 g       6:24:08.02 +02:52:59.9 2000.00  04:07 1.132  WFC   30.1  180  g                                
 536350 uvex_3434o He1    6:24:28.05 +02:58:00.0 2000.00  04:09 1.132  WFC  119.5  180  HeI 5870                         
 536351 uvex_3434o r      6:24:28.05 +02:58:00.0 2000.00  04:11 1.134  WFC   30.1  180  r                                
 536352 uvex_3434o U      6:24:28.05 +02:58:00.0 2000.00  04:13 1.136  WFC  120.0  180  U                                
 536353 uvex_3434o g      6:24:28.05 +02:58:00.0 2000.00  04:15 1.138  WFC   30.1  180  g                                
 536354 uvex_3450 He1     6:24:52.45 +03:26:00.0 2000.00  04:17 1.136  WFC  120.0  180  HeI 5870                         
 536355 uvex_3450 r       6:24:52.46 +03:26:00.0 2000.00  04:19 1.138  WFC   30.1  180  r                                
 536356 uvex_3450 U       6:24:52.46 +03:26:00.0 2000.00  04:20 1.140  WFC  120.0  180  U                                
 536357 uvex_3450 g       6:24:52.45 +03:26:00.0 2000.00  04:23 1.143  WFC   30.1  180  g                                
 536358 uvex_3450o He1    6:25:12.50 +03:30:59.8 2000.00  04:24 1.144  WFC  120.0  180  HeI 5870                         
 536359 uvex_3450o r      6:25:12.49 +03:31:00.1 2000.00  04:27 1.147  WFC   30.1  180  r                                
 536360 uvex_3450o U      6:25:12.50 +03:31:00.0 2000.00  04:28 1.149  WFC  119.5  180  U                                
 536361 uvex_3450o g      6:25:12.50 +03:30:59.9 2000.00  04:31 1.152  WFC   30.1  180  g                                
 536362 uvex_3452 He1     6:24:53.31 +04:54:00.1 2000.00  04:32 1.142  WFC  120.0  180  HeI 5870                         
 536363 uvex_3452 r       6:24:53.30 +04:54:00.0 2000.00  04:35 1.145  WFC   30.1  180  r                                
 536364 uvex_3452 U       6:24:53.31 +04:54:00.0 2000.00  04:36 1.148  WFC  120.0  180  U                                
 536365 uvex_3452 g       6:24:53.30 +04:54:00.1 2000.00  04:39 1.152  WFC   30.1  180  g                                
 536366 uvex_3452o He1    6:25:13.38 +04:59:00.0 2000.00  04:40 1.153  WFC  120.0  180  HeI 5870                         
 536367 uvex_3452o r      6:25:13.39 +04:59:00.0 2000.00  04:43 1.157  WFC   30.1  180  r                                
 536368 uvex_3452o U      6:25:13.39 +04:58:59.9 2000.00  04:44 1.160  WFC  120.0  180  U                                
 536369 uvex_3452o g      6:25:13.39 +04:59:00.1 2000.00  04:47 1.164  WFC   30.1  180  g                                
 536370 uvex_3461 He1     6:25:35.26 +02:31:00.1 2000.00  04:48 1.192  WFC  119.5  180  HeI 5870                         
 536371 uvex_3461 r       6:25:35.26 +02:31:00.0 2000.00  04:51 1.196  WFC   30.1  180  r                                
 536372 uvex_3461 U       6:25:35.26 +02:30:59.9 2000.00  04:52 1.200  WFC  120.0  180  U                                
 536373 uvex_3461 g       6:25:35.26 +02:30:59.9 2000.00  04:55 1.204  WFC   30.1  180  g                                
 536374 uvex_3461o He1    6:25:55.28 +02:36:00.0 2000.00  04:56 1.207  WFC  119.5  180  HeI 5870                         
 536375 uvex_3461o r      6:25:55.27 +02:36:00.0 2000.00  04:59 1.211  WFC   30.1  180  r                                
 536376 uvex_3461o U      6:25:55.28 +02:36:00.0 2000.00  05:00 1.216  WFC  119.5  180  U                                
 536377 uvex_3461o g      6:25:55.28 +02:36:00.0 2000.00  05:03 1.220  WFC   30.1  180  g                                
 536378 uvex_3465 He1     6:25:36.67 +03:59:00.2 2000.00  05:04 1.210  WFC  120.0  180  HeI 5870                         
 536379 uvex_3465 r       6:25:36.68 +03:58:59.9 2000.00  05:07 1.215  WFC   30.1  180  r                                
 536380 uvex_3465 U       6:25:36.68 +03:59:00.0 2000.00  05:08 1.220  WFC  119.5  180  U                                
 536381 uvex_3465 g       6:25:36.67 +03:58:59.9 2000.00  05:11 1.225  WFC   30.1  180  g                                
 536382 uvex_3465o He1    6:25:56.72 +04:04:00.1 2000.00  05:12 1.228  WFC  120.1  180  HeI 5870                         
 536383 uvex_3465o r      6:25:56.73 +04:04:00.0 2000.00  05:15 1.233  WFC   30.1  180  r                                
 536384 uvex_3465o U      6:25:56.73 +04:04:00.1 2000.00  05:16 1.239  WFC  120.0  180  U                                
 536385 uvex_3465o g      6:25:56.73 +04:03:59.9 2000.00  05:19 1.244  WFC   30.1  180  g                                
 536386 uvex_3468 He1     6:25:37.21 +05:27:00.2 2000.00  05:20 1.236  WFC  120.0  180  HeI 5870                         
 536387 uvex_3468 r       6:25:37.20 +05:27:00.0 2000.00  05:23 1.241  WFC   30.1  180  r                                
 536388 uvex_3468 U       6:25:37.21 +05:27:00.1 2000.00  05:24 1.247  WFC  120.0  180  U                                
 536389 uvex_3468 g       6:25:37.21 +05:27:00.0 2000.00  05:27 1.253  WFC   30.1  180  g                                
 536390 uvex_3468o He1    6:25:57.30 +05:31:59.9 2000.00  05:28 1.257  WFC  120.0  180  HeI 5870                         
 536391 uvex_3468o r      6:25:57.29 +05:31:59.9 2000.00  05:31 1.264  WFC   29.5  180  r                                
 536392 uvex_3468o U      6:25:57.30 +05:32:00.0 2000.00  05:32 1.270  WFC  120.0  180  U                                
 536393 uvex_3468o g      6:25:57.30 +05:32:00.1 2000.00  05:35 1.276  WFC   30.1  180  g                                
 536394 uvex_3472 He1     6:26:17.68 +01:36:00.1 2000.00  05:36 1.333  WFC  120.0  180  HeI 5870                         
 536395 uvex_3472 r       6:26:17.68 +01:36:00.0 2000.00  05:38 1.340  WFC   30.0  180  r                                
 536396 uvex_3472 U       6:26:17.68 +01:36:00.0 2000.00  05:40 1.347  WFC  120.0  180  U                                
 536397 uvex_3472 g       6:26:17.68 +01:35:59.9 2000.00  05:42 1.355  WFC   30.1  180  g                                
 536398 BD+750325         8:10:49.44 +74:57:57.9 2000.00  05:47 1.449  WFC    9.5  180  r                                
 536399 BD+750325         8:10:49.44 +74:57:58.0 2000.00  05:48 1.449  WFC  100.1  180  HeI 5870                         
 536400 BD+750325         8:10:49.44 +74:57:58.0 2000.00  05:51 1.450  WFC   10.1  180  g                                
 536401 BD+750325         8:10:49.44 +74:57:58.0 2000.00  05:52 1.451  WFC  100.0  180  U                                
 536402 BD+082015         8:15:41.52 +07:37:05.9 2000.00  05:57 1.090  WFC  100.0  180  U                                
 536403 BD+082015         8:15:41.52 +07:37:05.9 2000.00  06:00 1.092  WFC   10.1  180  g                                
 536404 BD+082015         8:15:41.52 +07:37:05.9 2000.00  06:01 1.093  WFC  100.0  180  HeI 5870                         
 536405 BD+082015         8:15:41.51 +07:37:05.9 2000.00  06:03 1.095  WFC   10.1  180  r                                
 536406 G193-74           7:53:27.36 +52:29:35.9 2000.00  06:07 1.127  WFC   10.1  180  r                                
 536407 G193-74           7:53:27.36 +52:29:35.8 2000.00  06:08 1.128  WFC  100.0  180  HeI 5870                         
 536408 G193-74           7:53:27.36 +52:29:35.9 2000.00  06:11 1.130  WFC   10.1  180  g                                
 536409 G193-74           7:53:27.35 +52:29:35.7 2000.00  06:12 1.132  WFC  100.0  180  U                                
 536410 Flat field        4:25:46.00 +54:09:03.0 1950.00  06:51 2.104  WFC  120.0  180  r                                
 536411 Flat field        4:25:47.14 +54:09:12.8 1950.00  06:54 2.136  WFC  120.1  180  r                                
 536412 Flat field        4:25:47.14 +54:09:12.9 1950.00  06:57 2.177  WFC  180.0  180  r                                
 536413 Flat field        4:25:47.13 +54:09:12.9 1950.00  07:02 2.218  WFC  120.0  180  r                                
 536414 Flat field        4:25:47.13 +54:09:12.9 1950.00  07:05 2.248  WFC   60.1  180  r                                
 536415 Flat field        4:25:47.13 +54:09:13.1 1950.00  07:07 2.270  WFC   40.1  180  r                                
 536416 Flat field        4:25:46.00 +54:09:03.0 1950.00  07:09 2.290  WFC   40.0  180  g                                
 536417 Flat field        4:25:47.14 +54:09:12.9 1950.00  07:11 2.308  WFC   10.1  180  g                                
 536418 Flat field        4:25:47.13 +54:09:12.9 1950.00  07:12 2.323  WFC    8.1  180  g                                
 536419 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:13 2.334  WFC    5.1  180  g                                
 536420 Flat field        4:25:46.00 +54:09:03.2 1950.00  07:14 2.348  WFC   10.1  180  U                                
 536421 Flat field        4:25:47.14 +54:09:12.7 1950.00  07:15 2.360  WFC   10.1  180  U                                
 536422 Flat field        4:25:47.14 +54:09:12.9 1950.00  07:16 2.372  WFC    8.1  180  U                                
 536423 Flat field        4:25:45.99 +54:09:03.0 1950.00  07:17 2.387  WFC   10.1  180  Halpha                           
 536424 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:18 2.407  WFC   30.1  180  Halpha                           
 536425 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:20 2.429  WFC   30.1  180  Halpha                           
 536426 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:22 2.448  WFC   10.1  180  Halpha                           
 536427 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:23 2.462  WFC   20.1  180  HeI 5870                         
 536428 Flat field        4:25:46.00 +54:09:03.0 1950.00  07:24 2.485  WFC   20.1  180  HeI 5870                         
 536429 Flat field        4:25:47.13 +54:09:13.0 1950.00  07:26 2.509  WFC   20.1  180  HeI 5870                         
