 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 488869 ngc869 ha 60      2:19:00.00 +57:09:24.9 2000.00  21:22 1.142  WFC   60.1  180  Halpha                           
 488870 ngc869 u 80       2:18:59.99 +57:09:25.0 2000.00  21:24 1.143  WFC   80.0  180  stromgren u                      
 488871 ngc869 v 40       2:18:59.99 +57:09:25.0 2000.00  21:26 1.143  WFC   40.1  180  stromgren v                      
 488872 ngc869 b 20       2:18:59.99 +57:09:25.0 2000.00  21:28 1.144  WFC   19.6  180  stromgren b                      
 488873 ngc869 y 20       2:18:59.99 +57:09:25.0 2000.00  21:30 1.145  WFC   20.0  180  stromgren y                      
 488874 ngc457 r 5        1:19:00.00 +58:16:59.9 2000.00  21:37 1.215  WFC    5.1  180  r                                
 488875 ngc457 ha 60      1:19:00.00 +58:16:59.8 2000.00  21:39 1.218  WFC   60.1  180  Halpha                           
 488876 ngc457 u 80       1:19:00.00 +58:17:00.0 2000.00  21:41 1.221  WFC   80.0  180  stromgren u                      
 488877 ngc457 v 40       1:19:00.00 +58:17:00.0 2000.00  21:43 1.224  WFC   40.1  180  stromgren v                      
 488878 ngc457 b 20       1:19:00.00 +58:17:00.0 2000.00  21:45 1.226  WFC   20.1  180  stromgren b                      
 488879 ngc457 y 20       1:19:00.00 +58:17:00.0 2000.00  21:47 1.228  WFC   20.1  180  stromgren y                      
 488880 varuna r 200      7:11:06.00 +25:09:51.0 2000.00  21:57 1.556  WFC  199.5  180  r                                
 488881 ngc457 r 50       1:19:00.00 +58:17:00.1 2000.00  22:07 1.261  WFC   49.6  180  r                                
 488882 ngc457 ha 600     1:18:59.99 +58:16:59.9 2000.00  22:09 1.274  WFC  599.7  180  Halpha                           
 488883 ngc457 u 800      1:19:00.00 +58:17:00.0 2000.00  22:20 1.300  WFC  799.7  180  stromgren u                      
 488884 ngc457 v 400      1:19:00.00 +58:16:59.9 2000.00  22:35 1.324  WFC  399.8  180  stromgren v                      
 488885 ngc457 b 200      1:19:00.00 +58:16:59.9 2000.00  22:43 1.339  WFC  200.0  180  stromgren b                      
