 480162 intphas_0153o Ha  0:29:17.53 +61:26:59.4 2000.00  20:14 1.308  WFC  120.0  180  Halpha                           
 480163 intphas_0153o r   0:29:17.53 +61:26:59.5 2000.00  20:16 1.304  WFC   30.0  180  r                                
 480164 intphas_0153o i   0:29:17.53 +61:26:59.5 2000.00  20:18 1.302  WFC   10.1  180  i                                
 480165 intphas_0155 Ha   0:28:54.21 +58:47:59.0 2000.00  20:18 1.269  WFC  120.0  180  Halpha                           
 480166 intphas_0155 r    0:28:54.21 +58:47:59.4 2000.00  20:21 1.266  WFC   30.0  180  r                                
 480167 intphas_0155 i    0:28:54.21 +58:47:59.3 2000.00  20:22 1.264  WFC   10.1  180  i                                
 480168 intphas_0155o Ha  0:29:32.91 +58:52:59.3 2000.00  20:23 1.263  WFC  120.1  180  Halpha                           
 480169 intphas_0155o r   0:29:32.90 +58:52:59.4 2000.00  20:26 1.259  WFC   30.1  180  r                                
 480170 intphas_0155o i   0:29:32.91 +58:52:59.4 2000.00  20:27 1.258  WFC   10.1  180  i                                
 480171 intphas_0156 Ha   0:29:08.45 +63:33:59.8 2000.00  20:28 1.311  WFC  120.0  180  Halpha                           
 480172 intphas_0156 r    0:29:08.45 +63:33:59.6 2000.00  20:31 1.308  WFC   30.1  180  r                                
 480173 intphas_0156 i    0:29:08.45 +63:33:59.5 2000.00  20:32 1.306  WFC   10.1  180  i                                
 480174 intphas_0156o Ha  0:29:53.52 +63:38:59.5 2000.00  20:33 1.306  WFC  120.0  180  Halpha                           
 480175 intphas_0156o r   0:29:53.52 +63:38:59.6 2000.00  20:35 1.303  WFC   30.1  180  r                                
 480176 intphas_0156o i   0:29:53.51 +63:38:59.6 2000.00  20:37 1.301  WFC   10.1  180  i                                
 480177 intphas_0157 Ha   0:29:45.23 +62:16:59.7 2000.00  20:37 1.280  WFC  120.0  180  Halpha                           
 480178 intphas_0157 r    0:29:45.24 +62:16:59.6 2000.00  20:40 1.278  WFC   30.1  180  r                                
 480179 intphas_0157 i    0:29:45.23 +62:16:59.6 2000.00  20:41 1.276  WFC   10.1  180  i                                
 480180 intphas_0157o Ha  0:30:28.36 +62:21:59.6 2000.00  20:42 1.276  WFC  120.0  180  Halpha                           
 480181 intphas_0157o r   0:30:28.35 +62:21:59.5 2000.00  20:45 1.273  WFC   30.1  180  r                                
 480182 intphas_0157o i   0:30:28.36 +62:21:59.6 2000.00  20:46 1.272  WFC   10.1  180  i                                
 480183 intphas_0159 Ha   0:30:02.55 +64:28:59.9 2000.00  20:47 1.298  WFC  120.0  180  Halpha                           
 480184 intphas_0159 r    0:30:02.54 +64:28:59.7 2000.00  20:50 1.296  WFC   30.1  180  r                                
 480185 intphas_0159 i    0:30:02.55 +64:28:59.6 2000.00  20:51 1.294  WFC   10.1  180  i                                
 480186 intphas_0159o Ha  0:30:49.11 +64:33:59.6 2000.00  20:52 1.294  WFC  120.0  180  Halpha                           
 480187 intphas_0159o r   0:30:49.11 +64:33:59.7 2000.00  20:54 1.292  WFC   30.1  180  r                                
 480188 intphas_0159o i   0:30:49.12 +64:33:59.6 2000.00  20:56 1.291  WFC   10.1  180  i                                
 480189 intphas_0160 Ha   0:30:04.89 +60:59:59.2 2000.00  20:56 1.240  WFC  120.0  180  Halpha                           
 480190 intphas_0160 r    0:30:04.88 +60:59:59.5 2000.00  20:59 1.237  WFC   30.1  180  r                                
 480191 intphas_0160 i    0:30:04.89 +60:59:59.5 2000.00  21:00 1.236  WFC   10.1  180  i                                
 480192 intphas_0160o Ha  0:30:46.24 +61:04:59.4 2000.00  21:01 1.236  WFC  120.0  180  Halpha                           
 480193 intphas_0160o r   0:30:46.25 +61:04:59.5 2000.00  21:04 1.234  WFC   30.1  180  r                                
 480194 intphas_0160o i   0:30:46.25 +61:04:59.4 2000.00  21:05 1.233  WFC   10.1  180  i                                
 480195 intphas_0161 Ha   0:30:14.68 +59:42:59.5 2000.00  21:06 1.213  WFC  120.0  180  Halpha                           
 480196 intphas_0161 r    0:30:14.68 +59:42:59.5 2000.00  21:09 1.211  WFC   30.1  180  r                                
 480197 intphas_0161 i    0:30:14.68 +59:42:59.5 2000.00  21:10 1.210  WFC   10.1  180  i                                
 480198 intphas_0161o Ha  0:30:54.43 +59:47:59.4 2000.00  21:11 1.210  WFC  120.0  180  Halpha                           
 480199 intphas_0161o r   0:30:54.43 +59:47:59.5 2000.00  21:13 1.208  WFC   30.1  180  r                                
 480200 intphas_0161o i   0:30:54.44 +59:47:59.5 2000.00  21:15 1.207  WFC   10.1  180  i                                
 480201 intphas_0162 Ha   0:30:16.19 +58:25:59.5 2000.00  21:15 1.189  WFC  120.0  180  Halpha                           
 480202 intphas_0162 r    0:30:16.18 +58:25:59.4 2000.00  21:18 1.187  WFC   30.1  180  r                                
 480203 intphas_0162 i    0:30:16.18 +58:25:59.3 2000.00  21:19 1.186  WFC    9.6  180  i                                
 480204 intphas_0162o Ha  0:30:54.48 +58:30:59.3 2000.00  21:20 1.186  WFC  120.0  180  Halpha                           
 480205 intphas_0162o r   0:30:54.49 +58:30:59.3 2000.00  21:23 1.184  WFC   30.1  180  r                                
 480206 intphas_0162o i   0:30:54.49 +58:30:59.4 2000.00  21:24 1.183  WFC   10.1  180  i                                
 480207 intphas_0163 Ha   0:30:49.18 +65:23:59.8 2000.00  21:25 1.274  WFC  120.0  180  Halpha                           
 480208 intphas_0163 r    0:30:49.18 +65:23:59.6 2000.00  21:28 1.272  WFC   30.1  180  r                                
 480209 intphas_0163 i    0:30:49.19 +65:23:59.7 2000.00  21:29 1.272  WFC   10.1  180  i                                
 480210 intphas_0163o Ha  0:31:37.39 +65:28:59.6 2000.00  21:30 1.272  WFC  120.0  180  Halpha                           
 480211 intphas_0163o r   0:31:37.38 +65:28:59.6 2000.00  21:33 1.271  WFC   29.6  180  r                                
 480212 intphas_0163o i   0:31:37.39 +65:28:59.7 2000.00  21:34 1.270  WFC   10.1  180  i                                
 480213 intphas_0164 Ha   0:30:49.37 +63:11:59.4 2000.00  21:35 1.234  WFC  120.0  180  Halpha                           
 480214 intphas_0164 r    0:30:49.38 +63:11:59.5 2000.00  21:37 1.232  WFC   30.1  180  r                                
 480215 intphas_0164 i    0:30:49.38 +63:11:59.5 2000.00  21:38 1.232  WFC   10.1  180  i                                
 480216 intphas_0164o Ha  0:31:33.87 +63:16:59.5 2000.00  21:39 1.232  WFC  120.0  180  Halpha                           
 480217 intphas_0164o r   0:31:33.87 +63:16:59.6 2000.00  21:42 1.231  WFC   30.1  180  r                                
 480218 intphas_0164o i   0:31:33.86 +63:16:59.5 2000.00  21:43 1.230  WFC   10.1  180  i                                
 480219 intphas_0165 Ha   0:30:52.90 +66:52:00.0 2000.00  21:44 1.285  WFC  120.0  180  Halpha                           
 480220 intphas_0165 r    0:30:52.91 +66:51:59.8 2000.00  21:47 1.284  WFC   30.1  180  r                                
 480221 intphas_0165 i    0:30:52.91 +66:51:59.8 2000.00  21:48 1.284  WFC   10.1  180  i                                
 480222 intphas_0165o Ha  0:31:43.99 +66:56:59.7 2000.00  21:49 1.285  WFC  119.5  180  Halpha                           
 480223 intphas_0165o r   0:31:43.99 +66:56:59.8 2000.00  21:52 1.284  WFC   30.1  180  r                                
 480224 intphas_0165o i   0:31:43.99 +66:56:59.8 2000.00  21:53 1.283  WFC   10.1  180  i                                
 480225 intphas_0166 Ha   0:31:17.30 +61:54:59.3 2000.00  21:54 1.205  WFC  120.0  180  Halpha                           
 480226 intphas_0166 r    0:31:17.30 +61:54:59.6 2000.00  21:56 1.204  WFC   30.1  180  r                                
 480227 intphas_0166 i    0:31:17.30 +61:54:59.6 2000.00  21:58 1.203  WFC   10.1  180  i                                
 480228 intphas_0166o Ha  0:31:59.89 +61:59:59.5 2000.00  21:58 1.204  WFC  120.0  180  Halpha                           
 480229 intphas_0166o r   0:31:59.89 +61:59:59.6 2000.00  22:01 1.203  WFC   30.1  180  r                                
 480230 intphas_0166o i   0:31:59.89 +61:59:59.6 2000.00  22:02 1.203  WFC   10.1  180  i                                
