 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 682753 Flat field       16:24:33.00 +55:44:14.0  2000.00 20:46 1.134  WFC   32.1  180  I                                
 682754 Flat field       16:24:33.00 +55:43:44.0  2000.00 20:48 1.133  WFC   38.0  180  I                                
 682755 Flat field       16:24:35.96 +55:44:24.0  2000.00 20:49 1.133  WFC   48.1  180  I                                
 682756 Flat field       16:24:30.04 +55:43:34.0  2000.00 20:51 1.131  WFC   60.1  180  I                                
 682757 Field test image 17:52:23.41 +37:32:09.8  2000.00 21:22 1.080  WFC   59.6  180  I                                check for pointing and position of the star
 682758 Defocus test ima 17:52:23.42 +37:32:10.0  2000.00 21:28 1.072  WFC   60.1  180  I                                check for sufficient defocusing
 682759 TRES3B           17:52:23.42 +37:32:10.0  2000.00 21:40 1.056  WFC   60.1  180  I                                first science image
 682760 TRES3B           17:52:23.43 +37:32:09.9  2000.00 21:42 1.055  WFC   60.0  180  I                                
 682761 TRES3B           17:52:23.41 +37:32:09.9  2000.00 21:43 1.053  WFC   60.1  180  I                                
 682762 TRES3B           17:52:23.42 +37:32:10.0  2000.00 21:45 1.051  WFC   60.1  180  I                                
 682763 TRES3B           17:52:23.41 +37:32:09.9  2000.00 21:46 1.050  WFC   60.0  180  I                                
 682764 TRES3B           17:52:23.41 +37:32:09.9  2000.00 21:48 1.048  WFC   60.1  180  I                                
 682765 TRES3B           17:52:23.42 +37:32:10.0  2000.00 21:49 1.047  WFC   60.1  180  I                                
 682766 TRES3B           17:52:23.41 +37:32:10.0  2000.00 21:51 1.045  WFC   60.1  180  I                                
 682767 TRES3B           17:52:23.41 +37:32:09.9  2000.00 21:53 1.043  WFC   60.1  180  I                                
 682768 TRES3B           17:52:23.41 +37:32:10.0  2000.00 21:54 1.042  WFC   60.1  180  I                                
 682769 TRES3B           17:52:23.42 +37:32:10.0  2000.00 21:56 1.040  WFC   60.0  180  I                                
 682770 TRES3B           17:52:23.41 +37:32:10.0  2000.00 21:57 1.039  WFC   60.1  180  I                                
 682771 TRES3B           17:52:23.42 +37:32:09.9  2000.00 21:59 1.038  WFC   60.1  180  I                                
 682772 TRES3B           17:52:23.42 +37:32:10.0  2000.00 22:00 1.037  WFC   60.1  180  I                                
 682773 TRES3B           17:52:23.41 +37:32:09.9  2000.00 22:02 1.035  WFC   60.1  180  I                                
 682774 TRES3B           17:52:23.42 +37:32:10.0  2000.00 22:03 1.034  WFC   60.1  180  I                                
 682775 TRES3B           17:52:23.41 +37:32:09.8  2000.00 22:05 1.033  WFC   60.1  180  I                                
 682776 TRES3B           17:52:23.42 +37:32:09.9  2000.00 22:06 1.032  WFC   60.1  180  I                                
 682777 TRES3B           17:52:23.41 +37:32:09.9  2000.00 22:08 1.030  WFC   60.1  180  I                                
 682778 TRES3B           17:52:23.42 +37:32:09.9  2000.00 22:09 1.029  WFC   60.1  180  I                                
 682779 TRES3B           17:52:23.41 +37:32:10.0  2000.00 22:11 1.028  WFC   60.1  180  I                                
 682780 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:13 1.027  WFC   60.1  180  I                                
 682781 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:15 1.026  WFC   60.0  180  I                                
 682782 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:16 1.025  WFC   60.0  180  I                                
 682783 TRES3B           17:52:23.41 +37:32:10.9  2000.00 22:18 1.024  WFC   60.0  180  I                                
 682784 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:19 1.023  WFC   60.1  180  I                                
 682785 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:21 1.022  WFC   60.1  180  I                                
 682786 TRES3B           17:52:23.41 +37:32:11.3  2000.00 22:22 1.021  WFC   60.1  180  I                                
 682787 TRES3B           17:52:23.41 +37:32:10.9  2000.00 22:24 1.021  WFC   59.5  180  I                                
 682788 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:25 1.020  WFC   60.1  180  I                                
 682789 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:27 1.019  WFC   60.0  180  I                                
 682790 TRES3B           17:52:23.41 +37:32:10.9  2000.00 22:28 1.019  WFC   60.1  180  I                                
 682791 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:30 1.018  WFC   60.1  180  I                                
 682792 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:31 1.017  WFC   60.1  180  I                                
 682793 TRES3B           17:52:23.42 +37:32:10.8  2000.00 22:33 1.017  WFC   60.1  180  I                                
 682794 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:35 1.016  WFC   60.1  180  I                                
 682795 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:36 1.016  WFC   60.1  180  I                                
 682796 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:38 1.015  WFC   60.1  180  I                                
 682797 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:39 1.015  WFC   60.1  180  I                                
 682798 TRES3B           17:52:23.41 +37:32:11.0  2000.00 22:41 1.014  WFC   60.1  180  I                                
 682799 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:42 1.014  WFC   59.5  180  I                                
 682800 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:44 1.014  WFC   60.0  180  I                                
 682801 TRES3B           17:52:23.42 +37:32:10.9  2000.00 22:45 1.013  WFC   60.1  180  I                                
 682802 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:47 1.013  WFC   59.5  180  I                                
 682803 TRES3B           17:52:23.42 +37:32:11.0  2000.00 22:48 1.013  WFC   60.0  180  I                                
 682804 TRES3B           17:52:23.50 +37:32:11.0  2000.00 22:52 1.012  WFC   60.1  180  I                                
 682805 TRES3B           17:52:23.50 +37:32:11.0  2000.00 22:53 1.012  WFC   60.0  180  I                                
 682806 TRES3B           17:52:23.50 +37:32:11.0  2000.00 22:55 1.012  WFC   60.1  180  I                                
 682807 TRES3B           17:52:23.50 +37:32:10.9  2000.00 22:56 1.012  WFC   60.1  180  I                                
 682808 TRES3B           17:52:23.50 +37:32:11.0  2000.00 22:58 1.012  WFC   60.1  180  I                                
 682809 TRES3B           17:52:23.50 +37:32:10.9  2000.00 22:59 1.012  WFC   60.1  180  I                                
 682810 TRES3B           17:52:23.50 +37:32:10.9  2000.00 23:01 1.012  WFC   59.5  180  I                                
 682811 TRES3B           17:52:23.50 +37:32:11.0  2000.00 23:02 1.012  WFC   60.0  180  I                                
 682812 TRES3B           17:52:23.50 +37:32:10.9  2000.00 23:04 1.012  WFC   60.1  180  I                                
 682813 TRES3B           17:52:23.50 +37:32:10.9  2000.00 23:05 1.012  WFC   60.1  180  I                                
 682814 TRES3B           17:52:23.58 +37:32:10.9  2000.00 23:07 1.012  WFC   59.5  180  I                                
 682815 TRES3B           17:52:23.58 +37:32:10.9  2000.00 23:09 1.012  WFC   60.1  180  I                                
 682816 TRES3B           17:52:23.58 +37:32:11.0  2000.00 23:10 1.013  WFC   60.1  180  I                                
 682817 TRES3B           17:52:23.59 +37:32:10.9  2000.00 23:12 1.013  WFC   60.0  180  I                                
 682818 TRES3B           17:52:23.59 +37:32:11.0  2000.00 23:13 1.013  WFC   60.1  180  I                                
 682819 TRES3B           17:52:23.58 +37:32:11.0  2000.00 23:15 1.013  WFC   60.1  180  I                                
