 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518322 uvex_6283o He1   20:56:54.66 +49:42:59.4 2000.00  02:36 1.085  WFC  120.0  180  HeI 5870                         
 518323 uvex_6283o r     20:56:54.66 +49:42:59.5 2000.00  02:38 1.086  WFC   30.1  180  r                                
 518324 uvex_6283o U     20:56:54.66 +49:42:59.4 2000.00  02:39 1.087  WFC  120.0  180  U                                
 518325 uvex_6283o g     20:56:54.65 +49:42:59.5 2000.00  02:42 1.088  WFC   30.1  180  g                                
 518326 uvex_6284 He1    20:56:26.15 +44:40:59.5 2000.00  02:43 1.060  WFC  119.5  180  HeI 5870                         
 518327 uvex_6284 r      20:56:26.15 +44:40:59.5 2000.00  02:46 1.061  WFC   30.1  180  r                                
 518328 uvex_6284 U      20:56:26.14 +44:40:59.4 2000.00  02:47 1.063  WFC  120.1  180  U                                
 518329 uvex_6284 g      20:56:26.15 +44:40:59.4 2000.00  02:50 1.064  WFC   30.1  180  g                                
 518330 ST_L113_307 35s  21:43:27.11 +00:16:37.9 2000.00  02:55 1.141  WFC   35.1  180  HeI 5870                         
 518331 ST_L113_307 5s r 21:43:27.12 +00:16:38.0 2000.00  02:57 1.142  WFC    5.1  180  r                                
 518332 ST_L113_307 5s g 21:43:27.12 +00:16:38.0 2000.00  02:57 1.142  WFC    5.1  180  g                                
 518333 ST_L113_307 35s  21:43:27.12 +00:16:37.9 2000.00  02:58 1.142  WFC   35.1  180  U                                
 518334 uvex_6284o He1   20:56:54.32 +44:45:59.4 2000.00  03:01 1.075  WFC  120.0  180  HeI 5870                         
 518335 uvex_6284o r     20:56:54.31 +44:45:59.5 2000.00  03:04 1.077  WFC   30.1  180  r                                
 518336 uvex_6284o U     20:56:54.32 +44:45:59.4 2000.00  03:05 1.079  WFC  120.0  180  U                                
 518337 uvex_6284o g     20:56:54.32 +44:45:59.5 2000.00  03:07 1.081  WFC   30.1  180  g                                
 518338 uvex_6286 He1    20:56:53.25 +52:11:59.8 2000.00  03:09 1.130  WFC  120.0  180  HeI 5870                         
 518339 uvex_6286 r      20:56:53.25 +52:11:59.3 2000.00  03:11 1.132  WFC   30.1  180  r                                
 518340 uvex_6286 U      20:56:53.26 +52:11:59.3 2000.00  03:13 1.134  WFC  120.0  180  U                                
 518341 uvex_6286 g      20:56:53.25 +52:11:59.4 2000.00  03:15 1.136  WFC   30.1  180  g                                
 518342 uvex_6286o He1   20:57:25.94 +52:16:59.4 2000.00  03:17 1.139  WFC  120.0  180  HeI 5870                         
 518343 uvex_6286o r     20:57:25.95 +52:16:59.2 2000.00  03:19 1.141  WFC   30.1  180  r                                
 518344 uvex_6286o U     20:57:25.95 +52:16:59.5 2000.00  03:20 1.143  WFC  120.0  180  U                                
 518345 uvex_6286o g     20:57:25.95 +52:16:59.4 2000.00  03:23 1.145  WFC   30.1  180  g                                
 518346 uvex_6287 He1    20:56:54.02 +48:09:59.4 2000.00  03:24 1.120  WFC  120.0  180  HeI 5870                         
 518347 uvex_6287 r      20:56:54.01 +48:09:59.5 2000.00  03:27 1.123  WFC   30.1  180  r                                
 518348 uvex_6287 U      20:56:54.02 +48:09:59.4 2000.00  03:28 1.125  WFC  120.0  180  U                                
 518349 uvex_6287 g      20:56:54.02 +48:09:59.5 2000.00  03:31 1.128  WFC   30.1  180  g                                
 518350 uvex_6287o He1   20:57:24.05 +48:14:59.5 2000.00  03:32 1.130  WFC  120.0  180  HeI 5870                         
 518351 uvex_6287o r     20:57:24.05 +48:14:59.6 2000.00  03:35 1.133  WFC   30.1  180  r                                
 518352 uvex_6287o U     20:57:24.06 +48:14:59.4 2000.00  03:36 1.136  WFC  119.5  180  U                                
 518353 uvex_6287o g     20:57:24.06 +48:14:59.4 2000.00  03:39 1.139  WFC   30.0  180  g                                
 518354 uvex_6290 He1    20:57:09.93 +50:10:59.2 2000.00  03:40 1.154  WFC  119.5  180  HeI 5870                         
 518355 uvex_6290 r      20:57:09.93 +50:10:59.4 2000.00  03:43 1.157  WFC   30.1  180  r                                
 518356 uvex_6290 U      20:57:09.93 +50:10:59.4 2000.00  03:44 1.160  WFC  119.5  180  U                                
 518357 uvex_6290 g      20:57:09.93 +50:10:59.5 2000.00  03:46 1.164  WFC   30.1  180  g                                
 518358 uvex_6290o He1   20:57:41.22 +50:15:59.4 2000.00  03:48 1.166  WFC  120.0  180  HeI 5870                         
 518359 uvex_6290o r     20:57:41.21 +50:15:59.4 2000.00  03:50 1.170  WFC   30.1  180  r                                
 518360 uvex_6290o U     20:57:41.21 +50:15:59.4 2000.00  03:52 1.173  WFC  119.5  180  U                                
 518361 uvex_6290o g     20:57:41.22 +50:15:59.4 2000.00  03:54 1.176  WFC   30.1  180  g                                
 518362 uvex_6292 He1    20:57:12.27 +46:41:59.9 2000.00  03:55 1.160  WFC  120.1  180  HeI 5870                         
 518363 uvex_6292 r      20:57:12.26 +46:41:59.4 2000.00  03:58 1.164  WFC   29.5  180  r                                
 518364 uvex_6292 U      20:57:12.27 +46:41:59.4 2000.00  03:59 1.167  WFC  119.5  180  U                                
 518365 uvex_6292 g      20:57:12.26 +46:41:59.5 2000.00  04:02 1.171  WFC   30.1  180  g                                
 518366 uvex_6292o He1   20:57:41.48 +46:46:59.6 2000.00  04:03 1.175  WFC  120.0  180  HeI 5870                         
 518367 uvex_6292o r     20:57:41.47 +46:46:59.5 2000.00  04:06 1.178  WFC   30.1  180  r                                
 518368 uvex_6292o U     20:57:41.48 +46:46:59.5 2000.00  04:07 1.182  WFC  120.0  180  U                                
 518369 uvex_6292o g     20:57:41.48 +46:46:59.5 2000.00  04:10 1.186  WFC   30.1  180  g                                
 518370 uvex_6294 He1    20:57:21.06 +45:13:59.2 2000.00  04:11 1.184  WFC  120.0  180  HeI 5870                         
 518371 uvex_6294 r      20:57:21.07 +45:13:59.4 2000.00  04:14 1.189  WFC   30.1  180  r                                
 518372 uvex_6294 U      20:57:21.06 +45:13:59.4 2000.00  04:15 1.193  WFC  120.1  180  U                                
 518373 uvex_6294 g      20:57:21.07 +45:13:59.4 2000.00  04:17 1.198  WFC   30.1  180  g                                
 518374 uvex_6294o He1   20:57:49.51 +45:18:59.4 2000.00  04:19 1.201  WFC  120.0  180  HeI 5870                         
 518375 uvex_6294o r     20:57:49.51 +45:18:59.5 2000.00  04:21 1.206  WFC   30.1  180  r                                
 518376 uvex_6294o U     20:57:49.51 +45:18:59.4 2000.00  04:23 1.211  WFC  120.0  180  U                                
 518377 uvex_6294o g     20:57:49.51 +45:18:59.5 2000.00  04:25 1.215  WFC   29.5  180  g                                
 518378 uvex_6295 He1    20:57:27.48 +52:44:59.7 2000.00  04:27 1.261  WFC  120.0  180  HeI 5870                         
 518379 uvex_6295 r      20:57:27.47 +52:44:59.4 2000.00  04:29 1.265  WFC   30.1  180  r                                
 518380 uvex_6295 U      20:57:27.47 +52:44:59.3 2000.00  04:30 1.270  WFC  120.1  180  U                                
 518381 uvex_6295 g      20:57:27.48 +52:44:59.5 2000.00  04:33 1.275  WFC   30.1  180  g                                
 518382 uvex_6295o He1   20:58:00.59 +52:49:59.5 2000.00  04:34 1.279  WFC  120.0  180  HeI 5870                         
 518383 uvex_6295o r     20:58:00.59 +52:49:59.3 2000.00  04:37 1.283  WFC   30.1  180  r                                
 518384 uvex_6295o U     20:58:00.58 +52:49:59.3 2000.00  04:38 1.288  WFC  119.6  180  U                                
 518385 uvex_6295o g     20:58:00.58 +52:49:59.4 2000.00  04:41 1.293  WFC   30.1  180  g                                
 518386 uvex_6297 He1    20:57:43.77 +48:43:00.0 2000.00  04:42 1.277  WFC  120.0  180  HeI 5870                         
 518387 uvex_6297 r      20:57:43.76 +48:42:59.5 2000.00  04:45 1.282  WFC   30.1  180  r                                
 518388 uvex_6297 U      20:57:43.77 +48:42:59.6 2000.00  04:46 1.288  WFC  120.0  180  U                                
 518389 uvex_6297 g      20:57:43.77 +48:42:59.5 2000.00  04:49 1.294  WFC   29.5  180  g                                
 518390 uvex_6297o He1   20:58:14.11 +48:47:59.5 2000.00  04:50 1.298  WFC  119.5  180  HeI 5870                         
 518391 uvex_6297o r     20:58:14.13 +48:47:59.5 2000.00  04:53 1.304  WFC   30.1  180  r                                
 518392 uvex_6297o U     20:58:14.13 +48:47:59.4 2000.00  04:54 1.310  WFC  120.0  180  U                                
 518393 uvex_6297o g     20:58:14.13 +48:47:59.4 2000.00  04:56 1.316  WFC   30.1  180  g                                
 518394 uvex_6298 He1    20:57:53.39 +50:43:59.7 2000.00  04:58 1.332  WFC  120.0  180  HeI 5870                         
 518395 uvex_6298 r      20:57:53.40 +50:43:59.4 2000.00  05:00 1.338  WFC   30.1  180  r                                
 518396 uvex_6298 U      20:57:53.40 +50:43:59.3 2000.00  05:01 1.344  WFC  119.5  180  U                                
 518397 uvex_6298 g      20:57:53.40 +50:43:59.3 2000.00  05:04 1.351  WFC   29.5  180  g                                
 518398 uvex_6298o He1   20:58:25.06 +50:48:59.3 2000.00  05:05 1.356  WFC  120.0  180  HeI 5870                         
 518399 uvex_6298o r     20:58:25.05 +50:48:59.3 2000.00  05:08 1.362  WFC   30.1  180  r                                
 518400 uvex_6298o U     20:58:25.06 +50:48:59.4 2000.00  05:09 1.369  WFC  120.0  180  U                                
 518401 uvex_6298o g     20:58:25.06 +50:48:59.4 2000.00  05:12 1.376  WFC   30.1  180  g                                
 518402 uvex_6300 He1    20:57:59.84 +53:17:59.9 2000.00  05:13 1.396  WFC  120.0  180  HeI 5870                         
 518403 uvex_6300 r      20:57:59.85 +53:17:59.5 2000.00  05:16 1.402  WFC   30.1  180  r                                
 518404 uvex_6300 U      20:57:59.85 +53:17:59.4 2000.00  05:17 1.409  WFC  120.0  180  U                                
 518405 uvex_6300 g      20:57:59.85 +53:17:59.4 2000.00  05:20 1.416  WFC   30.1  180  g                                
