INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 03 15 07:15

TELESCOPE             INT
DATE                  20050314
OBSERVER/S            James
PROGRAMME             WIDE FIELD SURVEY OF VIRGO CLUSTER
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.15
INSTRUMENT/S          WFC

SUNSET (UT)           19:26
EVENING TWILIGHT (UT) 20:37
MORNING TWILIGHT (UT) 06:03
SUNRISE (UT)          07:14
%ILLUM. LUNAR DISK    24
DARK TIME (HRS)       09:26
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:53

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.8   11    22.3  27.2  323   766.7    4.8   6.6     3.8   11    15 
21:00   4.8   10    25.9  28.6  328   767.1    4.8  -1.9     8.8   10     6 
22:00   5.6   10    25.8  28.1  299   767.7    5.6   7.1     6.1   10     8 
23:00   5.8    9    28.4  30.9  315   768.0    5.8   6.8     8.6    9    19 
00:00   6.7    4    22.4  24.2  303   768.2    6.7  -6.3     8.5    4     3 
01:00   7.4    3    21.5  23.6  292   767.9    7.4   7.2     8.4    3     0 
02:00   7.5    4    20.3  21.4  275   767.9    7.5   7.8     3.3    4    11 
03:00   7.5    6    22.7  23.4  291   767.5    7.5   8.0     3.3    6     4 
04:00   7.2   31    15.7  16.3  301   767.4    7.2   7.9     8.4   31    14 
05:00   7.3   27    13.3  13.8  283   767.5    7.3   3.0     8.5   27    22 
06:00   8.3   18     1.8   2.1  269   767.8    8.3   2.6     8.6   18    20 
07:00   7.7   29     4.2   4.6  246   768.2    7.7   8.2     3.4   29    31 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 442508 Bias              0:00:00.00 +05:43:46.4 1858.879 13:47 0.000  WFC    0.0    0  V                                
 442547 V201             12:09:45.60 +08:50:00.0 2000.00  04:11 1.304  WFC  749.7  180  B                                
 442548 V203             12:13:56.60 +08:49:59.8 2000.00  04:41 1.420  WFC  749.6  180  B                                
 442549 V202             12:11:51.09 +08:50:00.1 2000.00  04:55 1.516  WFC  749.7  180  B                                
 442550 V204             12:16:02.09 +08:50:00.2 2000.00  05:10 1.587  WFC  749.7  180  B                                
 442551 V205             12:18:07.50 +08:49:59.9 2000.00  05:25 1.696  WFC  749.7  180  B                                
 442552 V206             12:20:13.00 +08:49:59.8 2000.00  05:43 1.851  WFC  749.6  180  B                                
 442553 V207             12:22:18.50 +08:50:00.4 2000.00  05:58 2.001  WFC  749.6  180  B                                
 442554 107-484          15:40:16.80 -00:21:15.0 2000.00  06:14 1.177  WFC   14.5  180  B                                
 442555 107-458          15:38:50.10 -00:24:27.0 2000.00  06:15 1.181  WFC   15.1  180  B                                
 442556 108-719          16:36:10.99 -00:25:30.0 2000.00  06:18 1.145  WFC   20.0  180  B                                
 442557 Flat field       16:52:33.00 -15:25:57.0 2000.00  06:45 1.397  WFC   59.4  180  B                                
 442558 Flat field       16:52:33.00 -15:25:56.9 2000.00  06:47 1.398  WFC   37.2  180  B                                
 442559 Flat field       16:52:33.69 -15:25:47.0 2000.00  06:49 1.398  WFC   26.6  180  B                                
 442560 Flat field       16:52:34.37 -15:25:36.9 2000.00  06:51 1.399  WFC   16.9  180  B                                
 442561 Flat field       16:52:33.34 -15:25:42.0 2000.00  06:52 1.400  WFC   13.9  180  B                                
 442562 Flat field       16:52:32.30 -15:25:46.9 2000.00  06:53 1.401  WFC   11.7  180  B                                
 442563 skyflat 5s B     16:52:31.61 -15:26:17.0 2000.00  06:55 1.402  WFC    5.1  180  B                                
 442564 skyflat 3s B     16:52:31.61 -15:26:07.1 2000.00  06:56 1.403  WFC    2.6  180  B                                
 442566 Bias              0:00:00.00 +00:00:00.0 2000.00  07:05 2.469  WFC    0.0  180  B                                
 442567 Bias              0:00:00.00 +00:00:00.0 2000.00  07:06 2.469  WFC    0.0  180  B                                
 442568 Bias              0:00:00.00 +00:00:00.0 2000.00  07:07 2.469  WFC    0.0  180  B                                
 442569 Bias              0:00:00.00 +00:00:00.0 2000.00  07:07 2.469  WFC    0.0  180  B                                
 442570 Bias              0:00:00.00 +00:00:00.0 2000.00  07:08 2.469  WFC    0.0  180  B                                
 442571 Bias              0:00:00.00 +00:00:00.0 2000.00  07:08 2.469  WFC    0.0  180  B                                
 442572 Bias              0:00:00.00 +00:00:00.0 2000.00  07:09 2.469  WFC    0.0  180  B                                
 442573 Bias              0:00:00.00 +00:00:00.0 2000.00  07:10 2.469  WFC    0.0  180  B                                
 442574 Bias              0:00:00.00 +00:00:00.0 2000.00  07:10 2.469  WFC    0.0  180  B                                
 442575 Bias              0:00:00.00 +00:00:00.0 2000.00  07:11 2.469  WFC    0.0  180  B                                
