 550276 521199 240s       5:38:33.77 -02:44:14.3 2000.00  21:07 1.184  IDS  240.0   15  Clear+Clear   1.5  48.6 6297.9   
 550277 489196 CuAr+CuNe  5:38:36.09 -02:43:53.6 2000.00  21:13 1.187  IDS    2.0   15  Clear+Clear   1.5  48.6 6297.9   
 550278 489196 240s       5:38:36.03 -02:43:52.5 2000.00  21:14 1.190  IDS  240.0   15  Clear+Clear   1.5  48.6 6297.9   
 550279 1106058 CuAr+CuN  5:39:46.73 -02:26:20.8 2000.00  21:20 1.189  IDS    2.0   20  Clear+Clear   1.5  48.6 6297.9   
 550280 1106058 240s      5:39:46.70 -02:26:18.8 2000.00  21:22 1.193  IDS  240.0   20  Clear+Clear   1.5  48.6 6297.9   
 550281 1679078 CuAr+CuN  5:40:34.06 -02:30:25.2 2000.00  21:28 1.198  IDS    2.0   20  Clear+Clear   1.5  48.6 6297.9   
 550282 1679078 240s      5:40:33.98 -02:30:24.1 2000.00  21:30 1.203  IDS  240.0   20  Clear+Clear   1.5  48.6 6297.9   
 550283 1456284 CuAr+CuN  5:37:10.84 -02:30:08.9 2000.00  21:36 1.213  IDS    2.0   20  Clear+Clear   1.5  48.6 6297.9   
 550284 1456284 240s      5:37:10.74 -02:30:10.4 2000.00  21:38 1.219  IDS  240.0   20  Clear+Clear   1.5  48.6 6297.9   
 550285 1343194 CuAr+CuN  5:38:22.16 -02:57:47.4 2000.00  21:44 1.230  IDS    2.0   30  Clear+Clear   1.5  48.6 6297.9   
 550286 1343194 300s      5:38:22.11 -02:57:46.7 2000.00  21:45 1.237  IDS  300.0   30  Clear+Clear   1.5  48.6 6297.9   
 550287 1374283 CuAr+CuN  5:37:15.49 -02:30:58.5 2000.00  21:52 1.241  IDS    2.0   30  Clear+Clear   1.5  48.6 6297.9   
 550288 1374283 300s      5:37:15.56 -02:30:59.3 2000.00  21:54 1.249  IDS  300.0   30  Clear+Clear   1.5  48.6 6297.9   
