INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 24 07:42

TELESCOPE             INT
DATE                  20060923
OBSERVER/S            Yogesh Joshi
PROGRAMME             Eclipsing binaries in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           19:15
EVENING TWILIGHT (UT) 20:27
MORNING TWILIGHT (UT) 05:42
SUNRISE (UT)          06:54
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       09:15
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          19:44

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   7.6   99    22.3  29.8  314   768.7    7.6  11.4    13.7   99    83 
21:00   7.8   99    29.5  31.3  301   768.9    7.8  11.5    13.9   99    83 
22:00   7.0   98    26.3  32.4  314   769.1    7.0  10.7    14.0   98    79 
23:00   7.8   57    25.9  30.2  318   769.5    7.8     #       #   57     # 
00:00   8.7   45    32.0  41.4  328   769.7    8.7     #       #   45     # 
01:00   9.7   13    29.1  31.6  334   769.4    9.7     #       #   13     # 
02:00   9.3    5    20.6  24.5  330   769.0    9.3     #       #    5     # 
03:00   8.6    7    30.2  30.2  327   768.6    8.6     #       #    7     # 
04:00   8.4    4    44.8  46.0  342   768.1    8.4     #       #    4     # 
05:00   9.3    6    43.9  45.8  354   768.0    9.3     #       #    6     # 
06:00   9.6   10    33.6  36.8  352   768.2    9.6     #       #   10     # 

TIME LOST weather           03:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
overcast and humid untill midnight. typical seeing was more than 1.3 arcsec which increases up to 2 arcsec in the morning.

COMMENTS (causes of time lost, setup information eg CCD windows):
three hour observations lost due to bad weather



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526749 Bias frame        0:00:00.00 +00:00:00.0 2006.727 12:03 1.000  WFC    0.0  180  V                                test bias
 526788 IC1613            1:04:54.19 +02:08:00.0 2000.00  05:10 1.635  WFC  499.8  180  B                                
 526789 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:19 1.707  WFC  499.8  180  B                                
 526790 IC1613            1:04:54.19 +02:07:59.9 2000.00  05:28 1.788  WFC  499.7  180  B                                
 526791 Bias              5:55:59.99 +04:08:59.9 2000.00  05:40 1.159  WFC    0.0  180  B                                
 526792 Bias              5:55:59.99 +04:08:59.9 2000.00  05:41 1.158  WFC    0.0  180  B                                
 526793 Bias              5:55:59.99 +04:09:00.0 2000.00  05:41 1.157  WFC    0.0  180  B                                
 526794 Bias              5:56:00.00 +04:08:59.9 2000.00  05:42 1.157  WFC    0.0  180  B                                
 526795 Bias              5:55:59.99 +04:08:59.9 2000.00  05:43 1.156  WFC    0.0  180  B                                
 526796 Bias              5:56:00.00 +04:08:59.9 2000.00  05:43 1.155  WFC    0.0  180  B                                
 526797 Bias              5:55:59.99 +04:09:00.0 2000.00  05:44 1.154  WFC    0.0  180  B                                
 526798 Bias              5:56:00.00 +04:08:59.9 2000.00  05:44 1.153  WFC    0.0  180  B                                
 526799 Bias              5:56:00.00 +04:09:00.0 2000.00  05:45 1.152  WFC    0.0  180  B                                
 526800 Bias              5:55:59.99 +04:08:59.9 2000.00  05:45 1.151  WFC    0.0  180  B                                
 526801 Flat field        5:55:59.99 +04:09:00.0 2000.00  06:27 1.108  WFC   50.1  180  B                                
 526802 Flat field        5:56:00.00 +04:09:10.0 2000.00  06:29 1.107  WFC   35.1  180  B                                
 526803 Flat field        5:56:00.66 +04:09:09.9 2000.00  06:30 1.106  WFC   25.1  180  B                                
 526804 Flat field        5:56:00.67 +04:09:00.1 2000.00  06:31 1.106  WFC   18.1  180  B                                
 526805 Flat field        5:55:59.33 +04:09:00.0 2000.00  06:32 1.105  WFC   12.1  180  B                                
 526806 Flat field        5:55:59.33 +04:08:50.0 2000.00  06:33 1.105  WFC    8.1  180  B                                
 526807 Flat field        5:55:59.99 +04:08:50.0 2000.00  06:34 1.104  WFC    6.1  180  B                                
 526808 Flat field        5:56:00.66 +04:08:50.0 2000.00  06:35 1.104  WFC    4.1  180  B                                
 526809 Flat field        5:56:01.33 +04:08:49.9 2000.00  06:36 1.104  WFC    4.1  180  B                                
 526810 Flat field        5:56:01.33 +04:08:40.2 2000.00  06:37 1.103  WFC    4.1  180  B                                
