 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 590516 FIELD24          21:07:33.99 +45:31:43.0  2000.00 19:55 1.051  WFC   29.0  180  CLEAR                            
 590517 FIELD24          21:07:34.00 +45:31:42.9  2000.00 19:56 1.051  WFC   30.1  180  CLEAR                            
 590518 FIELD24          21:07:33.99 +45:31:43.0  2000.00 19:57 1.050  WFC   30.1  180  CLEAR                            
 590519 FIELD24          21:07:33.99 +45:31:43.0  2000.00 19:58 1.050  WFC   30.1  180  CLEAR                            
 590520 FIELD24          21:07:34.00 +45:31:43.0  2000.00 19:59 1.049  WFC   30.1  180  CLEAR                            
 590521 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:00 1.049  WFC   30.1  180  CLEAR                            
 590522 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:01 1.049  WFC   30.1  180  CLEAR                            
 590523 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:02 1.048  WFC   29.5  180  CLEAR                            
 590524 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:03 1.048  WFC   30.1  180  CLEAR                            
 590525 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:04 1.048  WFC   30.1  180  CLEAR                            
 590526 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:05 1.048  WFC   30.1  180  CLEAR                            
 590527 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:06 1.047  WFC   30.1  180  CLEAR                            
 590528 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:07 1.047  WFC   29.5  180  CLEAR                            
 590529 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:08 1.047  WFC   30.1  180  CLEAR                            
 590530 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:09 1.047  WFC   30.1  180  CLEAR                            
 590531 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:10 1.046  WFC   30.1  180  CLEAR                            
 590532 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:11 1.046  WFC   30.1  180  CLEAR                            
 590533 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:12 1.046  WFC   30.1  180  CLEAR                            
 590534 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:13 1.046  WFC   30.1  180  CLEAR                            
