 566693 field 13 g       17:55:00.00 +02:21:59.9 2000.00  21:36 2.040  WFC   30.1  180  g                                
 566694 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:38 2.026  WFC   30.1  180  g                                
 566695 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:39 2.013  WFC   29.5  180  g                                
 566696 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:39 2.001  WFC   30.1  180  g                                
 566697 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:41 1.988  WFC   30.1  180  g                                
 566698 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:41 1.975  WFC   30.1  180  g                                
 566699 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:43 1.963  WFC   30.1  180  g                                
 566700 field 13 g       17:55:00.02 +02:22:00.0 2000.00  21:44 1.951  WFC   30.1  180  g                                
 566701 field 13 g       17:55:00.03 +02:22:00.0 2000.00  21:45 1.939  WFC   30.1  180  g                                
 566702 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:46 1.927  WFC   30.0  180  g                                
 566703 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:47 1.916  WFC   30.0  180  g                                
 566704 field 13 g       17:54:59.98 +02:22:00.0 2000.00  21:48 1.904  WFC   29.5  180  g                                
 566705 field 13 g       17:54:59.96 +02:22:00.0 2000.00  21:49 1.893  WFC   30.1  180  g                                
 566706 field 13 g       17:55:00.00 +02:21:59.9 2000.00  21:50 1.882  WFC   30.0  180  g                                
 566707 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:51 1.871  WFC   30.1  180  g                                
 566708 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:52 1.860  WFC   30.1  180  g                                
 566709 field 13 g       17:55:00.02 +02:21:59.9 2000.00  21:53 1.849  WFC   30.1  180  g                                
 566710 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:54 1.839  WFC   30.1  180  g                                
 566711 field 13 g       17:55:00.00 +02:22:00.0 2000.00  21:55 1.828  WFC   30.1  180  g                                
 566712 field 13 g       17:55:00.01 +02:21:59.9 2000.00  21:56 1.818  WFC   30.1  180  g                                
 566713 field 13 g       17:55:00.00 +02:21:59.9 2000.00  21:57 1.808  WFC   30.1  180  g                                
 566714 field 13 g       17:54:59.99 +02:22:00.0 2000.00  21:58 1.798  WFC   30.1  180  g                                
 566715 field 13 g       17:55:00.00 +02:21:59.9 2000.00  21:59 1.788  WFC   30.1  180  g                                
 566716 field 13 g        0:00:00.00 +00:00:00.0 2000.00  22:02 1.779  WFC   30.1  180  g                                not tracking
 566717 field 13 g        0:00:00.00 +00:00:00.0 2000.00  22:03 1.779  WFC   30.1  180  g                                
