 551953 2000ee104         9:27:32.33 +33:47:57.0 2000.00  20:51 1.286  WFC   27.1  180  i                                
 551954 2000ee104         9:27:32.34 +33:47:56.9 2000.00  20:52 1.283  WFC   26.5  180  i                                
 551955 2000ee104         9:27:32.33 +33:47:57.1 2000.00  20:53 1.279  WFC   27.1  180  i                                
 551956 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:55 1.273  WFC   27.1  180  r                                
 551957 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:56 1.270  WFC   26.6  180  r                                
 551958 2000ee104         9:27:32.33 +33:47:56.9 2000.00  20:57 1.266  WFC   27.1  180  r                                
 551959 2000ee104         9:27:32.34 +33:47:57.0 2000.00  20:58 1.263  WFC   27.1  180  r                                
 551960 2000ee104         9:27:32.33 +33:47:57.0 2000.00  20:59 1.257  WFC   26.5  180  V                                
 551961 2000ee104         9:27:32.33 +33:47:57.1 2000.00  21:00 1.254  WFC   27.1  180  V                                
 551962 2000ee104         9:27:32.34 +33:47:57.0 2000.00  21:01 1.251  WFC   27.1  180  V                                
 551963 2000ee104         9:27:32.34 +33:47:57.0 2000.00  21:02 1.248  WFC   27.1  180  V                                
 551964 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:04 1.243  WFC   27.1  180  r                                
 551965 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:04 1.240  WFC   27.1  180  r                                
 551966 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:05 1.236  WFC   27.1  180  r                                
 551967 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:06 1.233  WFC   26.6  180  r                                
 551968 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:08 1.228  WFC   27.1  180  z                                
 551969 2000ee104         9:27:32.33 +33:47:56.9 2000.00  21:09 1.225  WFC   27.1  180  z                                
 551970 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:10 1.222  WFC   27.1  180  z                                
 551971 2000ee104         9:27:32.34 +33:47:57.0 2000.00  21:11 1.219  WFC   27.1  180  z                                
 551972 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:12 1.216  WFC   26.6  180  z                                
 551973 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:13 1.213  WFC   27.1  180  z                                
 551974 2000ee104         9:27:32.34 +33:47:56.9 2000.00  21:14 1.210  WFC   27.1  180  z                                
 551975 2000ee104         9:27:32.33 +33:47:56.9 2000.00  21:15 1.208  WFC   27.1  180  z                                
 551976 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:16 1.204  WFC   27.1  180  r                                
 551977 2000ee104         9:27:32.33 +33:47:57.0 2000.00  21:17 1.201  WFC   27.1  180  r                                
 551978 2000ee104         9:27:32.33 +33:47:56.9 2000.00  21:18 1.198  WFC   27.1  180  r                                
 551979 2000ee104         9:27:32.34 +33:47:57.0 2000.00  21:19 1.196  WFC   27.1  180  r                                
 551980 sa98562           6:51:53.00 -00:20:24.0 2000.00  21:22 1.144  WFC   10.1  180  r                                
 551981 sa98562           6:51:53.00 -00:20:24.0 2000.00  21:23 1.144  WFC   10.1  180  i                                
 551982 sa98562           6:51:52.99 -00:20:24.0 2000.00  21:24 1.145  WFC   20.1  180  V                                
 551983 sa95107           3:53:24.99 +00:01:40.0 2000.00  21:27 1.666  WFC   30.1  180  V                                
 551984 sa95107           3:53:25.00 +00:01:39.9 2000.00  21:29 1.678  WFC   20.1  180  i                                
