 554249 FieldS8 v         6:47:44.39 -02:39:21.3 2000.00  21:01 1.174  WFC   25.1  180  stromgren v                      
 554250 FieldS8 u         6:47:44.40 -02:39:21.4 2000.00  21:02 1.175  WFC  120.0  180  stromgren u                      
 554251 FieldS5 y         6:47:35.40 -02:19:10.4 2000.00  21:05 1.171  WFC   11.6  180  stromgren y                      
 554252 FieldS5 b         6:47:35.39 -02:19:10.3 2000.00  21:06 1.172  WFC   17.5  180  stromgren b                      
 554253 FieldS5 v         6:47:35.39 -02:19:10.3 2000.00  21:07 1.172  WFC   25.1  180  stromgren v                      
 554254 FieldS5 u         6:47:35.39 -02:19:10.2 2000.00  21:08 1.173  WFC  120.0  180  stromgren u                      
 554255 FieldS2 y         6:47:17.70 -01:58:04.2 2000.00  21:13 1.171  WFC   12.1  180  stromgren y                      
 554256 FieldS2 b         6:47:17.70 -01:58:04.1 2000.00  21:14 1.172  WFC   18.1  180  stromgren b                      
 554257 FieldS2 v         6:47:17.69 -01:58:04.0 2000.00  21:15 1.173  WFC   25.1  180  stromgren v                      
 554258 FieldS2 u         6:47:17.69 -01:58:04.0 2000.00  21:16 1.174  WFC  120.0  180  stromgren u                      
 554259 FieldS10 y        6:50:08.90 -02:54:29.3 2000.00  21:20 1.186  WFC   12.1  180  stromgren y                      
 554260 FieldS10 b        6:50:08.89 -02:54:29.2 2000.00  21:20 1.186  WFC   18.1  180  stromgren b                      
 554261 FieldS10 v        6:50:08.89 -02:54:29.3 2000.00  21:22 1.187  WFC   25.1  180  stromgren v                      
 554262 FieldS10 u        6:50:08.89 -02:54:29.3 2000.00  21:23 1.189  WFC  120.0  180  stromgren u                      
 554263 FieldS7 y         6:49:50.20 -02:34:03.9 2000.00  21:26 1.186  WFC   11.6  180  stromgren y                      
 554264 FieldS7 b         6:49:50.19 -02:34:04.0 2000.00  21:27 1.187  WFC   18.1  180  stromgren b                      
 554265 FieldS7 v         6:49:50.20 -02:34:04.0 2000.00  21:28 1.188  WFC   25.1  180  stromgren v                      
 554266 FieldS7 u         6:49:50.20 -02:34:04.0 2000.00  21:29 1.190  WFC  120.0  180  stromgren u                      
 554267 FieldS4 y         6:49:41.49 -02:14:07.0 2000.00  21:32 1.188  WFC   12.1  180  stromgren y                      
 554268 FieldS4 b         6:49:41.50 -02:14:06.9 2000.00  21:33 1.190  WFC   18.1  180  stromgren b                      
 554269 FieldS4 v         6:49:41.50 -02:14:07.0 2000.00  21:34 1.191  WFC   25.1  180  stromgren v                      
 554270 FieldS4 u         6:49:41.50 -02:14:07.0 2000.00  21:36 1.193  WFC  119.5  180  stromgren u                      
 554271 FieldS1 y         6:49:23.80 -01:53:14.1 2000.00  21:39 1.192  WFC   12.1  180  stromgren y                      
 554272 FieldS1 b         6:49:23.79 -01:53:14.1 2000.00  21:40 1.193  WFC   17.6  180  stromgren b                      
 554273 FieldS1 v         6:49:23.79 -01:53:14.1 2000.00  21:41 1.195  WFC   25.1  180  stromgren v                      
 554274 FieldS1 u         6:49:23.80 -01:53:14.2 2000.00  21:42 1.197  WFC  120.0  180  stromgren u                      
 554275 M67-4 y           8:51:17.99 +11:47:59.9 2000.00  21:47 1.082  WFC   11.6  180  stromgren y                      
 554276 M67-4 b           8:51:18.00 +11:48:00.0 2000.00  21:48 1.081  WFC   18.1  180  stromgren b                      
 554277 M67-4 v           8:51:18.00 +11:47:59.9 2000.00  21:49 1.080  WFC   25.1  180  stromgren v                      
 554278 M67-4 u           8:51:18.00 +11:47:59.9 2000.00  21:50 1.077  WFC  120.0  180  stromgren u                      
 554279 M67-3 y           8:51:17.99 +11:48:00.0 2000.00  21:53 1.075  WFC   12.1  180  stromgren y                      
 554280 M67-3 b           8:51:18.00 +11:48:00.0 2000.00  21:54 1.074  WFC   18.1  180  stromgren b                      
 554281 M67-3 v           8:51:18.00 +11:48:00.0 2000.00  21:55 1.073  WFC   25.1  180  stromgren v                      
 554282 M67-3 u           8:51:17.99 +11:48:00.1 2000.00  21:56 1.071  WFC  119.5  180  stromgren u                      
 554283 M67-2 y           8:51:17.99 +11:47:59.9 2000.00  21:59 1.069  WFC   12.1  180  stromgren y                      
 554284 M67-2 b           8:51:17.99 +11:48:00.0 2000.00  22:00 1.068  WFC   18.1  180  stromgren b                      
 554285 M67-2 v           8:51:17.99 +11:47:59.9 2000.00  22:01 1.067  WFC   24.0  180  stromgren v                      
 554286 M67-2 u           8:51:18.00 +11:47:59.9 2000.00  22:02 1.065  WFC  119.5  180  stromgren u                      
 554287 M67-1 y           8:51:17.99 +11:47:59.9 2000.00  22:06 1.063  WFC   12.1  180  stromgren y                      
 554288 M67-1 b           8:51:18.00 +11:47:59.9 2000.00  22:07 1.062  WFC   18.1  180  stromgren b                      
 554289 M67-1 v           8:51:18.00 +11:48:00.0 2000.00  22:08 1.062  WFC   25.1  180  stromgren v                      
 554290 M67-1 u           8:51:17.99 +11:48:00.0 2000.00  22:09 1.060  WFC  120.0  180  stromgren u                      
 554291 FieldN12 y        6:45:20.39 -01:44:06.9 2000.00  22:13 1.255  WFC   12.1  180  stromgren y                      
 554292 FieldN12 b        6:45:20.39 -01:44:06.8 2000.00  22:14 1.257  WFC   18.1  180  stromgren b                      
 554293 FieldN12 v        6:45:20.40 -01:44:06.9 2000.00  22:15 1.260  WFC   25.1  180  stromgren v                      
 554294 FieldN12 u        6:45:20.40 -01:44:06.8 2000.00  22:16 1.265  WFC  120.0  180  stromgren u                      
 554295 FieldN9 y         6:45:13.29 -01:23:29.0 2000.00  22:19 1.266  WFC   12.1  180  stromgren y                      
 554296 FieldN9 b         6:45:13.30 -01:23:29.1 2000.00  22:20 1.268  WFC   18.1  180  stromgren b                      
 554297 FieldN9 v         6:45:13.30 -01:23:29.0 2000.00  22:21 1.271  WFC   25.1  180  stromgren v                      
 554298 FieldN9 u         6:45:13.30 -01:23:29.1 2000.00  22:22 1.276  WFC  120.0  180  stromgren u                      
 554299 FieldN6 y         6:45:06.00 -01:03:45.4 2000.00  22:26 1.279  WFC   12.1  180  stromgren y                      
 554300 FieldN6 b         6:45:06.00 -01:03:45.2 2000.00  22:27 1.282  WFC   18.1  180  stromgren b                      
 554301 FieldN6 v         6:45:05.99 -01:03:45.3 2000.00  22:28 1.285  WFC   25.1  180  stromgren v                      
 554302 FieldN6 u         6:45:06.00 -01:03:45.2 2000.00  22:29 1.291  WFC  120.0  180  stromgren u                      
 554303 FieldN3 y         6:44:48.19 -00:42:52.7 2000.00  22:33 1.294  WFC   11.5  180  stromgren y                      
 554304 FieldN3 b         6:44:48.20 -00:42:52.8 2000.00  22:34 1.297  WFC   18.1  180  stromgren b                      
 554305 FieldN3 v         6:44:48.20 -00:42:52.8 2000.00  22:35 1.300  WFC   24.5  180  stromgren v                      
 554306 FieldN3 u         6:44:48.19 -00:42:52.7 2000.00  22:36 1.306  WFC  120.0  180  stromgren u                      
 554307 FieldN11 y        6:46:52.99 -01:40:22.9 2000.00  22:40 1.324  WFC   11.5  180  stromgren y                      
 554308 FieldN11 b        6:46:52.99 -01:40:23.1 2000.00  22:41 1.327  WFC   18.1  180  stromgren b                      
 554309 FieldN11 v        6:46:52.99 -01:40:23.1 2000.00  22:42 1.330  WFC   25.1  180  stromgren v                      
 554310 FieldN11 u        6:46:53.00 -01:40:23.1 2000.00  22:43 1.338  WFC  120.0  180  stromgren u                      
 554311 FieldN8 y         6:46:45.19 -01:20:12.1 2000.00  22:46 1.341  WFC   12.1  180  stromgren y                      
 554312 FieldN8 b         6:46:45.20 -01:20:12.0 2000.00  22:47 1.345  WFC   18.1  180  stromgren b                      
 554313 FieldN8 v         6:46:45.20 -01:20:12.0 2000.00  22:49 1.349  WFC   25.1  180  stromgren v                      
 554314 FieldN8 u         6:46:45.20 -01:20:12.0 2000.00  22:50 1.356  WFC  120.1  180  stromgren u                      
 554315 FieldN5 y         6:46:36.59 -01:00:01.1 2000.00  22:53 1.359  WFC   12.1  180  stromgren y                      
 554316 FieldN5 b         6:46:36.59 -01:00:00.9 2000.00  22:54 1.363  WFC   18.1  180  stromgren b                      
 554317 FieldN5 v         6:46:36.60 -01:00:00.9 2000.00  22:55 1.367  WFC   25.1  180  stromgren v                      
 554318 FieldN5 u         6:46:36.60 -01:00:01.0 2000.00  22:56 1.375  WFC  119.5  180  stromgren u                      
 554319 FieldN10 y        6:48:58.19 -01:35:19.9 2000.00  22:59 1.385  WFC   12.1  180  stromgren y                      
 554320 FieldN10 b        6:48:58.20 -01:35:20.0 2000.00  23:00 1.389  WFC   18.1  180  stromgren b                      
 554321 FieldN10 v        6:48:58.20 -01:35:20.0 2000.00  23:01 1.394  WFC   25.1  180  stromgren v                      
 554322 FieldN10 u        6:48:58.20 -01:35:20.0 2000.00  23:03 1.402  WFC  120.1  180  stromgren u                      
 554323 FieldN2 y         6:46:20.70 -00:38:55.0 2000.00  23:06 1.408  WFC   12.0  180  stromgren y                      
 554324 FieldN2 b         6:46:20.70 -00:38:54.7 2000.00  23:07 1.414  WFC   18.1  180  stromgren b                      
 554325 FieldN2 v         6:46:20.70 -00:38:54.9 2000.00  23:08 1.419  WFC   25.1  180  stromgren v                      
