 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 762196 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:00 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762197 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:00 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762198 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:00 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762199 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:00 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762200 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:00 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762201 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:01 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762202 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:01 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762203 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:01 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762204 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:01 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762205 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:01 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762206 Bias 2x1          0:00:00.00 +00:00:00.0  2000.00 21:02 1.000  IDS    0.0   20  Clear+Clear   1.2  66.5 6007.3   
 762207 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:09 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762208 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:10 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762209 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:10 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762210 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:10 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762211 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:10 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762212 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:11 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762213 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:11 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762214 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:11 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762215 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:12 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762216 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:12 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
 762217 W Flat 2x1        0:00:00.00 +00:00:00.0  2000.00 21:12 1.000  IDS    4.0   20  Clear+Clear   1.2  66.5 6007.3   
