 540548 hper              2:18:56.40 +57:08:24.9 2000.00  20:11 1.248  WFC   60.1  180  i                                
 540549 chiper            2:22:04.30 +57:08:34.9 2000.00  20:13 1.248  WFC   59.6  180  i                                
 540550 hper              2:18:56.40 +57:08:24.9 2000.00  20:17 1.237  WFC   60.1  180  i                                
 540551 chiper            2:22:04.29 +57:08:35.0 2000.00  20:20 1.238  WFC   60.1  180  i                                
 540552 hper              2:18:56.39 +57:08:25.0 2000.00  20:22 1.228  WFC   60.0  180  i                                
 540553 chiper            2:22:04.30 +57:08:34.9 2000.00  20:25 1.228  WFC   60.1  180  i                                
 540554 hper              2:18:56.40 +57:08:25.1 2000.00  20:28 1.219  WFC   60.1  180  i                                
 540555 chiper            2:22:04.30 +57:08:35.1 2000.00  20:31 1.219  WFC   60.0  180  i                                
 540556 hper              2:18:56.40 +57:08:25.0 2000.00  20:34 1.210  WFC   60.0  180  i                                
 540557 chiper            2:22:04.29 +57:08:35.0 2000.00  20:37 1.210  WFC   60.1  180  i                                
 540558 hper              2:18:56.40 +57:08:25.1 2000.00  20:40 1.202  WFC   60.1  180  i                                
 540559 chiper            2:22:04.30 +57:08:35.0 2000.00  20:43 1.202  WFC   60.1  180  i                                
 540560 hper              2:18:56.40 +57:08:24.7 2000.00  20:46 1.195  WFC   60.1  180  i                                
 540561 chiper            2:22:04.29 +57:08:35.0 2000.00  20:49 1.195  WFC   60.1  180  i                                
 540562 hper              2:18:56.39 +57:08:25.0 2000.00  20:52 1.188  WFC   60.1  180  i                                
 540563 chiper            2:22:04.30 +57:08:34.8 2000.00  20:55 1.188  WFC   60.1  180  i                                
 540564 hper              2:18:56.40 +57:08:25.0 2000.00  20:58 1.181  WFC   60.0  180  i                                
 540565 chiper            2:22:04.30 +57:08:34.9 2000.00  21:00 1.182  WFC   60.1  180  i                                
 540566 hper              2:18:56.40 +57:08:24.9 2000.00  21:04 1.175  WFC   60.0  180  i                                
 540567 chiper            2:22:04.29 +57:08:35.1 2000.00  21:07 1.175  WFC   60.1  180  i                                
 540568 hper              2:18:56.40 +57:08:24.9 2000.00  21:09 1.170  WFC   60.0  180  i                                
 540569 chiper            2:22:04.29 +57:08:35.0 2000.00  21:12 1.170  WFC   60.0  180  i                                
 540570 hper              2:18:56.40 +57:08:25.0 2000.00  21:15 1.165  WFC   60.0  180  i                                
 540571 chiper            2:22:04.30 +57:08:35.0 2000.00  21:18 1.165  WFC   60.1  180  i                                
 540572 hper              2:18:56.39 +57:08:25.0 2000.00  21:21 1.160  WFC   60.0  180  i                                
 540573 chiper            2:22:04.30 +57:08:34.9 2000.00  21:24 1.160  WFC   60.1  180  i                                
 540574 hper              2:18:56.40 +57:08:25.0 2000.00  21:27 1.156  WFC   59.5  180  i                                
 540575 chiper            2:22:04.30 +57:08:34.9 2000.00  21:30 1.156  WFC   60.1  180  i                                
 540576 hper              2:18:56.40 +57:08:25.0 2000.00  21:33 1.152  WFC   60.1  180  i                                
 540577 chiper            2:22:04.30 +57:08:34.9 2000.00  21:36 1.152  WFC   60.0  180  i                                
 540578 hper              2:18:56.40 +57:08:24.9 2000.00  21:39 1.149  WFC   60.1  180  i                                
 540579 chiper            2:22:04.30 +57:08:35.0 2000.00  21:42 1.149  WFC   60.1  180  i                                
 540580 hper              2:18:56.40 +57:08:25.1 2000.00  21:45 1.146  WFC   59.5  180  i                                
 540581 chiper            2:22:04.30 +57:08:34.9 2000.00  21:48 1.146  WFC   60.0  180  i                                
 540582 hper              2:18:56.39 +57:08:25.1 2000.00  21:51 1.143  WFC   60.0  180  i                                
 540583 chiper            2:22:04.29 +57:08:35.1 2000.00  21:54 1.143  WFC   60.0  180  i                                
 540584 hper              2:18:56.39 +57:08:25.1 2000.00  21:56 1.141  WFC   60.0  180  i                                
 540585 chiper            2:22:04.30 +57:08:35.0 2000.00  21:59 1.141  WFC   59.5  180  i                                
 540586 hper              2:18:56.39 +57:08:25.2 2000.00  22:02 1.139  WFC   60.0  180  i                                
 540587 chiper            2:22:04.29 +57:08:35.1 2000.00  22:05 1.139  WFC   60.1  180  i                                
 540588 hper              2:18:56.39 +57:08:25.1 2000.00  22:08 1.138  WFC   60.0  180  i                                
 540589 chiper            2:22:04.30 +57:08:35.0 2000.00  22:11 1.138  WFC   60.1  180  i                                
 540590 hper              2:18:56.40 +57:08:25.1 2000.00  22:14 1.137  WFC   60.0  180  i                                
 540591 chiper            2:22:04.29 +57:08:34.9 2000.00  22:17 1.137  WFC   60.0  180  i                                
