INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 14 08:09

TELESCOPE             INT
DATE                  20051213
OBSERVER/S            A. Cardwell
PROGRAMME             various
PROPOSAL REF          D                  
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    AC

TEL STATION / FOCUS   Prime  / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           18:23
EVENING TWILIGHT (UT) 19:40
MORNING TWILIGHT (UT) 06:32
SUNRISE (UT)          07:48
%ILLUM. LUNAR DISK    97
DARK TIME (HRS)       10:52
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          07:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear all night but seeing 1.2 - 1.5 or worse all night. Consistently much worse than robodimm.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 487020 Bias              0:00:00.00 +00:00:00.0 2000.00  18:05 4.540  WFC    0.0  180  Unknown                          
 487021 Bias              0:00:00.00 +00:00:00.0 2000.00  18:05 4.540  WFC    0.0  180  Unknown                          
 487022 Bias              0:00:00.00 +00:00:00.0 2000.00  18:06 4.540  WFC    0.0  180  Unknown                          
 487023 Bias              0:00:00.00 +00:00:00.0 2000.00  18:06 4.540  WFC    0.0  180  Unknown                          
 487024 Bias              0:00:00.00 +00:00:00.0 2000.00  18:07 4.540  WFC    0.0  180  Unknown                          
 487025 Bias              0:00:00.00 +00:00:00.0 2000.00  18:08 4.540  WFC    0.0  180  Unknown                          
 487026 Bias              0:00:00.00 +00:00:00.0 2000.00  18:08 4.540  WFC    0.0  180  Unknown                          
 487027 Bias              0:00:00.00 +00:00:00.0 2000.00  18:09 4.540  WFC    0.0  180  Unknown                          
 487028 ha6895 11        22:58:00.00 +00:04:59.9 2000.00  18:36 1.139  WFC   10.5  180  Unknown                          
 487029 ha6895 15        22:58:00.66 +00:05:10.0 2000.00  18:38 1.139  WFC   11.1  180  Unknown                          
 487030 ha6895 24        22:57:59.33 +00:04:49.9 2000.00  18:39 1.139  WFC   24.1  180  Unknown                          
 487031 ha6895 36        22:58:00.66 +00:04:49.9 2000.00  18:41 1.139  WFC   38.1  180  Unknown                          
 487032 ha6650 55        22:58:00.66 +00:04:50.0 2000.00  18:42 1.139  WFC   63.6  180  Unknown                          
 487033 ha6650 90        22:58:00.66 +00:05:10.0 2000.00  18:45 1.140  WFC  100.0  180  Unknown                          
 487034 i 22             22:58:00.66 +00:05:10.0 2000.00  18:48 1.140  WFC   22.1  180  i                                
 487035 i 32             22:57:58.66 +00:04:40.0 2000.00  18:50 1.141  WFC   32.1  180  i                                
 487036 i 46             22:58:00.66 +00:05:09.8 2000.00  18:52 1.141  WFC   46.1  180  i                                
 487037 i 75             22:58:00.66 +00:05:09.9 2000.00  18:54 1.142  WFC   75.0  180  r                                
 487038 test ha6895       0:00:39.52 +00:13:19.8 2000.00  19:06 1.151  WFC   10.1  180  Unknown                          
 487039 Focus run         0:00:39.53 +00:13:19.9 2000.00  19:20 1.144  WFC   10.0  180  r                                
 487040 Focus run         0:00:39.52 +00:13:19.9 2000.00  19:35 1.138  WFC   20.1  180  r                                
 487041 Focus run         0:55:39.41 +00:36:19.9 2000.00  19:51 1.158  WFC   10.1  180  r                                
 487042 Focus run         0:55:39.41 +00:36:20.0 2000.00  20:07 1.144  WFC   20.1  180  Unknown                          
 487043 Focus run         0:55:39.41 +00:36:19.9 2000.00  20:15 1.139  WFC   20.1  180  Unknown                          
 487044 Focus run         0:55:39.40 +00:36:20.0 2000.00  20:26 1.135  WFC   20.1  180  Unknown                          
 487045 Focus run         0:55:39.41 +00:36:19.9 2000.00  20:37 1.134  WFC   20.1  180  Unknown                          
 487046 Focus run         0:55:39.41 +00:36:20.0 2000.00  20:45 1.134  WFC   20.1  180  Unknown                          
 487047 Focus run         0:55:39.40 +00:36:20.0 2000.00  20:51 1.135  WFC    9.5  180  r                                
 487048 Focus run         0:55:39.40 +00:36:20.0 2000.00  20:59 1.138  WFC   20.1  180  Unknown                          
 487049 Focus run         0:55:39.41 +00:36:20.0 2000.00  21:07 1.142  WFC   20.1  180  Unknown                          
 487050 Focus run         0:55:39.41 +00:36:20.0 2000.00  21:18 1.149  WFC   43.1  180  Unknown                          
 487051 IC1613 300s B     1:04:53.99 +02:08:00.0 2000.00  21:31 1.142  WFC  299.9  180  B                                
 487052 NGC147 i 10m      0:33:12.00 +48:30:29.0 2000.00  21:43 1.119  WFC  599.7  180  i                                
 487053 NGC147 i 10m      0:33:11.99 +48:30:28.9 2000.00  21:53 1.134  WFC  599.7  180  i                                
 487054 NGC147 i 10m      0:33:12.00 +48:30:28.9 2000.00  22:05 1.151  WFC  599.1  180  i                                
 487055 NGC147 i 10m      0:33:12.00 +48:30:29.0 2000.00  22:15 1.169  WFC  599.7  180  i                                
 487056 NGC147 i 10m      0:33:11.99 +48:30:28.9 2000.00  22:27 1.191  WFC  599.7  180  i                                
 487057 NGC147 i 10m      0:33:11.99 +48:30:28.9 2000.00  22:37 1.214  WFC  599.2  180  i                                
 487058 M31 i 900s        0:44:45.49 +41:38:11.8 2000.00  22:55 1.209  WFC  899.6  180  i                                crap, background too high.
 487059 ABELL 0193 5m r   1:25:07.30 +08:41:36.0 2000.00  23:16 1.253  WFC  300.0  180  r                                
 487060 abell0262 test r  1:52:50.39 +36:08:45.9 2000.00  23:28 1.108  WFC  150.0  180  r                                
 487061 ABELL 0262 20m H  1:52:50.39 +36:08:45.9 2000.00  23:33 1.134  WFC 1199.4  180  Unknown                          garbage, swrong focus
 487062 ABELL 0262 150s   1:52:50.40 +36:08:45.9 2000.00  23:53 1.161  WFC  150.0  180  r                                
 487064 ABELL 0262 60s H  1:52:50.39 +36:08:45.9 2000.00  00:04 1.186  WFC   60.1  180  Unknown                          
 487065 ABELL 0262 20m H  1:52:50.40 +36:08:46.0 2000.00  00:07 1.223  WFC 1199.3  180  Unknown                          
 487066 ABELL 0262 150s   1:52:50.40 +36:08:45.9 2000.00  00:29 1.265  WFC  149.5  180  r                                
 487067 ABELL 0262 150s   1:52:50.39 +36:08:46.0 2000.00  00:32 1.276  WFC  150.0  180  r                                
 487068 ABELL 0262 20m H  1:52:50.40 +36:08:45.8 2000.00  00:37 1.329  WFC 1199.2  180  Unknown                          
 487069 ABELL 0262 150s   1:52:50.40 +36:08:46.0 2000.00  00:59 1.384  WFC  150.0  180  r                                
 487070 ABELL 0262 150s   1:52:50.40 +36:08:45.9 2000.00  01:02 1.399  WFC  149.4  180  r                                
 487071 ABELL 0262 20m H  1:52:50.39 +36:08:45.9 2000.00  01:07 1.471  WFC 1199.3  180  Unknown                          
 487072 ABELL 0262 150s   1:52:50.39 +36:08:46.0 2000.00  01:29 1.547  WFC  150.0  180  r                                
 487073 ABELL 0262 150s   1:52:50.39 +36:08:46.0 2000.00  01:32 1.567  WFC  149.5  180  r                                
 487074 1XRS test 60s r   7:21:22.20 +55:47:10.8 2000.00  01:46 1.156  WFC   59.5  180  r                                
 487075 1RXS 20m Ha6657   7:21:22.20 +55:47:10.9 2000.00  01:50 1.145  WFC 1199.5  180  Unknown                          
 487076 1RXS 300s r       7:21:22.20 +55:47:11.1 2000.00  02:11 1.136  WFC  298.9  180  r                                
 487077 1RXS 20m Ha6657   7:21:22.20 +55:47:11.0 2000.00  02:19 1.129  WFC 1199.3  180  Unknown                          
 487078 1RXS 300s r       7:21:22.20 +55:47:10.9 2000.00  02:40 1.124  WFC  299.9  180  r                                
 487079 1RXS 20m Ha6657   7:21:22.19 +55:47:11.0 2000.00  02:48 1.122  WFC 1199.4  180  Unknown                          
 487080 1RXS 300s r       7:21:22.20 +55:47:10.9 2000.00  03:09 1.123  WFC  299.9  180  r                                
 487081 V838 30s r        7:04:18.99 -03:50:00.0 2000.00  03:19 1.201  WFC   30.1  180  r                                
 487082 V868 300s r       7:04:18.99 -03:50:00.1 2000.00  03:23 1.207  WFC  299.4  180  r                                
 487083 V868 300s r       7:04:19.00 -03:50:00.0 2000.00  03:29 1.213  WFC  299.9  180  r                                
 487084 V868 300s r       7:04:19.00 -03:48:59.9 2000.00  03:37 1.223  WFC  299.4  180  r                                
 487085 V868 300s r       7:04:19.00 -03:48:59.9 2000.00  03:43 1.232  WFC  299.9  180  r                                
 487086 V838 300s r       7:04:23.01 -03:49:00.0 2000.00  03:53 1.248  WFC  299.9  180  r                                
 487087 V838 300s r       7:04:23.00 -03:49:00.0 2000.00  03:58 1.259  WFC  299.9  180  r                                guiding lost, crap image
 487088 V838 300s r       7:04:23.00 -03:48:59.9 2000.00  04:07 1.278  WFC  299.9  180  r                                
 487089 V838 300s r       7:04:23.01 -03:49:59.9 2000.00  04:19 1.308  WFC  299.9  180  r                                
 487090 V838 300s r       7:04:23.00 -03:49:59.9 2000.00  04:25 1.324  WFC  299.9  180  r                                
 487091 V838 300s r       7:04:23.00 -03:51:00.0 2000.00  04:38 1.366  WFC  299.9  180  r                                
 487092 V838 300s r       7:04:23.01 -03:51:00.0 2000.00  04:44 1.386  WFC  299.9  180  r                                
 487093 V838 300s r       7:04:19.00 -03:50:59.9 2000.00  04:53 1.423  WFC  299.9  180  r                                
 487094 V838 300s r       7:04:19.00 -03:51:00.0 2000.00  04:58 1.447  WFC  300.0  180  r                                
 487095 V838 300s r       7:04:14.98 -03:51:00.0 2000.00  05:07 1.490  WFC  299.9  180  r                                
 487096 V838 300s r       7:04:14.99 -03:51:00.0 2000.00  05:13 1.519  WFC  299.4  180  r                                
 487097 V838 300s r       7:04:14.99 -03:50:00.2 2000.00  05:24 1.584  WFC  299.9  180  r                                
 487098 V838 300s r       7:04:14.99 -03:50:00.0 2000.00  05:30 1.620  WFC  299.9  180  r                                
 487099 V838 300s r       7:04:14.97 -03:49:00.2 2000.00  05:38 1.678  WFC  299.9  180  r                                
 487100 V838 300s r       7:04:14.99 -03:49:00.0 2000.00  05:43 1.721  WFC  299.9  180  r                                
 487101 ngc4321 1200s Ha 12:22:54.96 +15:49:21.0 2000.00  06:15 1.112  WFC 1199.3  180  Halpha                           
 487102 ngc4321 1200s Ha 12:22:54.95 +15:49:21.1 2000.00  06:36 1.077  WFC 1199.3  180  Unknown                          
 487103 ngc4321 1200s Ha 12:22:54.95 +15:49:21.0 2000.00  07:02 1.048  WFC 1199.3  180  Halpha                           
 487104 flat i           10:59:09.99 +03:29:59.9 2000.00  07:26 1.129  WFC   23.1  180  i                                
 487105 flat i           10:59:10.66 +03:30:09.9 2000.00  07:27 1.130  WFC   14.1  180  i                                
 487106 flat i           10:59:09.33 +03:29:49.9 2000.00  07:28 1.132  WFC    8.1  180  i                                
 487107 flat r           10:59:10.66 +03:30:10.0 2000.00  07:30 1.133  WFC    4.5  180  r                                
 487108 flat r           10:59:09.99 +03:30:00.1 2000.00  07:30 1.134  WFC    3.5  180  r                                
 487109 flat r           10:59:09.33 +03:29:49.8 2000.00  07:31 1.135  WFC    4.1  180  r                                
 487110 flat ha6650      10:59:10.00 +03:30:00.0 2000.00  07:33 1.137  WFC   23.6  180  Unknown                          
 487111 flat ha6650      10:59:10.66 +03:30:09.9 2000.00  07:35 1.139  WFC   13.1  180  Unknown                          
 487112 flat ha6650      10:59:09.32 +03:29:49.8 2000.00  07:36 1.140  WFC    7.6  180  Unknown                          
 487113 flat ha6805      10:59:10.00 +03:29:59.9 2000.00  07:37 1.142  WFC    5.0  180  Unknown                          
 487114 flat ha6805      10:59:10.66 +03:30:10.0 2000.00  07:38 1.143  WFC    4.1  180  Unknown                          
 487115 flat ha6805      10:59:09.33 +03:29:49.9 2000.00  07:39 1.144  WFC    2.6  180  Unknown                          
 487116 flat Ha          10:59:09.33 +03:29:50.0 2000.00  07:40 1.146  WFC    3.1  180  Halpha                           
 487117 flat Ha          10:59:09.99 +03:30:00.1 2000.00  07:41 1.147  WFC    3.1  180  Halpha                           
 487118 flat Ha          10:59:10.66 +03:30:09.9 2000.00  07:42 1.148  WFC    3.1  180  Halpha                           
