 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610467 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:13 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610468 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:13 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610469 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:13 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610470 Bias bin 3x1      0:00:00.00 +00:00:00.0  2000.00 03:13 1.000  IDS    0.0  300  Clear+Clear   1.0  65.2 7494.6   
 610471 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 03:18 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610472 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 03:18 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610473 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 03:22 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610474 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 03:23 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610475 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 03:25 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610476 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 03:25 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610477 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 03:27 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610478 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 03:28 1.136  IDS    5.0  300  Clear+Clear   1.0  65.2 7494.6   
 610479 rotation test     0:00:00.00 +00:00:00.0  2000.00 03:43 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610480 rotation test     0:00:00.00 +00:00:00.0  2000.00 03:50 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610481 rotation test     0:00:00.00 +00:00:00.0  2000.00 03:55 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610482 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 03:58 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610483 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 03:58 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610484 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 04:01 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610485 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 04:02 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610486 Hartmann L        0:00:00.00 +00:00:00.0  2000.00 04:05 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
 610487 Hartmann R        0:00:00.00 +00:00:00.0  2000.00 04:06 1.136  IDS   30.0  300  Clear+Clear   0.5  55.5 4502.2   
