field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
2239,iphas_nov2009,1942,118,11,1,28,20,70,4,0,7,0,0,1,-0.000171661376953,-0.0114650726318,-0.012261390686,0.0212087048426,0.0191743901951,0.0287216639966,newmerges/iphas_nov2009/intphas_2239_mercat.fits,newmerges/iphas_nov2009/intphas_2239o_mercat.fits
2240,iphas_nov2005,1901,188,5,0,89,24,75,2,1,2,0,0,0,0.0196151733398,-0.00708675384521,0.0208854675293,0.0298432853469,0.0204334558484,0.0292511756502,newmerges/iphas_nov2005/intphas_2240_mercat.fits,newmerges/iphas_nov2005/intphas_2240o_mercat.fits
2241,iphas_nov2005,2470,116,2,0,42,21,53,1,0,1,0,0,0,-0.0115814208984,-0.00746917724609,-0.00939655303955,0.0255057699048,0.020433446862,0.0247371554698,newmerges/iphas_nov2005/intphas_2241_mercat.fits,newmerges/iphas_nov2005/intphas_2241o_mercat.fits
2242,iphas_nov2005,3241,205,7,0,90,44,71,1,3,3,0,0,0,-0.0226526260376,-0.0209364891052,-0.0117950439453,0.0260210767005,0.0221342943432,0.0263678736473,newmerges/iphas_nov2005/intphas_2242_mercat.fits,newmerges/iphas_nov2005/intphas_2242o_mercat.fits
2243,iphas_nov2005,3652,207,5,0,46,50,111,0,2,3,0,0,0,-0.00535297393799,-0.0712547302246,-0.00666046142578,0.0242060056202,0.0211941061726,0.0294781045726,newmerges/iphas_nov2005/intphas_2243_mercat.fits,newmerges/iphas_nov2005/intphas_2243o_mercat.fits
2244,iphas_nov2005,3310,230,9,1,43,87,100,2,5,2,0,1,0,-0.0690021514893,-0.0688858032227,0.188034057617,0.0227037984921,0.129561431785,0.0261363546762,newmerges/iphas_nov2005/intphas_2244_mercat.fits,newmerges/iphas_nov2005/intphas_2244o_mercat.fits
2245,iphas_nov2005,3010,220,16,1,53,52,115,2,7,7,1,0,0,-0.0184154510498,-0.00769805908203,-0.0236873626709,0.0244087907505,0.022581224121,0.0299954116897,newmerges/iphas_nov2005/intphas_2245_mercat.fits,newmerges/iphas_nov2005/intphas_2245o_mercat.fits
2246,iphas_nov2005,4768,367,17,1,92,56,219,6,4,7,1,0,0,-0.02086353302,-0.0779733657837,-0.0169067382812,0.0264271001103,0.0218353622784,0.0316731000789,newmerges/iphas_nov2005/intphas_2246_mercat.fits,newmerges/iphas_nov2005/intphas_2246o_mercat.fits
2247,iphas_nov2005,2564,127,4,0,32,26,69,1,0,3,0,0,0,-0.0245294570923,-0.00542640686035,-0.0480651855469,0.023804054042,0.0209474132738,0.0277891097096,newmerges/iphas_nov2005/intphas_2247_mercat.fits,newmerges/iphas_nov2005/intphas_2247o_mercat.fits
2248,iphas_nov2005,2489,120,5,0,43,22,55,2,1,2,0,0,0,-0.284571647644,-0.15838432312,-0.109087944031,0.0249874328835,0.0199310882364,0.0254470675751,newmerges/iphas_nov2005/intphas_2248_mercat.fits,newmerges/iphas_nov2005/intphas_2248o_mercat.fits
2249,iphas_nov2005,3558,273,9,0,126,62,85,2,4,3,0,0,0,0.142585754395,0.140726089478,0.114242076874,0.0289906231047,0.0241278901658,0.0255292867819,newmerges/iphas_nov2005/intphas_2249_mercat.fits,newmerges/iphas_nov2005/intphas_2249o_mercat.fits
2250,iphas_nov2005,1993,127,7,2,57,24,46,3,3,1,2,0,0,-0.114385604858,-0.127123832703,-0.115160942078,0.0306528033691,0.0220277386334,0.0262582985574,newmerges/iphas_nov2005/intphas_2250_mercat.fits,newmerges/iphas_nov2005/intphas_2250o_mercat.fits
2250,iphas_nov2009,1611,151,3,0,38,21,92,2,0,1,0,0,0,-0.00492668151855,0.000751495361328,0.00462341308594,0.0266065431788,0.0224605719193,0.0311620160812,newmerges/iphas_nov2009/intphas_2250_mercat.fits,newmerges/iphas_nov2009/intphas_2250o_mercat.fits
2251,iphas_nov2005,2997,197,13,1,51,78,68,3,4,6,0,1,0,-0.0534534454346,-0.0736494064331,0.00763940811157,0.0255199309547,0.0266141014281,0.0274230731831,newmerges/iphas_nov2005/intphas_2251_mercat.fits,newmerges/iphas_nov2005/intphas_2251o_mercat.fits
2252,iphas_nov2005,1260,65,6,3,23,13,29,0,1,5,0,0,3,-0.322039604187,-0.183416366577,2.71797180176e-05,0.0252556388352,0.021944968479,0.696037411791,newmerges/iphas_nov2005/intphas_2252_mercat.fits,newmerges/iphas_nov2005/intphas_2252o_mercat.fits
2253,iphas_nov2005,3239,262,7,1,70,90,102,0,5,2,0,1,0,-0.142316818237,-0.142013549805,-0.0979919433594,0.0236024926132,0.0298965512063,0.0275428234742,newmerges/iphas_nov2005/intphas_2253_mercat.fits,newmerges/iphas_nov2005/intphas_2253o_mercat.fits
2253,iphas_nov2009,2286,173,15,3,47,37,89,7,2,6,3,0,0,0.00350379943848,0.00243949890137,-0.0100288391113,0.0249042146943,0.0216149991274,0.0275609980484,newmerges/iphas_nov2009/intphas_2253_mercat.fits,newmerges/iphas_nov2009/intphas_2253o_mercat.fits
2254,iphas_nov2005,1738,42,2,1,13,10,19,1,1,0,0,1,0,0.0614051818848,0.215139389038,0.0257234573364,0.0230203439779,0.0209021333549,0.0237303605078,newmerges/iphas_nov2005/intphas_2254_mercat.fits,newmerges/iphas_nov2005/intphas_2254o_mercat.fits
2255,iphas_dec2007,2204,161,10,1,14,96,51,3,5,2,0,0,1,-0.000168800354004,-0.0149517059326,-0.0145406723022,0.0194920432343,0.0304403774613,0.0266576424045,newmerges/iphas_dec2007/intphas_2255_mercat.fits,newmerges/iphas_dec2007/intphas_2255o_mercat.fits
2255,iphas_nov2005,2204,161,10,1,14,96,51,3,5,2,0,0,1,-0.000168800354004,-0.0149517059326,-0.0145406723022,0.0194920432343,0.0304403774613,0.0266576424045,newmerges/iphas_dec2007/intphas_2255_mercat.fits,newmerges/iphas_dec2007/intphas_2255o_mercat.fits
2255,iphas_nov2009,1943,54,5,0,8,12,34,1,2,2,0,0,0,-0.0215015411377,-0.000691413879395,-0.00289916992188,0.0190736589111,0.0175443866669,0.0240266879565,newmerges/iphas_nov2009/intphas_2255_mercat.fits,newmerges/iphas_nov2009/intphas_2255o_mercat.fits
2256,iphas_dec2007,1515,110,3,0,8,45,57,1,1,1,0,0,0,0.00774192810059,0.0059380531311,-0.00468969345093,0.0190142610337,0.0252609425218,0.0274588225166,newmerges/iphas_dec2007/intphas_2256_mercat.fits,newmerges/iphas_dec2007/intphas_2256o_mercat.fits
2256,iphas_nov2009,1564,123,7,2,43,27,53,2,3,2,0,1,1,-0.00729942321777,0.000899314880371,-0.00666618347168,0.0268576378656,0.0262601481996,0.0293127982854,newmerges/iphas_nov2009/intphas_2256_mercat.fits,newmerges/iphas_nov2009/intphas_2256o_mercat.fits
2257,iphas_dec2007,3830,182,14,3,19,54,109,6,4,4,1,2,0,-0.0136737823486,0.00371599197388,-0.00292015075684,0.0203903062971,0.0273958059363,0.0275854041592,newmerges/iphas_dec2007/intphas_2257_mercat.fits,newmerges/iphas_dec2007/intphas_2257o_mercat.fits
2258,iphas_dec2007,1667,83,4,1,24,21,38,2,1,1,1,0,0,-0.00055456161499,0.0602359771729,0.00275421142578,0.0210496032265,0.0207722175474,0.0269183528148,newmerges/iphas_dec2007/intphas_2258_mercat.fits,newmerges/iphas_dec2007/intphas_2258o_mercat.fits
2259,iphas_dec2007,3616,145,9,2,22,47,76,4,2,3,1,0,1,0.004469871521,0.0041618347168,0.00427007675171,0.0202858550732,0.021484806741,0.0276414509702,newmerges/iphas_dec2007/intphas_2259_mercat.fits,newmerges/iphas_dec2007/intphas_2259o_mercat.fits
2260,iphas_nov2005,1510,193,6,0,111,31,51,2,1,3,0,0,0,0.00179767608643,-0.0103297233582,0.0289916992188,0.0304373928342,0.0214981542986,0.0269405487669,newmerges/iphas_nov2005/intphas_2260_mercat.fits,newmerges/iphas_nov2005/intphas_2260o_mercat.fits
2260,iphas_nov2009,915,161,11,1,46,34,81,1,0,10,0,0,1,0.00587368011475,0.00718641281128,0.0204381942749,0.0281864890031,0.026663618643,0.0383292557712,newmerges/iphas_nov2009/intphas_2260_mercat.fits,newmerges/iphas_nov2009/intphas_2260o_mercat.fits
2261,iphas_nov2005,2880,310,7,1,104,72,134,3,1,3,0,0,1,0.069486618042,0.0729875564575,0.0569162368774,0.0266336326922,0.0242602169376,0.0295775620635,newmerges/iphas_nov2005/intphas_2261_mercat.fits,newmerges/iphas_nov2005/intphas_2261o_mercat.fits
2262,iphas_nov2005,2109,145,5,0,81,24,40,2,3,0,0,0,0,-0.00838947296143,-0.00246810913086,-0.000353813171387,0.0278309536228,0.0208915568245,0.0244136340764,newmerges/iphas_nov2005/intphas_2262_mercat.fits,newmerges/iphas_nov2005/intphas_2262o_mercat.fits
2263,iphas_nov2005,3376,309,12,0,139,77,93,5,5,2,0,0,0,0.0218200683594,0.0704669952393,0.0498328208923,0.0280708567419,0.024625469935,0.0262023687627,newmerges/iphas_nov2005/intphas_2263_mercat.fits,newmerges/iphas_nov2005/intphas_2263o_mercat.fits
2264,iphas_dec2007,1875,89,8,3,19,11,59,3,1,4,2,0,1,0.00291061401367,0.00328254699707,0.00142097473145,0.0219475892255,0.0221257135192,0.0320139785924,newmerges/iphas_dec2007/intphas_2264_mercat.fits,newmerges/iphas_dec2007/intphas_2264o_mercat.fits
2264,iphas_nov2005,1875,89,8,3,19,11,59,3,1,4,2,0,1,0.00291061401367,0.00328254699707,0.00142097473145,0.0219475892255,0.0221257135192,0.0320139785924,newmerges/iphas_dec2007/intphas_2264_mercat.fits,newmerges/iphas_dec2007/intphas_2264o_mercat.fits
2265,iphas_nov2005,1943,292,13,0,157,15,120,3,2,8,0,0,0,0.0156335830688,0.00225830078125,0.0172638893127,0.0336442337616,0.0206971045679,0.0343120375528,newmerges/iphas_nov2005/intphas_2265_mercat.fits,newmerges/iphas_nov2005/intphas_2265o_mercat.fits
2265,iphas_nov2009,1815,233,12,2,82,18,133,2,0,10,0,0,2,0.000789642333984,-0.0012059211731,0.0102910995483,0.0278829018797,0.0212228875023,0.0466716026111,newmerges/iphas_nov2009/intphas_2265_mercat.fits,newmerges/iphas_nov2009/intphas_2265o_mercat.fits
2266,iphas_nov2005,2909,432,28,0,222,77,133,10,5,13,0,0,0,0.00573539733887,-0.00874185562134,-0.0142345428467,0.03312634838,0.0257309065002,0.0314855301802,newmerges/iphas_nov2005/intphas_2266_mercat.fits,newmerges/iphas_nov2005/intphas_2266o_mercat.fits
2267,iphas_dec2008,2237,109,4,1,35,20,54,1,0,3,0,0,1,-0.00228691101074,0.0565538406372,0.00204944610596,0.0242929825257,0.0201778813099,0.0280795044767,newmerges/iphas_dec2008/intphas_2267_mercat.fits,newmerges/iphas_dec2008/intphas_2267o_mercat.fits
2267,iphas_nov2005,3103,231,13,4,70,62,99,2,3,8,1,0,3,-0.00499725341797,-0.0124878883362,-0.00571346282959,0.0266654721196,0.0256063055061,0.0334813378792,newmerges/iphas_nov2005/intphas_2267_mercat.fits,newmerges/iphas_nov2005/intphas_2267o_mercat.fits
2267,iphas_nov2009,1559,138,3,0,48,25,65,0,0,3,0,0,0,-0.00122451782227,-0.0011510848999,0.00613355636597,0.0253411351917,0.0204813823994,0.0279577003798,newmerges/iphas_nov2009/intphas_2267_mercat.fits,newmerges/iphas_nov2009/intphas_2267o_mercat.fits
2268,iphas_dec2007,1466,100,6,0,15,29,56,3,2,1,0,0,0,-0.00106430053711,-0.00234127044678,-0.00380229949951,0.0223839479373,0.0230122718292,0.0280778012813,newmerges/iphas_dec2007/intphas_2268_mercat.fits,newmerges/iphas_dec2007/intphas_2268o_mercat.fits
2268,iphas_nov2005,1502,222,15,0,93,21,108,3,1,11,0,0,0,0.0401034355164,-0.00913906097412,-0.0049934387207,0.0307992405752,0.0201171769821,0.0352863233631,newmerges/iphas_nov2005/intphas_2268_mercat.fits,newmerges/iphas_nov2005/intphas_2268o_mercat.fits
2269,iphas_dec2007,3697,117,11,4,16,41,60,7,3,1,3,1,0,0.00666809082031,0.00406837463379,0.00244808197021,0.0278051119084,0.0220713333015,0.0251355657317,newmerges/iphas_dec2007/intphas_2269_mercat.fits,newmerges/iphas_dec2007/intphas_2269o_mercat.fits
2270,iphas_nov2005,3697,117,11,4,16,41,60,7,3,1,3,1,0,0.00666809082031,0.00406837463379,0.00244808197021,0.0278051119084,0.0220713333015,0.0251355657317,newmerges/iphas_dec2007/intphas_2269_mercat.fits,newmerges/iphas_dec2007/intphas_2269o_mercat.fits
2270,iphas_nov2009,1817,211,4,0,82,24,105,2,0,2,0,0,0,-0.000314712524414,-0.00163555145264,0.00299453735352,0.0298366341632,0.022282384772,0.0319814258009,newmerges/iphas_nov2009/intphas_2270_mercat.fits,newmerges/iphas_nov2009/intphas_2270o_mercat.fits
2270,iphas_oct2010,2161,139,3,0,6,99,34,1,0,2,0,0,0,-0.00636291503906,-0.00653457641602,-0.00778102874756,0.0180637886717,0.0263781093573,0.0275089881761,newmerges/iphas_oct2010/intphas_2270_mercat.fits,newmerges/iphas_oct2010/intphas_2270o_mercat.fits
2271,iphas_nov2003,2545,227,6,1,40,104,83,0,2,4,0,1,0,-0.00991058349609,-0.00633239746094,-0.00202560424805,0.0225175782136,0.0260930762195,0.0274795762092,newmerges/iphas_nov2003/intphas_2271_mercat.fits,newmerges/iphas_nov2003/intphas_2271o_mercat.fits
2272,iphas_dec2007,3799,161,22,3,25,48,88,8,8,6,1,1,1,0.00416564941406,0.00685119628906,-0.000606536865234,0.0226403852428,0.0238571383441,0.424251043759,newmerges/iphas_dec2007/intphas_2272_mercat.fits,newmerges/iphas_dec2007/intphas_2272o_mercat.fits
2273,iphas_dec2007,2456,139,13,4,21,62,56,6,1,6,1,1,2,0.00283527374268,0.0028829574585,0.00222778320312,0.0238232557582,0.025100289667,0.0351608150272,newmerges/iphas_dec2007/intphas_2273_mercat.fits,newmerges/iphas_dec2007/intphas_2273o_mercat.fits
2274,iphas_oct2010,2880,218,5,1,6,167,45,1,0,4,0,0,1,-0.00831985473633,-0.00818824768066,-0.00945377349854,0.0164218289967,0.029155792282,0.0251879168947,newmerges/iphas_oct2010/intphas_2274_mercat.fits,newmerges/iphas_oct2010/intphas_2274o_mercat.fits
2275,iphas_nov2005,1794,262,38,7,76,59,127,6,4,28,0,0,7,-0.000553131103516,0.00663375854492,0.00628662109375,0.0282101405593,0.0257840302641,0.0406266517882,newmerges/iphas_nov2005/intphas_2275_mercat.fits,newmerges/iphas_nov2005/intphas_2275o_mercat.fits
2276,iphas_nov2005,3481,390,17,1,178,113,99,5,9,3,1,0,0,0.00552368164062,-0.0120477676392,0.0115299224854,0.029560228484,0.0260841025409,0.0268666749952,newmerges/iphas_nov2005/intphas_2276_mercat.fits,newmerges/iphas_nov2005/intphas_2276o_mercat.fits
2277,iphas_oct2010,3353,156,2,2,7,118,31,0,1,1,0,1,1,-0.00120449066162,-0.00203704833984,-0.0027871131897,0.0167496981711,0.0247118858169,0.0256418880115,newmerges/iphas_oct2010/intphas_2277_mercat.fits,newmerges/iphas_oct2010/intphas_2277o_mercat.fits
2278,iphas_oct2010,2239,212,6,0,66,24,122,2,0,4,0,0,0,-0.00226211547852,-0.00378608703613,-0.00113296508789,0.0260841202926,0.0217260500038,0.0346670056922,newmerges/iphas_oct2010/intphas_2278_mercat.fits,newmerges/iphas_oct2010/intphas_2278o_mercat.fits
2280,iphas_dec2005,3971,158,9,1,35,31,92,4,3,2,0,1,0,0.000265121459961,0.118438720703,0.0151481628418,0.0234891125012,0.0240430338584,0.0253110841111,newmerges/iphas_dec2005/intphas_2280_mercat.fits,newmerges/iphas_dec2005/intphas_2280o_mercat.fits
2281,iphas_dec2005,3162,146,7,1,47,36,63,1,3,3,0,0,1,-0.00170803070068,-0.00924348831177,-0.00130462646484,0.0248114493208,0.0210876246839,0.0289202089129,newmerges/iphas_dec2005/intphas_2281_mercat.fits,newmerges/iphas_dec2005/intphas_2281o_mercat.fits
2282,iphas_dec2005,4802,203,9,2,38,50,115,2,4,3,0,1,1,0.0109272003174,0.289257526398,-0.183887481689,0.0222725375,0.0241888093858,0.0289880182869,newmerges/iphas_dec2005/intphas_2282_mercat.fits,newmerges/iphas_dec2005/intphas_2282o_mercat.fits
2283,iphas_dec2005,2020,257,19,1,94,89,74,2,5,12,0,0,1,-0.600772857666,-1.09371471405,-0.110998153687,0.0305187016381,0.0281778438945,0.0316833383212,newmerges/iphas_dec2005/intphas_2283_mercat.fits,newmerges/iphas_dec2005/intphas_2283o_mercat.fits
2283,iphas_oct2010,2020,257,19,1,94,89,74,2,5,12,0,0,1,-0.600772857666,-1.09371471405,-0.110998153687,0.0305187016381,0.0281778438945,0.0316833383212,newmerges/iphas_dec2005/intphas_2283_mercat.fits,newmerges/iphas_dec2005/intphas_2283o_mercat.fits
2284,iphas_nov2005,3376,381,13,0,73,185,123,0,7,6,0,0,0,-0.0264625549316,-0.0686349868774,0.0106658935547,0.025631582872,0.0297360066349,0.0286224560676,newmerges/iphas_nov2005/intphas_2284_mercat.fits,newmerges/iphas_nov2005/intphas_2284o_mercat.fits
2285,iphas_dec2005,108,185,73,8,26,6,153,5,3,65,0,0,8,1.54207706451,2.42082309723,-2.55780935287,0.0442888890907,0.0649747235038,0.0770696911467,newmerges/iphas_dec2005/intphas_2285_mercat.fits,newmerges/iphas_dec2005/intphas_2285o_mercat.fits
2285,iphas_oct2009,1480,95,6,0,34,21,40,4,1,1,0,0,0,0.0168447494507,-0.00283479690552,-0.000750541687012,0.0249463971278,0.0212154530645,0.0270603666478,newmerges/iphas_oct2009/intphas_2285_mercat.fits,newmerges/iphas_oct2009/intphas_2285o_mercat.fits
2285,iphas_oct2010,1753,103,3,1,15,35,53,0,1,2,0,1,0,-0.00329208374023,0.028431892395,-0.00561141967773,0.0207866546496,0.0219669674693,0.0285617220767,newmerges/iphas_oct2010/intphas_2285_mercat.fits,newmerges/iphas_oct2010/intphas_2285o_mercat.fits
2286,iphas_nov2005,3181,435,22,1,204,98,133,15,1,6,0,1,0,0.0253000259399,0.000864028930664,0.0136203765869,0.0304143765387,0.0271963072313,0.0280629147076,newmerges/iphas_nov2005/intphas_2286_mercat.fits,newmerges/iphas_nov2005/intphas_2286o_mercat.fits
2287,iphas_dec2005,3181,435,22,1,204,98,133,15,1,6,0,1,0,0.0253000259399,0.000864028930664,0.0136203765869,0.0304143765387,0.0271963072313,0.0280629147076,newmerges/iphas_nov2005/intphas_2286_mercat.fits,newmerges/iphas_nov2005/intphas_2286o_mercat.fits
2287,iphas_dec2007,1501,145,13,1,17,44,84,3,5,5,0,1,0,-0.00167179107666,0.0251979827881,0.00168466567993,0.0208087163389,0.0289542687043,0.0329179702103,newmerges/iphas_dec2007/intphas_2287_mercat.fits,newmerges/iphas_dec2007/intphas_2287o_mercat.fits
2287,iphas_oct2010,1501,145,13,1,17,44,84,3,5,5,0,1,0,-0.00167179107666,0.0251979827881,0.00168466567993,0.0208087163389,0.0289542687043,0.0329179702103,newmerges/iphas_dec2007/intphas_2287_mercat.fits,newmerges/iphas_dec2007/intphas_2287o_mercat.fits
2288,iphas_dec2005,4291,148,14,2,35,38,75,2,6,6,0,1,1,0.0163669586182,0.0463919639587,-0.0260543823242,0.0215157222788,0.404889511059,0.0283167245149,newmerges/iphas_dec2005/intphas_2288_mercat.fits,newmerges/iphas_dec2005/intphas_2288o_mercat.fits
2289,iphas_dec2005,3998,238,8,1,28,108,102,1,3,4,0,1,0,0.0272703170776,-0.339755058289,-0.0088939666748,0.0220027359691,0.029840980181,0.0288819011487,newmerges/iphas_dec2005/intphas_2289_mercat.fits,newmerges/iphas_dec2005/intphas_2289o_mercat.fits
2289,iphas_dec2007,2738,118,10,0,22,39,57,6,2,2,0,0,0,-0.00011157989502,0.000249862670898,0.0012321472168,0.0214686209155,0.022772482905,0.0275449470422,newmerges/iphas_dec2007/intphas_2289_mercat.fits,newmerges/iphas_dec2007/intphas_2289o_mercat.fits
2290,iphas_dec2005,1441,62,1,0,33,10,19,0,0,1,0,0,0,0.564798355103,0.964204311371,0.119581222534,0.0281670463201,0.0205732068483,0.0242408555399,newmerges/iphas_dec2005/intphas_2290_mercat.fits,newmerges/iphas_dec2005/intphas_2290o_mercat.fits
2291,iphas_dec2008,2168,133,3,2,9,35,89,0,1,2,0,0,2,-0.0039529800415,-0.00102138519287,-0.00751304626465,0.0190513440044,0.022613932236,0.0320103285198,newmerges/iphas_dec2008/intphas_2291_mercat.fits,newmerges/iphas_dec2008/intphas_2291o_mercat.fits
2291,iphas_nov2005,2741,281,7,1,91,66,124,1,2,4,0,0,1,-0.00370407104492,-0.00395631790161,0.00251770019531,0.0263538888347,0.025575515014,0.0308165375472,newmerges/iphas_nov2005/intphas_2291_mercat.fits,newmerges/iphas_nov2005/intphas_2291o_mercat.fits
2291,iphas_nov2009,1755,140,9,1,25,28,87,2,1,6,1,0,0,0.00414657592773,0.00322818756104,-0.00331211090088,0.0228253249546,0.0210188076005,0.0295619621399,newmerges/iphas_nov2009/intphas_2291_mercat.fits,newmerges/iphas_nov2009/intphas_2291o_mercat.fits
2292,iphas_nov2003,2448,206,7,0,47,80,79,5,1,1,0,0,0,-0.00479602813721,-0.00389385223389,-0.00953674316406,0.0251196836958,0.0249274440991,0.0273546824077,newmerges/iphas_nov2003/intphas_2292_mercat.fits,newmerges/iphas_nov2003/intphas_2292o_mercat.fits
2293,iphas_dec2005,4563,317,12,1,94,27,196,4,2,6,0,1,0,-0.0393137931824,-0.0128536224365,-0.0230007171631,0.0261811888868,0.0216548261068,0.0325697226213,newmerges/iphas_dec2005/intphas_2293_mercat.fits,newmerges/iphas_dec2005/intphas_2293o_mercat.fits
2294,iphas_dec2007,1788,92,16,5,9,36,47,4,7,5,1,2,2,0.0199565887451,-0.0145893096924,0.000772476196289,0.0236823926946,0.0881944224129,0.039357788192,newmerges/iphas_dec2007/intphas_2294_mercat.fits,newmerges/iphas_dec2007/intphas_2294o_mercat.fits
2295,iphas_dec2007,2620,144,23,8,26,45,73,8,7,8,1,4,3,-0.00710105895996,-0.00557661056519,-0.00478172302246,0.0229158545186,0.0277040450045,0.0308665603908,newmerges/iphas_dec2007/intphas_2295_mercat.fits,newmerges/iphas_dec2007/intphas_2295o_mercat.fits
2296,iphas_dec2007,2177,106,11,0,12,26,68,3,2,6,0,0,0,0.0133686065674,-0.00307273864746,0.00833034515381,0.0174649995205,0.021381492074,0.0265711930193,newmerges/iphas_dec2007/intphas_2296_mercat.fits,newmerges/iphas_dec2007/intphas_2296o_mercat.fits
2297,iphas_dec2005,2177,106,11,0,12,26,68,3,2,6,0,0,0,0.0133686065674,-0.00307273864746,0.00833034515381,0.0174649995205,0.021381492074,0.0265711930193,newmerges/iphas_dec2007/intphas_2296_mercat.fits,newmerges/iphas_dec2007/intphas_2296o_mercat.fits
2297,iphas_nov2009,1733,218,18,0,16,75,127,1,3,14,0,0,0,-0.0106163024902,0.000351428985596,0.0069694519043,0.0174310116155,0.0267145080305,0.0339620673746,newmerges/iphas_nov2009/intphas_2297_mercat.fits,newmerges/iphas_nov2009/intphas_2297o_mercat.fits
2298,iphas_dec2008,808,342,95,12,94,99,149,22,18,55,1,3,8,-0.000990867614746,-0.00425243377686,0.0109901428223,0.0391066415139,0.043585464863,0.0631276807627,newmerges/iphas_dec2008/intphas_2298_mercat.fits,newmerges/iphas_dec2008/intphas_2298o_mercat.fits
2298,iphas_nov2005,1087,482,117,24,148,139,195,38,32,47,4,8,12,0.0134882926941,0.0667924880981,0.012966632843,0.0445906384937,0.0472282341577,0.0621945364267,newmerges/iphas_nov2005/intphas_2298_mercat.fits,newmerges/iphas_nov2005/intphas_2298o_mercat.fits
2298,iphas_nov2009,960,350,73,13,113,91,146,22,23,28,4,6,3,0.0129327774048,0.0134840011597,0.011812210083,0.0406932967513,0.0424398130035,0.0474024347644,newmerges/iphas_nov2009/intphas_2298_mercat.fits,newmerges/iphas_nov2009/intphas_2298o_mercat.fits
2299,iphas_nov2005,2650,252,24,8,68,66,118,4,8,12,2,2,4,-0.0843696594238,-0.139612197876,-0.100298881531,0.025270087018,0.026899392154,0.0327857272551,newmerges/iphas_nov2005/intphas_2299_mercat.fits,newmerges/iphas_nov2005/intphas_2299o_mercat.fits
2300,iphas_nov2003,2571,292,11,2,47,162,83,1,3,7,0,1,1,-0.0097541809082,-0.00436401367188,-0.0132513046265,0.0226180338251,0.0301243422349,0.441007258794,newmerges/iphas_nov2003/intphas_2300_mercat.fits,newmerges/iphas_nov2003/intphas_2300o_mercat.fits
2301,iphas_dec2007,2617,109,9,1,14,30,65,3,2,4,0,0,1,0.00440454483032,0.00165176391602,0.001220703125,0.0212922596062,0.0211576952639,0.0315455274673,newmerges/iphas_dec2007/intphas_2301_mercat.fits,newmerges/iphas_dec2007/intphas_2301o_mercat.fits
2301,iphas_nov2009,2617,109,9,1,14,30,65,3,2,4,0,0,1,0.00440454483032,0.00165176391602,0.001220703125,0.0212922596062,0.0211576952639,0.0315455274673,newmerges/iphas_dec2007/intphas_2301_mercat.fits,newmerges/iphas_dec2007/intphas_2301o_mercat.fits
2302,iphas_dec2005,2617,109,9,1,14,30,65,3,2,4,0,0,1,0.00440454483032,0.00165176391602,0.001220703125,0.0212922596062,0.0211576952639,0.0315455274673,newmerges/iphas_dec2007/intphas_2301_mercat.fits,newmerges/iphas_dec2007/intphas_2301o_mercat.fits
2302,iphas_dec2007,2246,93,13,2,21,13,59,7,3,3,0,0,2,-1.52587890625e-05,-0.00193023681641,-0.00135374069214,0.0215775952439,0.0191040556159,0.155648004528,newmerges/iphas_dec2007/intphas_2302_mercat.fits,newmerges/iphas_dec2007/intphas_2302o_mercat.fits
2302,iphas_dec2008,2562,114,8,3,48,29,37,1,3,4,0,1,2,-0.0164289474487,-0.0212888717651,0.000768661499023,0.0237509615407,0.0240211793361,0.0254029069177,newmerges/iphas_dec2008/intphas_2302_mercat.fits,newmerges/iphas_dec2008/intphas_2302o_mercat.fits
2302,iphas_oct2009,2041,80,8,2,22,15,43,3,2,3,1,0,1,0.00214767456055,0.000717163085938,-0.0122165679932,0.0229672932154,0.0196689607973,0.0269629382487,newmerges/iphas_oct2009/intphas_2302_mercat.fits,newmerges/iphas_oct2009/intphas_2302o_mercat.fits
2303,iphas_dec2005,2878,80,3,1,26,20,34,1,1,1,0,1,0,0.0469264984131,0.0123319625854,-0.0154886245728,0.024643126577,0.0202858786755,0.0242609472611,newmerges/iphas_dec2005/intphas_2303_mercat.fits,newmerges/iphas_dec2005/intphas_2303o_mercat.fits
2304,iphas_dec2005,4432,142,7,2,51,23,68,1,3,3,0,0,2,0.00191116333008,-0.000815391540527,-0.0418109893799,0.0244856756951,0.0198777338635,0.385995405708,newmerges/iphas_dec2005/intphas_2304_mercat.fits,newmerges/iphas_dec2005/intphas_2304o_mercat.fits
2305,iphas_dec2005,3125,134,7,3,66,25,43,2,2,3,1,2,0,-0.00707530975342,-0.0127239227295,0.000186920166016,0.031256172375,0.0215892051313,0.0269915937491,newmerges/iphas_dec2005/intphas_2305_mercat.fits,newmerges/iphas_dec2005/intphas_2305o_mercat.fits
2306,iphas_dec2005,4149,141,2,0,66,22,53,0,1,1,0,0,0,0.0207080841064,0.00409603118896,0.0259547233582,0.0251576029953,0.0198382460862,0.0256051973354,newmerges/iphas_dec2005/intphas_2306_mercat.fits,newmerges/iphas_dec2005/intphas_2306o_mercat.fits
