field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0010,iphas_nov2008,2582,161,13,3,14,81,66,3,5,5,1,0,2,-0.00656700134277,-0.0167322158813,-0.0144839286804,0.0187198341552,0.0290887878728,0.0305562517873,newmerges/iphas_nov2008/intphas_0010_mercat.fits,newmerges/iphas_nov2008/intphas_0010o_mercat.fits
0011,iphas_nov2003b,531,242,52,0,87,119,36,9,41,2,0,0,0,-0.316316127777,-0.0442142486572,-0.190108299255,0.0408120252951,0.0642230794077,0.0348169184129,newmerges/iphas_nov2003b/intphas_0011_mercat.fits,newmerges/iphas_nov2003b/intphas_0011o_mercat.fits
0011,iphas_nov2008,3304,115,22,5,16,31,68,4,6,12,1,3,1,-0.0110569000244,-0.018684387207,-0.0122509002686,0.0192876881429,0.0240636462603,0.0290959310917,newmerges/iphas_nov2008/intphas_0011_mercat.fits,newmerges/iphas_nov2008/intphas_0011o_mercat.fits
0012,iphas_nov2003b,43,43,15,0,8,29,6,0,14,1,0,0,0,0.0937671661377,-0.280291557312,-0.137453079224,0.0432985706022,0.0880394840608,0.0364063215804,newmerges/iphas_nov2003b/intphas_0012_mercat.fits,newmerges/iphas_nov2003b/intphas_0012o_mercat.fits
0012,iphas_nov2008,1082,46,7,1,4,25,17,1,3,3,0,1,0,-0.012228012085,-0.0285444259644,-0.0270624160767,0.0171089123955,0.0292744374694,0.0297083996292,newmerges/iphas_nov2008/intphas_0012_mercat.fits,newmerges/iphas_nov2008/intphas_0012o_mercat.fits
0013,iphas_nov2003b,409,319,108,6,187,99,33,88,16,4,6,0,0,-0.229209899902,-0.447462558746,-0.45521068573,0.0871038913176,0.0576984038833,0.0352185200031,newmerges/iphas_nov2003b/intphas_0013_mercat.fits,newmerges/iphas_nov2003b/intphas_0013o_mercat.fits
0013,iphas_nov2008,4658,120,19,3,29,31,60,7,7,5,2,1,0,-0.00548648834229,-0.00979042053223,-0.0127124786377,0.0182937147992,0.0198045350439,0.0236046129325,newmerges/iphas_nov2008/intphas_0013_mercat.fits,newmerges/iphas_nov2008/intphas_0013o_mercat.fits
0014,iphas_aug2010,4658,120,19,3,29,31,60,7,7,5,2,1,0,-0.00548648834229,-0.00979042053223,-0.0127124786377,0.0182937147992,0.0198045350439,0.0236046129325,newmerges/iphas_nov2008/intphas_0013_mercat.fits,newmerges/iphas_nov2008/intphas_0013o_mercat.fits
0014,iphas_nov2003b,356,167,65,0,30,100,37,1,63,1,0,0,0,0.725656509399,0.96559047699,0.766188144684,0.0346988563408,0.101843140034,0.0404020382043,newmerges/iphas_nov2003b/intphas_0014_mercat.fits,newmerges/iphas_nov2003b/intphas_0014o_mercat.fits
0015,iphas_aug2009,763,73,3,0,6,20,47,0,0,3,0,0,0,-0.00227546691895,-0.0291090011597,-0.0291442871094,0.0184427341586,0.0236237680033,0.0301999758752,newmerges/iphas_aug2009/intphas_0015_mercat.fits,newmerges/iphas_aug2009/intphas_0015o_mercat.fits
0015,iphas_nov2003b,159,52,3,0,13,20,19,0,1,2,0,0,0,1.17852401733,0.472018241882,0.189501285553,0.034010959441,0.0369804516261,0.039143841898,newmerges/iphas_nov2003b/intphas_0015_mercat.fits,newmerges/iphas_nov2003b/intphas_0015o_mercat.fits
0016,iphas_nov2003b,2337,611,45,3,369,149,93,31,6,8,1,0,2,0.142667770386,0.293360710144,0.158234596252,0.0442921984865,0.034258463543,0.040097790947,newmerges/iphas_nov2003b/intphas_0016_mercat.fits,newmerges/iphas_nov2003b/intphas_0016o_mercat.fits
