night,run,field,filter,seeing,ellipt,sky,sources
20120802,r922836,V380_OPH,,0.59,0.110,14438.4,464
20120802,r922837,V380_OPH,,0.66,0.068,16733.0,350
20120802,r922838,V380_OPH,,0.62,0.074,7972.1,945
20120802,r922839,V380_OPH,,0.71,0.171,8078.9,959
20120802,r922840,V380_OPH,,0.63,0.135,8140.9,840
20120802,r922841,V380_OPH,,0.62,0.115,12696.3,717
20120802,r922842,V380_OPH,,0.78,0.139,24056.1,71
20120802,r922843,V380_OPH,,0.71,0.078,9207.4,688
20120802,r922844,V380_OPH,,0.79,0.157,8576.3,725
20120802,r922845,V380_OPH,,0.59,0.079,8828.3,859
20120802,r922846,V380_OPH,,0.69,0.168,7899.3,940
20120802,r922847,V380_OPH,,0.56,0.064,9672.4,836
20120802,r922848,V380_OPH,,0.77,0.105,12349.9,491
20120802,r922849,V380_OPH,,0.69,0.065,12669.3,486
20120802,r922850,V380_OPH,,0.81,0.119,13203.9,220
20120802,r922851,V380_OPH,,0.66,0.125,8607.1,841
20120802,r922852,V380_OPH,,0.66,0.135,7413.1,970
20120802,r922853,V380_OPH,,0.72,0.161,7568.4,966
20120802,r922854,V380_OPH,,0.58,0.079,7293.4,1050
20120802,r922855,V380_OPH,,0.68,0.130,7049.5,898
20120802,r922856,V380_OPH,,0.63,0.068,11406.0,467
20120802,r922857,V380_OPH,,0.69,0.126,9718.6,671
20120802,r922858,V380_OPH,,0.63,0.099,8109.0,928
20120802,r922859,V380_OPH,,0.63,0.141,11400.9,730
20120802,r922860,V380_OPH,,0.70,0.151,9507.4,933
20120802,r922861,V380_OPH,,0.67,0.103,16087.3,280
20120802,r922862,V380_OPH,,0.86,0.154,-3428.3,205
20120802,r922863,V380_OPH,,0.96,0.064,23061.3,75
20120802,r922864,V380_OPH,,0.79,0.143,7590.8,738
20120802,r922865,V380_OPH,,0.70,0.128,8444.4,716
20120802,r922866,V380_OPH,,0.70,0.154,9234.9,667
20120802,r922867,V380_OPH,,0.58,0.079,12982.8,484
20120802,r922868,V380_OPH,,0.72,0.060,7488.3,703
20120802,r922869,V380_OPH,,0.61,0.064,18647.2,146
20120802,r922870,V380_OPH,,0.63,0.074,19617.9,158
20120802,r922871,V380_OPH,,0.61,0.050,19797.4,234
20120802,r922872,V380_OPH,,0.66,0.068,20580.2,175
20120802,r922873,V380_OPH,,0.72,0.060,15552.3,287
20120802,r922874,V380_OPH,,0.61,0.057,-3042.9,268
20120802,r922875,V380_OPH,,0.65,0.059,17737.0,340
20120802,r922876,V380_OPH,,0.74,0.052,17022.4,196
20120802,r922877,V380_OPH,,0.93,0.150,13686.9,282
20120802,r922878,V380_OPH,,1.10,0.217,7845.5,518
20120802,r922879,V380_OPH,,0.78,0.165,9717.2,595
20120802,r922880,V380_OPH,,0.66,0.109,10216.7,688
20120802,r922881,V380_OPH,,0.67,0.079,23389.9,88
20120802,r922882,V380_OPH,,0.65,0.051,18814.8,154
20120802,r922883,V380_OPH,,0.59,0.072,16648.1,377
20120802,r922884,V380_OPH,,0.73,0.060,16182.9,204
20120802,r922885,V380_OPH,,0.83,0.086,14992.0,257
20120802,r922886,V380_OPH,,0.81,0.069,13375.2,388
20120802,r922887,V380_OPH,,0.83,0.061,16743.0,237
20120802,r922888,V380_OPH,,1.39,0.081,30045.2,17
20120802,r922889,V380_OPH,,0.93,0.073,25716.6,55
20120802,r922890,V380_OPH,,0.79,0.045,11789.9,434
20120802,r922891,V380_OPH,,0.99,0.050,13639.9,184
20120802,r922892,V380_OPH,,0.74,0.086,17295.4,254
20120802,r922893,V380_OPH,,0.82,0.069,14431.7,365
20120802,r922894,V380_OPH,,0.77,0.064,22784.4,193
20120802,r922895,V380_OPH,,0.78,0.109,25023.3,31
20120802,r922896,V380_OPH,,0.96,0.122,13025.7,329
20120802,r922897,V380_OPH,,0.76,0.097,12719.0,515
20120802,r922898,V380_OPH,,1.32,0.051,19282.0,100
20120802,r922899,V380_OPH,,0.76,0.123,29872.0,26
20120802,r922900,V380_OPH,,1.02,0.103,15344.2,293
20120802,r922901,V380_OPH,,0.78,0.077,18355.9,274
20120802,r922902,V380_OPH,,0.89,0.089,10612.8,508
20120802,r922903,V380_OPH,,0.68,0.081,9131.3,727
20120802,r922904,V380_OPH,,0.67,0.083,9240.8,689
20120802,r922905,V380_OPH,,0.69,0.057,8711.9,681
20120802,r922906,V380_OPH,,0.68,0.059,8726.5,673
20120802,r922907,V380_OPH,,0.66,0.077,8694.7,773
20120802,r922908,V380_OPH,,0.71,0.103,8707.1,729
20120802,r922909,V380_OPH,,0.72,0.127,8693.1,710
20120802,r922910,V380_OPH,,0.94,0.101,8469.4,488
20120802,r922911,V380_OPH,,0.71,0.106,8570.9,741
20120802,r922912,V380_OPH,,0.80,0.161,8912.1,695
20120802,r922913,V380_OPH,,0.71,0.096,8941.3,703
20120802,r922914,V380_OPH,,0.76,0.142,10301.4,568
20120802,r922915,V380_OPH,,0.82,0.111,8864.6,568
20120802,r922916,V380_OPH,,0.93,0.104,8935.4,479
20120802,r922917,V380_OPH,,0.70,0.091,8926.6,688
20120802,r922918,V380_OPH,,0.65,0.120,9069.9,831
20120802,r922919,V380_OPH,,0.78,0.108,8594.9,623
20120802,r922920,V380_OPH,,0.77,0.102,9055.1,606
20120802,r922921,V380_OPH,,0.72,0.132,9002.4,699
20120802,r922922,V380_OPH,,0.76,0.097,8050.5,641
20120802,r922923,V380_OPH,,0.65,0.093,8176.4,770
20120802,r922924,V380_OPH,,0.69,0.141,9189.9,696
20120802,r922925,V380_OPH,,0.78,0.117,13494.8,350
20120802,r922926,V380_OPH,,0.67,0.132,17076.8,166
20120802,r922927,V380_OPH,,0.80,0.153,17776.9,477
20120802,r922928,V380_OPH,,0.63,0.064,15726.3,459
20120802,r922929,V380_OPH,,0.55,0.063,19770.1,361
20120802,r922930,V380_OPH,,0.86,0.158,12279.0,534
20120802,r922931,V380_OPH,,0.64,0.086,12877.8,717
20120802,r922932,V380_OPH,,0.88,0.057,12672.5,500
20120802,r922933,V380_OPH,,0.81,0.054,17444.4,155
20120802,r922934,V380_OPH,,0.79,0.117,14160.8,502
20120802,r922935,V380_OPH,,1.09,0.097,11484.7,410
20120802,r922936,V380_OPH,,0.75,0.068,13628.4,442
20120802,r922937,V380_OPH,,0.80,0.081,11436.5,574
20120802,r922938,V380_OPH,,0.76,0.055,10429.4,582
20120802,r922939,V380_OPH,,0.71,0.061,9394.3,593
20120802,r922940,V380_OPH,,0.71,0.119,9949.1,721
20120802,r922941,V380_OPH,,0.70,0.042,10544.5,656
20120802,r922942,V380_OPH,,0.89,0.083,11206.9,422
20120802,r922943,V380_OPH,,1.33,0.112,15954.3,86
20120802,r922944,V380_OPH,,1.09,0.105,14683.4,98
20120802,r922945,V380_OPH,,0.85,0.089,10879.5,428
20120802,r922946,V380_OPH,,0.88,0.072,10112.3,463
20120802,r922947,V380_OPH,,0.83,0.070,9907.4,507
20120802,r922948,V380_OPH,,0.78,0.113,10027.5,576
20120802,r922949,V380_OPH,,0.77,0.134,10842.3,647
20120802,r922950,V380_OPH,,0.78,0.076,16504.0,266
20120802,r922951,V380_OPH,,0.90,0.153,11520.2,469
