night,ext_r,f_phot
061225,0.152:,0.39
061226,0.119,0.87
061227,,0.0
061228,0.095,0.98
061229,0.091,1.0
061230,0.097,1.0
061231,0.093,1.0
070101,0.087,0.93
070102,0.090,1.0
070103,0.159,0.68
070104,0.108,0.66
070105,,0.0
070106,,0.0
070107,,
070108,,0.09
070109,0.110:,0.21
070110,0.115,1.0
070111,,0.0
070112,,0.0
070113,0.286:,1.0
070114,0.110,0.77
070115,0.121,0.64
070116,0.160:,0.39
070117,0.136,0.86
070118,,0.11
070119,0.129:,0.94
070120,0.107,1.0
070121,0.096,1.0
070122,0.100,0.97
070123,,0.1
070124,,0.08
070125,,
070126,,
070127,,
070128,,
070129,0.112,0.62
070130,,0.89
070131,,
070201,,
070202,0.090,0.96
070203,0.092,0.75
070204,,0.19
070205,,
070206,0.134,0.59
070207,0.095,0.95
070208,0.093,0.99
070209,0.084,0.95
070210,0.082,0.97
070211,0.145,0.51
070212,0.085,0.96
070213,0.109:,0.3
070214,0.088,0.88
070215,0.095,1.0
070216,,0.03
070217,0.094,0.76
070218,0.087,0.79
070219,,0.11
070220,0.090,0.99
070221,0.080,1.0
070222,0.085,1.0
070223,0.083,1.0
070224,0.082,1.0
070225,0.077,1.0
070226,0.068,0.99
070227,0.080,0.99
070228,0.083,0.99
070301,0.102,0.99
070302,0.082,0.95
070303,0.083,0.96
070304,0.109:,0.86
070305,0.088,0.99
070306,0.091,1.0
070307,0.081,0.99
070308,0.094:,0.36
070309,0.129:,0.4
070310,0.086,1.0
070311,,
070312,0.092,1.0
070313,,
070314,,
070315,,
070316,,
070317,,
070318,,
070319,,
070320,,
070321,,
070322,,
070323,,
070324,,
070325,,
070326,,
070327,,
070328,,
070329,,
070330,,
070331,,
070401,,
070402,,
070403,,
070404,,
070405,,
070406,,
070407,,
070408,,
070409,,
070410,,
070411,,
070412,,
070413,,
070414,,
070415,,
070416,,
070417,,
070418,,
070419,,
070420,,
070421,,
070422,,
070423,,
070424,,
070425,,
070426,,
070427,,
070428,,
070429,,
070430,,
070501,,
070502,0.093,0.96
070503,,0.19
070504,0.104,0.61
070505,,0.13
070506,0.110:,0.45
070507,0.160:,0.39
070508,,0.06
070509,0.155,1.0
070510,0.131,1.0
070511,0.099,0.99
070512,0.119,0.93
070513,0.105,0.74
070514,,
070515,,
070516,,
070517,,
070518,,
070519,,
070520,,
070521,,
070522,,
070523,,
070524,,
070525,,
070526,,
070527,,
070528,,
070529,,
070530,,
070531,,
070601,,
070602,,
070603,,
070604,,
070605,,
070606,,
070607,,
070608,,
070609,,
070610,,
070611,,
070612,0.082,1.0
070613,0.080:,0.49
070614,0.085,1.0
070615,0.082,1.0
070616,,
070617,,
070618,0.083,1.0
070619,0.104,1.0
070620,0.116,1.0
070621,0.095,0.97
070622,,0.18
070623,0.100,1.0
070624,0.100,1.0
070625,,
070626,,0.0
070627,0.086,1.0
070628,,0.0
070629,0.090,0.89
070630,0.079,0.96
070701,,0.34
070702,0.080,0.59
070703,,0.29
070704,,0.13
070705,0.076,0.95
070706,0.081,0.99
070707,0.082:,0.19
070708,,0.04
070709,0.187:,1.0
070710,0.347,0.95
070711,0.084,0.93
070712,0.086,0.84
070713,0.088,1.0
070714,0.110,1.0
070715,0.272,1.0
070716,0.437,1.0
070717,,0.22
070718,0.416,1.0
070719,0.620:,0.27
070720,0.347,0.81
070721,0.094,1.0
070722,0.081,1.0
070723,0.091,1.0
070724,0.108,1.0
070725,0.093,1.0
070726,0.206,1.0
070727,0.489:,0.62
070728,0.292:,0.15
070729,,
070730,0.147:,0.31
070731,,0.0
070801,0.151:,0.97
070802,0.092,1.0
070803,0.152,0.89
070804,0.268,0.62
070805,0.097,1.0
070806,0.086,1.0
070807,0.094,1.0
070808,0.086,1.0
070809,0.087,1.0
070810,0.083,0.87
070811,0.106,0.99
070812,0.086,1.0
070813,0.099,1.0
070814,0.147,1.0
070815,0.191,0.92
070816,0.094,0.99
070817,,
070818,,
070819,,
070820,0.107,1.0
070821,0.116,1.0
070822,0.107,1.0
070823,0.099,1.0
070824,,
070825,,
070826,,
070827,,
070828,,0.16
070829,0.199,0.71
070830,0.142,1.0
070831,0.129,1.0
070901,0.092,1.0
070902,0.175,0.68
070903,0.142,1.0
070904,0.103,1.0
070905,0.092,0.96
070906,0.094,1.0
070907,0.092,0.97
070908,0.086,0.97
070909,0.112,0.97
070910,0.089,0.93
070911,0.096,0.97
070912,0.106,0.96
070913,0.095,0.96
070914,0.092,1.0
070915,0.108,0.65
070916,0.092,1.0
070917,0.095,1.0
070918,0.094,1.0
070919,0.092,1.0
070920,,
070921,0.360:,0.54
070922,,0.05
070923,,0.12
070924,0.092,1.0
070925,0.090,0.99
070926,0.095,0.97
070927,0.090,1.0
070928,0.091,0.97
070929,0.089,1.0
070930,0.089,1.0
071001,,0.0
071002,0.088,1.0
071003,0.182:,0.41
071004,0.127:,0.16
071005,0.102,0.99
071006,0.158:,0.11
071007,0.090,1.0
071008,0.089,1.0
071009,0.090,1.0
071010,,
071011,,
071012,,
071013,0.114,1.0
071014,0.114,0.97
071015,0.102,1.0
071016,0.099,0.72
071017,0.087,1.0
071018,0.087,1.0
071019,0.089,0.99
071020,0.084,0.99
071021,0.111,1.0
071022,0.111,1.0
071023,0.083,0.65
071024,0.088,0.77
071025,0.094:,0.47
071026,0.092,0.98
071027,,
071028,0.087,0.99
071029,0.089,0.98
071030,0.089,1.0
071031,0.090,1.0
071101,0.088,1.0
071102,0.092,1.0
071103,0.089,0.62
071104,0.119,0.87
071105,,
071106,,0.0
071107,,0.0
071108,,
071109,,0.0
071110,,
071111,,
071112,,
071113,,
071114,,
071115,,
071116,,
071117,,
071118,,
071119,,
071120,,
071121,,
071122,,
071122,,
071123,,
071124,,
071125,,
071126,,
071127,,
071128,,
071129,,
071130,,
071201,,
071202,,
071203,,
071204,,
071205,,
071206,,
071207,,
071208,,
071209,,
071210,,
071211,,
071212,,
071213,,
071214,,
071215,,
071216,,
071217,,
071218,,
071219,,
071220,,
071221,,
071222,,
071223,,
071224,,
071225,,
071226,,
071227,,
071228,,
071229,,
071230,,
071231,,
080101,,
080102,,
080103,,
080104,,
080105,,
080106,,
080107,,
080108,,
080109,,
080110,,
080111,,
080112,,
080113,,
080114,,
080115,,
080116,,
080117,,
080118,,
080119,,
080120,,
080121,,
080122,,
080123,,
080124,,
080125,,
080126,,
080127,,
080128,,
080129,,
080130,,
080131,,
080201,,
080202,,
080203,,
080204,,
080205,,
080206,,
080207,,
080208,,
080209,,
080210,,
080211,,
080212,,
080213,,
080214,,
080215,,
080216,,
080217,,
080218,,
080219,,
080220,,
080221,,
080222,,
080223,,
080224,,
080225,,
080226,,
080227,,
080228,,
080229,,
080301,,
080302,,
080303,,
080304,,
080305,,
080306,,
080307,,
080308,,
080309,,
080310,,
080311,,
080312,,
080313,,
080314,,
080315,,
080316,,
080317,,
080318,,
080319,,
080320,,
080321,,
080322,,
080323,,
080324,,
080325,,
080326,,
080327,,
080328,,0.73
080329,0.073,0.97
080330,0.095,1.0
080331,0.096,0.65
080401,0.087,0.99
080402,,0.04
080403,0.097,1.0
080404,0.083,0.99
080405,0.158,0.54
080406,,
080407,,
080408,,
080409,,
080410,,1.0
080411,0.095,0.97
080412,,0.0
080413,0.091,0.94
080414,0.090,0.83
080415,0.086:,0.6
080416,0.092,0.78
080417,0.072,1.0
080418,0.101,0.74
080419,,
080420,0.071,0.9
080421,0.075,1.0
080422,0.075,0.97
080423,0.078,1.0
080424,0.141,1.0
080425,0.559:,0.49
080426,0.446:,0.13
080427,0.243,1.0
080428,0.141,0.97
080429,0.190,0.97
080430,,0.13
080501,,0.14
080502,,0.0
080503,0.128,0.56
080504,0.097,0.72
080505,,0.03
080506,0.107,0.96
080507,,1.0
080508,,
080509,0.095,1.0
080510,0.102,0.96
080511,0.104,1.0
080512,0.122,1.0
080513,0.112,1.0
080514,0.168,1.0
080515,,1.0
080516,,0.57
080517,0.097,0.9
080518,0.112,0.52
080519,0.112,0.83
080520,0.104,1.0
080521,0.107,1.0
080522,0.095,1.0
080523,0.088,0.71
080524,0.091,1.0
080525,0.083,1.0
080526,0.081,1.0
080527,0.084,0.88
080528,0.131,0.66
080529,,0.44
080530,,0.0
080531,0.083,1.0
080601,0.083,1.0
080602,0.087,1.0
080603,0.084,0.88
080604,0.081,1.0
080605,0.083,1.0
080606,0.084,1.0
080607,0.080,1.0
080608,,
080609,0.082,1.0
080610,0.075,0.96
080611,0.084,1.0
080612,0.082,1.0
080613,0.083,1.0
080614,0.087,0.95
080615,0.091,1.0
080616,,
080617,,
080618,,
080619,,
080620,,
080621,,
080622,,
080623,,
080624,,
080625,0.167,1.0
080626,0.327,1.0
080627,,
080628,0.296,1.0
080629,0.318,1.0
080630,0.194,0.96
080701,0.091,1.0
080702,0.133,1.0
080703,0.089,1.0
080704,0.083,1.0
080705,,0.36
080706,0.107,0.53
080707,0.085,1.0
080708,0.093,1.0
080709,0.232,1.0
080710,0.373,0.65
080711,0.084,1.0
080712,0.081,1.0
080713,0.088,1.0
080714,,0.36
080715,,0.36
080716,0.077,0.74
080717,0.072:,0.45
080718,0.075,0.7
080719,,0.0
080720,,0.08
080721,,0.14
080722,0.267,1.0
080723,0.130,1.0
080724,0.128,1.0
080725,0.247,0.96
080726,0.176:,1.0
080727,0.110,1.0
080728,0.093,1.0
080729,0.092,0.93
080730,0.225,1.0
080731,,0.0
080801,0.274,1.0
080802,0.212,1.0
080803,0.261,1.0
080804,0.315,1.0
080805,0.348,1.0
080806,0.257,1.0
080807,,0.19
080808,,0.0
080809,0.377,0.57
080810,0.128,0.88
080811,0.096,1.0
080812,0.117,0.99
080813,0.116,1.0
080814,0.098,0.7
080815,,0.04
080816,,0.2
080817,,
080818,0.216,0.57
080819,,0.36
080820,,0.0
080821,0.286,0.66
080822,0.237,0.93
080823,0.427:,0.43
080824,0.328,1.0
080825,0.113,1.0
080826,0.114,1.0
080827,0.102,1.0
080828,0.110,1.0
080829,0.260,1.0
080830,0.244,1.0
080831,0.171:,0.16
080901,0.242,1.0
080902,0.152,1.0
080903,0.102,1.0
080904,0.130,1.0
080905,,0.0
080906,,0.0
080907,0.232:,0.8
080908,,
080909,,0.83
080910,0.098,1.0
080911,,0.0
080912,0.094,1.0
080913,0.105,0.77
080914,,0.16
080915,0.102,0.83
080916,,0.0
080917,,1.0
080918,,
080919,0.114,0.97
080920,,0.94
080921,0.098,1.0
080922,0.103,1.0
080923,0.099,1.0
080924,,0.0
080925,,
080926,,
080927,,
080928,,0.0
080929,,1.0
080930,,1.0
081001,,
081002,,0.0
081003,0.108,1.0
081004,0.104,1.0
081005,,0.25
081006,0.107,1.0
081007,0.091,1.0
081008,0.081,0.97
081009,,0.84
081010,,0.26
081011,,0.97
081012,0.113,1.0
081013,0.107,1.0
081014,0.088,1.0
081015,0.109,1.0
081016,0.097,1.0
081017,0.147:,0.12
081018,0.115,1.0
081019,,0.0
081020,0.095,1.0
081021,0.096,0.94
081022,0.094,1.0
081023,,
081024,0.094,1.0
081025,,0.21
081026,,
081027,0.092,1.0
081028,,
081029,,
081030,,
081031,,
081101,,
081102,,
081103,0.096,0.99
081104,,0.0
081105,,0.0
081106,0.097,1.0
081107,,0.16
081108,0.132,0.61
081109,,0.14
081110,,0.0
081111,0.123:,0.47
081112,0.146:,0.34
081113,0.098,0.78
081114,0.130,0.63
081115,0.096,0.79
081116,0.091,1.0
081117,0.098,1.0
081118,0.119,0.95
081119,0.100,1.0
081120,,
081121,,
081122,,0.19
081123,0.091,1.0
081124,0.100,0.66
081125,,0.0
081126,,
081127,0.114:,0.61
081128,0.193:,0.25
081129,0.093,0.94
081130,,0.09
081201,0.097,0.68
081202,,0.0
081203,0.132,0.95
081204,0.146,1.0
081205,,0.18
081206,0.099:,0.14
081207,0.096,0.83
081208,0.111,0.92
081209,0.122,0.6
081210,0.125:,0.47
081211,0.097:,0.33
081212,,0.69
081213,0.095,1.0
081214,,0.66
081215,,
081216,0.093,1.0
081217,0.095,1.0
081218,0.104,0.97
081219,0.093,0.7
081220,0.098,0.97
081221,0.094,0.78
081222,,0.16
081223,,0.0
081224,,
081225,0.090,1.0
081226,,
081227,,0.0
081228,0.087,0.8
081229,,0.0
081230,,1.0
081231,,
090101,0.088,0.97
090102,0.082,1.0
090103,0.083,1.0
090104,0.084,0.99
090105,,
090106,0.092,1.0
090107,,0.0
090108,,0.6
090109,,
090110,0.086,0.53
090111,,0.0
090112,0.107:,0.42
090113,0.091,1.0
090114,0.097,1.0
090115,,
090116,,
090117,,
090118,,
090119,0.091,0.94
090120,0.085,0.99
090121,0.093,0.58
090122,0.129:,0.33
090123,0.098,1.0
090124,0.083,1.0
090125,0.092,0.68
090126,0.084,0.55
090127,0.084,1.0
090128,0.085,0.95
090129,0.089,0.92
090130,0.092,0.63
090131,0.137,0.54
090201,,0.0
090202,,
090203,,
090204,,
090205,,
090206,,
090207,,
090208,,
090209,,0.0
090210,0.089,0.55
090211,0.092,0.83
090212,0.090,0.54
090213,0.099,1.0
090214,,
090215,,
090216,0.153,1.0
090217,0.127,0.73
090218,,1.0
090219,,
090220,,
090221,,
090222,,
090223,,
090224,,
090225,,
090226,,
090227,,
090228,,
090301,,
090302,,
090303,,
090304,,
090305,,
090306,,
090307,,
090308,,
090309,,
090310,,
090311,,
090312,,
090313,,
090314,,
090315,,
090316,,
090317,,0.0
090318,0.116,0.77
090319,0.104,1.0
090320,0.091,0.93
090321,0.089,1.0
090322,0.088,0.99
090323,0.096,1.0
090324,,
090325,,
090326,,
090327,,
090328,,0.12
090329,0.093,0.99
090330,0.099,1.0
090331,0.117,0.85
090401,0.093,1.0
090402,0.089,1.0
090403,0.098,1.0
090404,0.143,1.0
090405,0.088,1.0
090406,0.105,1.0
090407,,0.0
090408,,0.44
090409,,0.0
090410,0.100,0.55
090411,,0.0
090412,0.124,1.0
090413,0.114,0.53
090414,0.103,1.0
090415,0.111:,0.18
090416,0.103,1.0
090417,,0.0
090418,0.100,0.66
090419,0.101,0.87
090420,0.097,0.91
090421,,0.0
090422,0.091:,0.87
090423,0.091,0.99
090424,,0.15
090425,,0.0
090426,,0.21
090427,0.122,1.0
090428,0.102,1.0
090429,0.097,0.74
090430,,0.0
090501,0.127,1.0
090502,0.106,0.8
090503,0.091,1.0
090504,0.091,1.0
090505,0.084,1.0
090506,0.097,0.95
090507,,0.0
090508,,0.1
090509,0.100,0.54
090510,,0.0
090511,0.098,0.56
090512,0.104,0.77
090513,0.101,0.52
090514,0.100,1.0
090515,,0.34
090516,0.091,0.91
090517,0.093,1.0
090518,0.099,1.0
090519,0.090,1.0
090520,0.111:,0.49
090521,0.087,1.0
090522,0.094,1.0
090523,0.116:,0.39
090524,0.094,0.67
090525,0.092,0.97
090526,0.086,0.74
090527,0.085,0.97
090528,0.082,0.97
090529,0.085,0.97
090530,0.086,1.0
090531,0.084,1.0
090601,0.088,0.72
090602,0.085,1.0
090603,0.087,1.0
090604,0.098,0.65
090605,0.086,0.72
090606,0.093:,0.48
090607,0.097:,0.45
090608,0.075,0.88
090609,0.064,0.95
090610,0.068,0.91
090611,0.127,0.86
090612,0.141:,0.23
090613,0.104,1.0
090614,0.106,1.0
090615,,0.52
090616,,
090617,,0.0
090618,0.092,0.96
090619,0.087,1.0
090620,0.087,1.0
090621,0.091:,0.38
090622,0.126,0.96
090623,0.164,1.0
090624,0.069,1.0
090625,0.079,1.0
090626,0.068,1.0
090627,0.126,1.0
090628,,0.99
090629,0.074,1.0
090630,0.066,1.0
090701,0.070,1.0
090702,0.057,1.0
090703,0.049,1.0
090704,0.075,1.0
090705,,0.25
090706,,0.22
090707,0.146,0.68
090708,0.111,0.57
090709,,0.49
090710,,0.0
090711,,
090712,0.084,1.0
090713,0.080,1.0
090714,0.073,0.92
090715,0.220,1.0
090716,0.305,1.0
090717,,0.5
090718,0.180,1.0
090719,0.197,1.0
090720,0.310:,0.91
090721,0.542,0.91
090722,0.243,1.0
090723,0.438:,0.9
090724,0.306,1.0
090725,0.274,1.0
090726,0.508:,0.96
090727,0.200,1.0
090728,0.216,1.0
090729,0.340,0.73
090730,,0.31
090731,,0.52
090801,0.355:,0.36
090802,0.106,0.96
090803,0.086,1.0
090804,0.084,0.96
090805,,0.19
090806,,0.0
090807,,
090808,0.119,1.0
090809,0.112,1.0
090810,0.106,1.0
090811,0.095,1.0
090812,0.096,0.72
090813,0.093,1.0
090814,0.097,1.0
090815,0.092,1.0
090816,0.124,1.0
090817,0.095,1.0
090818,0.169,1.0
090819,0.342,0.98
090820,0.256,1.0
090821,0.143,1.0
090822,0.092,1.0
090823,,
090824,0.336,0.99
090825,0.164,1.0
090826,0.104,1.0
090827,,
090828,0.103,0.86
090829,0.248:,0.18
090830,,0.0
090831,0.371:,0.45
090901,0.128:,0.49
090902,0.099,0.91
090903,0.108:,0.37
090904,,0.25
090905,0.093,1.0
090906,,0.23
090907,,0.0
090908,0.249,1.0
090909,0.158,1.0
090910,0.128,0.77
090911,,0.0
090912,0.105,1.0
090913,0.104,1.0
090914,,0.23
090915,,0.48
090916,,0.0
090917,,0.0
090918,,0.0
090919,,0.0
090920,,0.0
090921,,1.0
090922,0.260:,0.71
090923,0.107,1.0
090924,0.101,1.0
090925,0.098,0.97
090926,0.093,1.0
090927,,0.89
090928,,
090929,,0.0
090930,,
091001,0.148,0.6
091002,,
091003,,
091004,,
091005,,
091006,,
091007,0.096,1.0
091008,0.100,0.96
091009,0.099,1.0
091010,0.103:,0.38
091011,0.121,0.73
091012,,
091013,,
091014,0.105,1.0
091015,0.121,0.82
091016,0.124,0.99
091017,0.115:,0.49
091018,,
091019,,1.0
091020,,
091021,0.088,1.0
091022,0.095,1.0
091023,0.094,1.0
091024,0.099,1.0
091025,0.099,0.94
091026,0.144:,0.24
091027,0.123:,0.57
091028,,
091029,0.102,1.0
091030,0.107,0.94
091031,0.094,1.0
091101,0.096,0.94
091102,0.105,0.57
091103,,
091104,0.110,0.94
091105,,
091106,0.097,1.0
091107,,
091108,0.106,0.97
091109,,
091110,,
091111,0.088,0.97
091112,0.092,0.93
091113,0.084,0.97
091114,0.085,1.0
091115,,
091116,,
091117,,
091118,,
091119,,
091120,0.097,0.97
091121,0.182:,0.33
091122,,0.0
091123,0.111:,0.42
091124,0.089,1.0
091125,0.119:,0.93
091126,0.130,0.63
091127,0.107,0.97
091128,0.119,0.95
091129,0.093,0.92
091130,,0.63
091201,0.092,0.52
091202,0.093,0.67
091203,0.094,1.0
091204,0.086,1.0
091205,0.092,1.0
091206,0.090,1.0
091207,0.103,0.97
091208,0.090,1.0
091209,,
091210,,0.0
091211,,
091212,,
091213,,
091214,,
091215,,0.8
091216,,
091217,,
091218,,
091219,,
091220,,
091221,,
091222,,
091223,,
091224,,
091225,,0.0
091226,0.102:,0.19
091227,,
091228,,
091229,,
091230,0.079,0.87
091231,0.070,1.0
100101,0.075,0.81
100102,,0.1
100103,0.092,1.0
100104,0.103,1.0
100105,0.114,1.0
100106,,
100107,0.083,1.0
100108,,
100109,,
100110,0.089,1.0
100111,0.095,0.77
100112,0.107:,0.71
100113,,
100114,0.097:,0.46
100115,0.083,1.0
100116,0.086,0.86
100117,0.155,0.82
100118,0.107:,0.46
100119,0.084,1.0
100120,0.083,0.97
100121,0.090,0.54
100122,0.101,0.8
100123,0.082,1.0
100124,0.084,1.0
100125,0.086,1.0
100126,0.078,0.79
100127,,0.07
100128,,0.0
100129,,
100130,,
100131,,
100201,,
100202,,
100203,,
100204,,
100205,0.077,1.0
100206,0.128,0.67
100207,,
100208,0.085,0.93
100209,0.096,0.94
100210,,0.14
100211,,0.0
100212,0.103:,0.49
100213,,0.1
100214,,
100215,,
100216,,
100217,,
100218,,
100219,,
100220,,
100221,,
100222,,
100223,,0.06
100224,0.095,0.89
100225,,0.0
100226,,
100227,,0.0
100228,0.093,0.87
100301,,
100302,,0.85
100303,0.102,0.72
100304,,
100305,,
100306,,0.0
100307,,0.0
100308,0.092,0.61
100309,,0.08
100310,0.087,1.0
100311,0.103,0.56
100312,0.175:,0.45
100313,0.082,1.0
100314,0.112,0.94
100315,,0.15
100316,,0.03
100317,,0.13
100318,0.308:,0.11
100319,,0.21
100320,,
100321,,
100322,,
100323,0.095,0.6
100324,0.107,1.0
100325,0.109,1.0
100326,0.106:,0.43
100327,0.175:,0.33
100328,,0.0
100329,0.109,0.86
100330,0.103,0.87
100331,0.103,0.97
100401,0.170:,0.22
100402,0.432:,0.34
100403,0.221:,0.5
100404,0.102,1.0
100405,0.161:,0.84
100406,0.161:,0.33
100407,,0.04
100408,,0.0
100409,,0.08
100410,0.098,0.94
100411,0.099,1.0
100412,,
100413,,
100414,,
100415,,
100416,,
100417,,
100418,,
100419,,
100420,,
100421,,
100422,,
100423,,
100424,,
100425,,
100426,,
100427,,
100428,0.144:,0.35
100429,,0.11
100430,0.149:,0.74
100501,0.105,0.54
100502,0.092,1.0
100503,,0.0
100504,0.236:,0.37
100505,0.109,0.7
100506,,
100507,,
100508,,
100509,,
100510,,
100511,,
100512,,
100513,,
100514,,
100515,,
100516,,
100517,,
100518,,
100519,,
100520,,
100521,,
100522,,
100523,,
100524,,
100525,,
100526,,
100527,,
100528,,
100529,,
100530,,
100531,,
100601,,
100602,,
100603,,
100604,,
100605,,
100606,,
100607,,
100608,,
100609,,
100610,,
100611,,
100612,,
100613,,
100614,,
100615,,
100616,,
100617,,
100618,,
100619,,
100620,,
100621,,
100622,,
100623,,
100624,,
100625,,
100626,,
100627,,
100628,,
100629,,
100630,,
100701,0.072,1.0
100702,0.069,0.94
100703,0.069,0.96
100704,0.072,0.92
100705,0.102,0.96
100706,0.088,0.92
100707,0.080,0.96
100708,0.428:,0.55
100709,0.862:,0.29
100710,0.291:,0.94
100711,0.226,0.69
100712,0.220,0.95
100713,0.090,1.0
100714,0.074,0.94
100715,0.073,0.94
100716,0.064,1.0
100717,0.089:,1.0
100718,0.379,0.8
100719,,0.0
100720,,0.0
100721,,
100722,,
100723,,
100724,,
100725,,
100726,0.079,0.96
100727,0.082,1.0
100728,,0.17
100729,,
100730,,
100731,,
100801,,
100802,0.287,1.0
100803,0.446,0.84
100804,0.544,0.69
100805,0.341,0.91
100806,0.100,1.0
100807,0.087,0.96
100808,0.082,1.0
100809,0.129,0.73
100810,,0.08
100811,,0.28
100812,0.236,1.0
100813,0.120,0.92
100814,0.255,1.0
100815,0.250:,0.5
100816,0.271:,0.13
100817,0.098:,0.69
100818,0.091,0.97
100819,0.081,1.0
100820,0.086,1.0
100821,0.144,0.68
100822,0.117,0.71
100823,0.093,1.0
100824,0.147,0.65
100825,0.109,1.0
100826,,0.05
100827,,0.08
100828,0.305,0.81
100829,0.181,1.0
100830,0.203,1.0
100831,,
100901,,
100902,,
100903,0.131,1.0
100904,0.168,1.0
100905,,0.21
100906,0.101,0.72
100907,0.104,1.0
100908,0.099,1.0
100909,,
100910,0.095,0.7
100911,0.094,0.65
100912,0.110,0.75
100913,,0.08
100914,,0.0
100915,,
100916,,
100917,,
100918,,
100919,0.097,0.95
100920,0.093,0.92
100921,,0.0
100922,,
100923,,0.0
100924,,0.0
100925,,0.0
100926,,0.0
100927,,0.0
100928,,0.0
100929,0.090,0.9
100930,0.091,1.0
101001,0.091,1.0
101002,,
101003,0.157,0.5
101004,0.094,1.0
101005,0.092,1.0
101006,0.101,0.89
101007,,1.0
101008,0.091,1.0
101009,0.115,1.0
101010,0.105:,0.44
101011,,
101012,,0.16
101013,0.091,0.97
101014,0.087,1.0
101015,0.090,0.99
101016,0.090,1.0
101017,,0.0
101018,0.133,0.65
101019,,0.0
101020,0.156,0.9
101021,0.097,0.99
101022,0.102,0.78
101023,,0.74
101024,0.085,0.97
101025,0.085,1.0
101026,0.095,0.96
101027,0.096,1.0
101028,0.095,1.0
101029,0.097,0.81
101030,0.091,0.89
101031,,
101101,,
101102,,
101103,,
101104,,
101105,,
101106,,
101107,,
101108,0.088,0.81
101109,0.090,1.0
101110,,0.45
101111,,
101112,,
101113,,
101114,,
101115,,
101116,,
101117,,
101118,0.129,0.86
101119,0.231:,0.17
101120,,0.0
101121,,0.0
101122,0.093,0.64
101123,0.089,1.0
101124,,0.48
101125,,
101126,,
101127,,
101128,,
101129,,
101130,,
101201,,
101202,,
101203,,
101204,,
101205,,
101206,,
101207,,
101208,,
101209,,
101210,,
101211,,
101212,,
101213,0.090,0.65
101214,,0.38
101215,,
101216,,
101217,,
101218,,
101219,,
101220,,
101221,,
101222,,
101223,0.091,1.0
101224,,
101225,,
101226,,
101227,,
101228,,
101229,,
101230,,
101231,,
110101,,
110102,,
110103,,
110104,,
110105,,
110106,,
110107,,
110108,,
110109,,
110110,,
110111,,
110112,,
110113,,
110114,,
110115,,
110116,,
110117,,
110118,,
110119,0.088,0.76
110120,,0.34
110121,,
110122,,
110123,,
110124,,
110125,,
110126,,
110127,,
110128,,
110129,,
110130,,
110131,,
110201,,
110202,0.095,1.0
110203,,0.44
110204,,0.0
110205,,
110206,,
110207,0.098,0.64
110208,,0.04
110209,,
110210,,
110211,,
110212,,
110213,,
110214,,
110215,,
110216,0.079,1.0
110217,0.083,1.0
110218,0.084:,0.39
110219,,0.31
110220,,0.02
110221,,
110222,0.087,1.0
110223,0.085,1.0
110224,0.086,1.0
110225,0.086,1.0
110226,0.085,1.0
110227,0.086,0.97
110228,0.086,1.0
110301,0.091,1.0
110302,0.092,1.0
110303,,
110304,,
110305,,1.0
110306,,
110307,,
110308,,
110309,,
110310,,
110311,,
110312,,
110313,,
110314,,
110315,,
110316,,
110317,,
110318,,
110319,,
110320,,
110321,,
110322,,
110323,,
110324,,
110325,0.117,1.0
110326,0.121,1.0
110327,0.104,1.0
110328,0.117,1.0
110329,0.115,1.0
110330,0.111,0.87
110331,0.094,1.0
110401,0.101,0.51
110402,0.094,0.87
110403,0.093,1.0
110404,0.096,0.97
110405,0.099:,0.32
110406,0.094,1.0
110407,0.106,0.71
110408,0.098,1.0
110409,0.104,1.0
110410,0.094,1.0
110411,0.090,1.0
110412,0.090,1.0
110413,0.094,1.0
110414,0.125,0.56
110415,,1.0
110416,,
110417,,
110418,,
110419,,1.0
110420,,
110421,,
110422,,
110423,,
110424,,
110425,,0.29
110426,0.104,0.97
110427,,
110428,,
110429,,
110430,,
110501,,
110502,0.102:,0.36
110503,0.095,1.0
110504,0.092,1.0
110505,,0.0
110506,0.096,1.0
110507,0.102,1.0
110508,0.089,0.88
110509,0.111,0.71
110510,0.105,1.0
110511,0.182,1.0
110512,0.131,1.0
110513,0.100,0.54
110514,0.107,1.0
110515,0.095,0.62
110516,0.104,0.68
110517,0.094,0.62
110518,0.096,0.84
110519,,
110520,,
110521,0.087,1.0
110522,0.087,0.64
110523,,0.03
110524,,0.18
110525,0.095,1.0
110526,0.093,1.0
110527,0.089,1.0
110528,0.085,1.0
110529,0.091:,0.46
110530,0.088,0.59
110531,0.091,0.75
110601,0.085,0.96
110602,0.088,1.0
110603,0.092,1.0
110604,,
110605,,
110606,0.091,0.91
110607,0.086,0.94
110608,,
110609,0.138,0.69
110610,,
110611,,
110612,,
110613,,
110614,,
110615,,
110616,,
110617,,
110618,,
110619,,
110620,,
110621,,
110622,,
110623,,
110624,,
110625,,
110626,,
110627,,
110628,,
110629,,
110630,,
110701,,
110702,,
110703,,
110704,,
110705,,
110706,,
110707,,
110708,,
110709,,
110710,,
110711,,
110712,,
110713,,
110714,,
110715,,
110716,,
110717,,
110718,,
110719,0.081,0.89
110720,0.087,1.0
110721,0.087,1.0
110722,0.089,1.0
110723,0.087,1.0
110724,0.098,1.0
110725,0.096,1.0
110726,,
110727,,
110728,,
110729,,
110730,,
110731,,
110801,,
110802,,
110803,,
110804,,
110805,,
110806,,
110807,,
