night,ext_r,f_phot
031115,0.074,0.97
031116,0.080,1.0
031117,0.083,1.0
031118,0.080,1.0
031119,,
031120,,
031121,,
031122,,
031123,,
031124,,0.79
031125,0.083,1.0
031126,0.101,0.74
031127,0.089,1.0
031128,0.097,1.0
031129,0.084,1.0
031130,0.087,1.0
031201,,
031202,0.124:,1.0
031203,0.085,1.0
031204,,
031205,0.079,1.0
031206,0.084,0.54
031207,0.074,1.0
031208,0.125,0.7
031209,,0.33
031210,,0.03
031211,,0.2
031212,0.116,0.99
031213,0.082,0.56
031214,0.080,1.0
031215,0.086,1.0
031216,0.081,1.0
031217,0.086,0.96
031218,,0.0
031219,,0.0
031220,,0.11
031221,,0.28
031221,0.159:,0.28
031222,,0.28
031222,0.186:,0.28
031223,,
031224,,0.06
031225,,0.0
031226,,0.0
031227,0.124,0.67
031228,0.069,1.0
031229,0.152:,1.0
031230,0.252:,0.3
031231,0.073,0.98
040101,,0.17
040102,0.083,1.0
040103,0.077,0.99
040104,0.109,0.77
040105,,
040106,,0.31
040107,0.081,0.93
040108,0.103,0.99
040109,,0.23
040110,0.108:,0.41
040111,,
040112,0.081,1.0
040113,0.077,0.99
040114,0.083,0.89
040115,0.083,0.9
040116,0.067:,0.71
040117,0.093,1.0
040118,0.075,1.0
040119,0.124:,0.41
040120,0.098,0.87
040121,0.095,0.55
040122,0.078,0.99
040123,0.067,1.0
040124,0.071,1.0
040125,0.077,1.0
040126,0.076,1.0
040127,0.101:,0.41
040128,0.092:,1.0
040129,0.074,0.96
040130,0.102,0.52
040131,,0.0
040201,0.080,1.0
040202,0.072,1.0
040203,0.070,0.88
040204,0.220:,0.82
040205,0.109:,0.26
040206,0.088:,0.4
040207,,0.0
040208,0.171:,0.17
040209,0.128:,0.43
040210,0.098,1.0
040211,0.133,1.0
040212,0.095,0.81
040213,0.183,0.97
040214,0.147,0.82
040215,0.106:,0.21
040216,0.212:,0.52
040217,0.170,1.0
040218,,0.0
040219,,
040220,,
040221,,
040222,,
040223,,
040224,,
040225,,
040226,,0.12
040227,,
040228,0.089,1.0
040229,0.097,0.79
040301,0.098,0.97
040302,0.088,1.0
040303,0.091,0.9
040304,0.168:,0.14
040305,0.114,0.75
040306,0.124:,0.32
040307,0.116:,0.33
040308,0.127,0.68
040309,0.119,1.0
040310,0.100,1.0
040311,0.144:,0.45
040312,0.096,0.94
040313,0.091,0.74
040314,0.097,1.0
040315,0.100,1.0
040316,0.100,1.0
040317,0.100,1.0
040318,0.112,0.99
040319,0.096,0.99
040320,0.106,0.96
040321,0.109,1.0
040322,0.359:,0.77
040323,0.557,0.73
040324,0.106,1.0
040325,0.100:,0.8
040326,,
040327,,
040328,,
040329,,
040330,,
040331,0.118,1.0
040401,,
040402,0.158,0.54
040403,0.108,0.75
040404,,0.23
040405,0.134,0.86
040406,0.107,0.72
040407,0.120,1.0
040408,,
040409,,
040410,,
040411,,
040412,,0.6
040413,,0.0
040414,,
040415,,
040416,,
040417,,
040418,0.092,0.92
040419,0.098,0.91
040420,0.089,0.95
040421,0.098,0.92
040422,0.106,0.64
040423,0.092,0.92
040424,0.102,1.0
040425,0.099,1.0
040426,,1.0
040427,,0.0
040428,0.108,0.53
040429,0.125,0.99
040430,,
040501,,
040502,0.103,1.0
040503,0.130,0.81
040504,0.132,0.93
040505,,0.24
040506,0.112,0.91
040507,,
040508,0.127:,1.0
040509,0.110,0.96
040510,0.095,1.0
040511,0.090,0.75
040512,,
040513,0.107,0.93
040514,0.108,0.94
040515,0.115,1.0
040516,0.112,1.0
040517,0.103,1.0
040518,0.087:,0.47
040519,0.091,1.0
040520,0.169:,0.26
040521,,
040522,,
040523,0.142:,0.36
040524,0.172:,0.76
040525,0.106,1.0
040526,0.085,1.0
040527,0.096,1.0
040528,0.094,1.0
040529,0.136,0.86
040530,0.119,1.0
040531,0.094,1.0
040601,0.095,1.0
040602,0.089,0.95
040603,0.286,0.67
040604,0.400,0.61
040605,,
040606,,
040607,,
040608,,
040609,,
040610,0.103,1.0
040611,0.110,0.96
040612,,
040613,,
040614,0.123,0.95
040615,0.105,0.96
040616,,
040617,0.087,0.96
040618,0.101,1.0
040619,0.097,0.95
040620,,
040621,0.105,1.0
040622,0.097,0.95
040623,,
040624,0.097,1.0
040625,0.098,0.94
040626,0.105,1.0
040627,,
040628,,
040629,,
040630,,
040701,,
040702,,
040703,,
040704,,
040705,,
040706,,
040707,0.086,1.0
040708,0.083,1.0
040709,0.088,1.0
040710,0.085,1.0
040711,0.099,0.96
040712,0.087,0.96
040713,0.278,0.96
040714,0.287,0.93
040715,0.173,1.0
040716,0.089,1.0
040717,0.091,0.96
040718,0.087,0.96
040719,0.077,0.69
040720,0.096,0.74
040721,0.125,1.0
040722,0.371,1.0
040723,,
040724,,
040725,,
040726,,
040727,,
040728,0.293:,0.45
040729,0.271,0.53
040730,,0.55
040731,,
040801,,
040802,,
040803,0.113:,0.27
040804,0.114:,0.36
040805,0.096,1.0
040806,0.100,1.0
040807,0.111,1.0
040808,,
040809,0.098,0.95
040810,0.105,1.0
040811,0.105,1.0
040812,0.097,1.0
040813,0.094,1.0
040814,0.274,1.0
040815,0.572:,0.49
040816,,
040817,0.097,1.0
040818,0.094,0.99
040819,0.095,1.0
040820,0.115,1.0
040821,0.097,1.0
040822,0.088,1.0
040823,0.099,1.0
040824,,
040825,,1.0
040826,,
040827,,0.0
040828,,0.0
040829,,0.0
040830,,0.14
040831,0.188:,0.49
040901,0.111,1.0
040902,,
040903,,
040904,0.110,0.85
040905,0.213,0.7
040906,0.239,0.53
040907,0.135,1.0
040908,0.122,1.0
040909,0.132,0.94
040910,0.423,1.0
040911,0.231,1.0
040912,0.174,1.0
040913,0.131,1.0
040914,0.103,1.0
040915,0.111,1.0
040916,0.117,1.0
040917,0.115,1.0
040918,,
040919,,
040920,0.147,1.0
040921,0.233:,0.9
040922,0.184,1.0
040923,,0.41
040924,,0.0
040925,0.275:,0.82
040926,0.149:,0.83
040927,0.108:,0.9
040928,0.105,1.0
040929,0.200,1.0
040930,,0.0
041001,0.217,1.0
041002,0.140,1.0
041003,0.118,0.59
041004,0.114,1.0
041005,0.118,1.0
041006,0.106,0.96
041007,0.113,0.95
041008,,0.0
041009,0.116,1.0
041010,,0.47
041011,,0.0
041012,,
041013,,
041014,,
041015,0.108,0.88
041016,0.327:,0.49
041017,,
041018,,0.0
041019,,
041020,0.106,0.93
041021,0.107,1.0
041022,0.096,1.0
041023,0.219,0.95
041024,0.182,0.98
041025,0.197:,0.55
041026,0.208,0.67
041027,,1.0
041028,,
041029,,
041030,0.097,1.0
041031,0.103,0.99
041101,,0.0
041102,0.250:,0.4
041103,0.134,0.76
041104,0.112,1.0
041105,0.110,1.0
041106,,
041107,,
041108,,
041109,,
041110,,
041111,,0.33
041112,,0.0
041113,,0.89
041114,0.092,1.0
041115,0.095,1.0
041116,,0.08
041117,,0.15
041118,,0.04
041119,,0.0
041120,0.111,0.99
041121,0.100,1.0
041122,0.115,0.64
041123,,0.19
041124,,0.0
041125,,0.0
041126,,0.0
041127,,0.0
041128,,0.0
041129,,
041130,,1.0
041201,0.092,1.0
041202,,
041203,,
041204,0.102,0.99
041205,0.092,0.91
041206,0.087,0.98
041207,0.086,0.99
041208,0.084,0.99
041209,0.098,0.99
041210,,1.0
041211,0.103,0.98
041212,,
041213,,
041214,,
041215,,
041216,,
041217,0.103,0.99
041218,0.096,0.72
041219,0.095,0.99
041220,0.091,0.95
041221,,
041222,,
041223,,
041224,0.099,1.0
041225,0.088,0.86
041226,,
041227,0.082:,0.4
041228,0.091,0.99
041229,0.092,0.99
041230,0.088,0.99
041231,0.094,0.99
050101,0.088,0.99
050102,0.089,1.0
050103,0.095,0.99
050104,0.086,0.99
050105,0.082,0.82
050106,0.114,0.76
050107,0.108,0.99
050108,0.102,1.0
050109,0.110,0.99
050110,0.096,1.0
050111,0.094,1.0
050112,0.086,0.97
050113,0.084,1.0
050114,0.088,1.0
050115,0.109:,0.35
050116,,
050117,,
050118,,
050119,,
050120,,
050121,,0.0
050122,0.094,1.0
050123,0.082,0.81
050124,0.095,0.84
050125,0.091,1.0
050126,,
050127,,
050128,,
050129,,
050130,,
050131,,
050201,,
050202,,
050203,,
050204,,
050205,,
050206,,
050207,,
050208,,
050209,,
050210,,
050211,,
050212,,
050213,,
050214,,
050215,,
050216,,
050217,,
050218,,
050219,,
050220,,
050221,,
050222,,
050223,,
050224,,
050225,,
050226,,
050227,,
050228,,
050301,,
050302,,
050303,,
050304,,
050305,,
050306,,
050307,0.112:,0.35
050308,0.213:,0.39
050309,,0.32
050310,,0.0
050311,0.074,0.8
050312,0.104:,1.0
050313,,1.0
050314,0.088,0.85
050315,,0.15
050316,,0.04
050317,0.107:,0.74
050318,,0.0
050319,,0.03
050320,0.080,1.0
050321,0.112,0.96
050322,0.093,0.56
050323,0.081,0.72
050324,0.069,1.0
050325,0.070,1.0
050326,0.082,1.0
050327,0.095,0.95
050328,0.098,1.0
050329,0.076,0.96
050330,,0.04
050331,0.086:,0.44
050401,0.060,1.0
050402,0.072,1.0
050403,0.090:,0.23
050404,0.078,1.0
050405,,1.0
050406,0.077,1.0
050407,0.078:,1.0
050408,0.081,1.0
050409,,0.28
050410,0.148:,0.82
050411,0.127:,1.0
050412,,0.65
050413,0.315:,1.0
050414,0.087,1.0
050415,,
050416,0.104,1.0
050417,0.094,1.0
050418,,
050419,0.094,0.98
050420,0.101,0.65
050421,,0.2
050422,0.083,0.84
050423,0.107:,0.28
050424,0.144:,0.12
050425,,0.05
050426,0.101,0.95
050427,0.107,0.59
050428,0.089,0.95
050429,0.092,1.0
050430,0.085,1.0
050501,0.070,1.0
050502,0.097,1.0
050503,0.344,0.95
050504,0.287:,0.35
050505,0.197,1.0
050506,0.196,1.0
050507,0.178,1.0
050508,0.098,1.0
050509,,0.0
050510,0.098:,0.99
050511,0.093,1.0
050512,,0.0
050513,,0.0
050514,,0.0
050515,,0.0
050516,,0.0
050517,0.099:,0.68
050518,0.099,1.0
050519,0.094:,0.32
050520,,0.34
050521,,0.19
050522,0.122,0.69
050523,,0.26
050524,,0.29
050525,,0.0
050526,0.103,1.0
050527,,0.15
050528,0.095,1.0
050529,0.094,0.67
050530,0.090,1.0
050531,0.098,0.99
050601,0.089,1.0
050602,0.085,1.0
050603,0.084,1.0
050604,0.084,1.0
050605,0.090,1.0
050606,0.168,1.0
050607,0.161:,0.66
050608,0.098,1.0
050609,,0.32
050610,0.085,1.0
050611,0.090,1.0
050612,0.089,1.0
050613,0.095,1.0
050614,0.087,1.0
050615,0.084,1.0
050616,0.092:,0.66
050617,,0.01
050618,0.253:,0.49
050619,0.110,0.96
050620,,0.34
050621,,
050622,0.143,0.58
050623,,0.04
050624,,
050625,,0.07
050626,0.092,1.0
050627,0.083,1.0
050628,0.074,1.0
050629,0.076,1.0
050630,0.080,1.0
050701,0.078,1.0
050702,0.085,1.0
050703,0.084,1.0
050704,0.087,1.0
050705,0.099,1.0
050706,0.078,1.0
050707,0.076,1.0
050708,0.076,1.0
050709,0.075,1.0
050710,0.070,1.0
050711,0.081,1.0
050712,0.210,1.0
050713,0.220,1.0
050714,0.094,1.0
050715,0.172,1.0
050716,0.198:,0.35
050717,0.287,0.75
050718,0.228,0.89
050719,,0.29
050720,,0.0
050721,,0.21
050722,0.231:,0.36
050723,0.083,1.0
050724,0.101,1.0
050725,0.151,1.0
050726,,
050727,,0.0
050728,0.095:,0.94
050729,,
050730,0.088,1.0
050731,0.088,1.0
050801,0.092,1.0
050802,0.093,1.0
050803,0.084,1.0
050804,0.087,1.0
050805,0.089,1.0
050806,0.177,1.0
050807,0.172,1.0
050808,0.109,0.97
050809,0.096,1.0
050810,0.122,0.96
050811,0.090,0.96
050812,0.101,1.0
050813,,0.0
050814,0.091,1.0
050815,0.088,1.0
050816,0.087,1.0
050817,,0.0
050818,,
050819,,0.0
050820,,
050821,,
050822,,
050823,,
050824,,
050825,,
050826,,
050827,,
050828,,
050829,0.370,0.96
050830,0.467,0.64
050831,0.459,0.94
050901,0.538,0.73
050902,0.498:,0.37
050903,0.337,0.8
050904,0.300,1.0
050905,0.243,1.0
050906,,
050907,,
050908,,
050909,,
050910,,
050911,,
050912,0.103,1.0
050913,,1.0
050914,0.105,1.0
050915,0.111:,1.0
050916,0.105,1.0
050917,0.105,1.0
050918,0.114,1.0
050919,0.131,0.9
050920,0.104,1.0
050921,,0.2
050922,0.109,0.99
050923,0.120,1.0
050924,0.104,1.0
050925,0.102,1.0
050926,0.114:,0.37
050927,,0.03
050928,0.143,0.79
050929,0.211,1.0
050930,,0.06
051001,,0.0
051002,0.125:,0.88
051003,0.108,1.0
051004,0.117,1.0
051005,0.153,0.56
051006,,0.0
051007,,
051008,,
051009,,
051010,0.103,1.0
051011,0.122:,0.29
051012,,0.14
051013,0.106,0.6
051014,,
051015,,
051016,,
051017,,0.05
051018,0.101,0.97
051019,0.118,1.0
051020,0.114,0.9
051021,,
051022,0.111,0.99
051023,0.104,0.97
051024,0.099,0.95
051025,0.105:,0.34
051026,,0.0
051027,0.103,1.0
051028,0.101,0.99
051029,,0.4
051030,,0.0
051031,0.177:,0.61
051101,0.102,1.0
051102,0.099,1.0
051103,0.124:,0.5
051104,0.103,1.0
051105,0.127,0.81
051106,0.105,1.0
051107,0.157:,0.27
051108,,0.0
051109,0.212:,0.5
051110,0.108,0.62
051111,,0.52
051112,0.105,1.0
051113,,
051114,,
051115,,0.0
051116,,0.19
051117,0.124,0.82
051118,0.110:,0.43
051119,0.116:,0.36
051120,0.102,1.0
051121,,0.0
051122,,0.51
051123,,0.37
051124,,0.04
051125,0.191:,0.28
051126,,0.0
051127,,
051128,,
051129,,
051130,0.196:,0.37
051201,0.118:,0.38
051202,0.168:,0.18
051203,0.114:,0.39
051204,0.104,0.6
051205,,0.0
051206,0.112,0.99
051207,0.109,0.85
051208,0.105,1.0
051209,0.138,0.85
051210,0.116,0.7
051211,,0.0
051212,,0.0
051213,0.107,1.0
051214,0.098,0.98
051215,,0.0
051216,0.101:,0.63
051217,,1.0
051218,,0.03
051219,,
051220,,
051221,0.107,1.0
051222,,0.0
051223,0.106,1.0
051224,0.109,0.53
051225,,0.0
051226,0.101,0.66
051227,,
051228,,
051229,0.095,1.0
051230,0.199:,0.39
051231,,0.17
060101,0.094:,0.68
060102,0.097,0.72
060103,0.096,0.94
060104,,
060105,0.097,1.0
060106,0.095:,1.0
060107,0.094,0.98
060108,,
060109,,
060110,,
060111,,
060112,,
060113,,
060114,0.102,1.0
060115,,1.0
060116,,
060117,,
060118,,
060119,,
060120,,0.0
060121,0.097,1.0
060122,,0.0
060123,,0.35
060124,,
060125,,
060126,,
060127,,
060128,0.090,1.0
060129,0.097,1.0
060130,0.103,1.0
060131,,0.0
060201,,
060202,,
060203,,
060204,,
060205,0.094,1.0
060206,,0.0
060207,,
060208,,
060209,,
060210,,
060211,,
060212,,
060213,0.093:,0.5
060214,,1.0
060215,0.093,1.0
060216,0.095,1.0
060217,0.097,1.0
060218,0.105:,0.32
060219,0.096,0.59
060220,0.096,1.0
060221,0.091,1.0
060222,0.086,1.0
060223,0.097:,0.45
060224,0.090,1.0
060225,,1.0
060226,0.131,0.53
060227,,
060228,,
060301,,
060302,0.087,1.0
060303,0.094,1.0
060304,0.095,1.0
060305,0.091,1.0
060306,0.086,1.0
060307,0.088,1.0
060308,0.082,1.0
060309,0.089,1.0
060310,0.083,1.0
060311,0.092,1.0
060312,0.131,0.74
060313,0.098,0.95
060314,0.097,0.93
060315,0.097,1.0
060316,,
060317,,
060318,0.089,1.0
060319,0.094,0.98
060320,0.089,1.0
060321,0.098:,0.32
060322,0.090,0.97
060323,0.103,0.69
060324,0.087,0.8
060325,0.135:,0.33
060326,,0.0
060327,0.090,0.79
060328,0.081,1.0
060329,,0.29
060330,0.362,0.54
060331,0.535:,0.35
060401,0.262,1.0
060402,,0.17
060403,0.103,0.56
060404,,0.0
060405,0.082:,0.48
060406,0.091,1.0
060407,0.097,0.96
060408,,0.79
060409,0.105:,0.37
060410,0.081,1.0
060411,0.099:,0.48
060412,,0.0
060413,,
060414,0.089:,0.11
060415,0.097,0.97
060416,,0.0
060417,0.105,1.0
060418,0.130,0.85
060419,0.136,1.0
060420,0.133,1.0
060421,,
060422,0.104,1.0
060423,0.094,1.0
060424,0.094,1.0
060425,0.106,0.97
060426,0.137,0.93
060427,0.111,0.96
060428,0.119,0.94
060429,0.111,0.95
060430,0.098,0.93
060501,,0.0
060502,0.084,0.83
060503,0.105,0.93
060504,,
060505,0.098,1.0
060506,0.113,0.68
060507,0.101,1.0
060508,0.096:,0.44
060509,,0.0
060510,0.105,1.0
060511,0.085,1.0
060512,0.095,0.97
060513,0.092,0.93
060514,0.093,0.94
060515,0.102,0.99
060516,0.222:,0.82
060517,0.101,0.94
060518,0.088,0.96
060519,0.087,0.99
060520,0.096,0.95
060521,0.087,0.99
060522,0.077,0.99
060523,0.085,1.0
060524,0.080,1.0
060525,0.074,0.99
060526,0.085,1.0
060527,0.122,1.0
060528,0.136,0.98
060529,0.124,1.0
060530,0.116,1.0
060531,0.085,0.98
060601,0.095,0.97
060602,0.083,0.67
060603,0.094:,0.46
060604,0.082,1.0
060605,0.089,1.0
060606,0.097,1.0
060607,0.095,1.0
060608,0.082,1.0
060609,0.074,0.91
060610,0.070,0.9
060611,0.070,0.85
060612,0.087,0.57
060613,0.086,0.83
060614,,
060615,0.081,1.0
060616,0.099,1.0
060617,0.094,0.94
060618,0.087,1.0
060619,0.081,1.0
060620,,
060621,0.085,1.0
060622,,
