# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  aug2004b 0223  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0223o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0224  1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  aug2004b 0224o 1 2004-08-23 24.47   23.85   21.33   24.47   23.85   21.33   0.0     0.0     0.0     0.62    3.14   
  jul2007  0226  1 2007-06-30 24.64   23.98   21.5    24.58   23.92   21.44   -0.06   -0.06   -0.06   0.66    3.14   
  jul2007  0226o 1 2007-06-30 24.64   23.98   21.5    24.58   23.92   21.44   -0.06   -0.06   -0.06   0.66    3.14   
  nov2008  0332  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0332o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0333  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0333o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0334  1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  nov2008  0334o 1 2008-11-23 24.62   23.98   21.48   24.61   23.97   21.47   -0.01   -0.01   -0.01   0.64    3.14   
  jul2007  0357  1 2007-06-30 24.64   23.98   21.5    24.58   23.92   21.44   -0.06   -0.06   -0.06   0.66    3.14   
  jul2007  0357o 1 2007-06-30 24.64   23.98   21.5    24.58   23.92   21.44   -0.06   -0.06   -0.06   0.66    3.14   
  sep2005  0365  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0365o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0366  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0366o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0367  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0367o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0369  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0369o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0371  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0371o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0372  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0372o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0373  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0373o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0374  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0374o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0377  1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0377o 1 2005-09-17 24.57   23.9    21.43   24.54   23.87   21.4    -0.03   -0.03   -0.03   0.67    3.14   
  sep2005  0381  1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0381o 1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0382  1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0382o 1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0383  1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0383o 1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0384  1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0384o 1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0390  1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  sep2005  0390o 1 2005-09-18 24.54   23.9    21.4    24.54   23.9    21.4    0.0     0.0     0.0     0.64    3.14   
  oct2003  0532  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0532o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0533  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0533o 1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
  oct2003  0534  1 2003-10-16 24.52   23.92   21.38   24.51   23.91   21.37   -0.01   -0.01   -0.01   0.6     3.14   
