field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,f_outliers_5p,f_outliers_10p,f_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0078,iphas_nov2006c,427,291,77,0,68.149882904,18.0327868852,0.0,116,243,122,1,72,6,0,0,0,0.313385009766,0.225595474243,0.262744903564,0.0404917740988,0.0681961392539,0.0447276696743,newmerges/iphas_nov2006c/intphas_0078_mercat.fits,newmerges/iphas_nov2006c/intphas_0078o_mercat.fits
0079,iphas_aug2004a,1188,199,8,0,16.7508417508,0.673400673401,0.0,13,153,60,0,8,0,0,0,0,0.00438070297241,-0.00276565551758,0.00222301483154,0.0193024849485,0.031552332561,0.0258170459004,newmerges/iphas_aug2004a/intphas_0079_mercat.fits,newmerges/iphas_aug2004a/intphas_0079o_mercat.fits
0079,iphas_oct2006b,1836,213,4,1,11.6013071895,0.217864923747,0.0544662309368,17,34,183,2,1,2,0,0,1,-0.000363349914551,-0.00694370269775,0.00425243377686,0.018142775084,0.0186648923974,0.0307250794245,newmerges/iphas_oct2006b/intphas_0079_mercat.fits,newmerges/iphas_oct2006b/intphas_0079o_mercat.fits
0080,iphas_aug2004a,1087,221,6,0,20.3311867525,0.551977920883,0.0,26,170,73,0,4,2,0,0,0,0.00475120544434,-0.00408744812012,-0.00628852844238,0.0206993232893,0.0318389447296,0.0280782098055,newmerges/iphas_aug2004a/intphas_0080_mercat.fits,newmerges/iphas_aug2004a/intphas_0080o_mercat.fits
0080,iphas_oct2005b,1533,93,4,1,6.06653620352,0.260926288324,0.0652315720809,19,20,70,0,2,2,0,0,1,-0.00557899475098,-0.00372886657715,-0.00364875793457,0.0198110271161,0.0184077223069,0.0253511928781,newmerges/iphas_oct2005b/intphas_0080_mercat.fits,newmerges/iphas_oct2005b/intphas_0080o_mercat.fits
0081,iphas_aug2004a,1213,240,11,0,19.7856553998,0.906842539159,0.0,13,174,115,0,7,5,0,0,0,-0.0121641159058,0.0411748886108,-0.000532150268555,0.0188139995979,0.0328284332487,0.0290537635404,newmerges/iphas_aug2004a/intphas_0081_mercat.fits,newmerges/iphas_aug2004a/intphas_0081o_mercat.fits
0081,iphas_oct2006b,1843,233,11,0,12.6424308193,0.596852957135,0.0,33,49,185,1,4,7,0,0,0,-0.00582695007324,-0.0103359222412,0.000860214233398,0.0191544540067,0.0203497440408,0.031496422811,newmerges/iphas_oct2006b/intphas_0081_mercat.fits,newmerges/iphas_oct2006b/intphas_0081o_mercat.fits
0082,iphas_aug2004a,304,37,2,1,12.1710526316,0.657894736842,0.328947368421,1,15,25,0,1,2,0,0,1,-0.00886249542236,-0.00344657897949,0.00174760818481,0.0168634251619,0.0268729668517,0.0311012460763,newmerges/iphas_aug2004a/intphas_0082_mercat.fits,newmerges/iphas_aug2004a/intphas_0082o_mercat.fits
0083,iphas_aug2004a,497,58,3,0,11.6700201207,0.603621730382,0.0,3,34,33,0,0,3,0,0,0,0.0064525604248,0.00104999542236,0.0055980682373,0.0201687534143,0.0277019957216,0.0286154879634,newmerges/iphas_aug2004a/intphas_0083_mercat.fits,newmerges/iphas_aug2004a/intphas_0083o_mercat.fits
0083,iphas_nov2012,752,133,2,0,17.6861702128,0.265957446809,0.0,11,66,68,0,1,1,0,0,0,0.0277280807495,-0.00145959854126,0.00150871276855,0.0223483821677,0.0261645091386,0.03125207468,newmerges/iphas_nov2012/intphas_0083_mercat.fits,newmerges/iphas_nov2012/intphas_0083o_mercat.fits
0084,iphas_aug2004a,677,75,2,0,11.0782865583,0.295420974889,0.0,10,51,21,1,1,0,0,0,0,-0.00565147399902,-0.000139236450195,-0.00917530059814,0.0207422214924,0.0269495049552,0.0230108042776,newmerges/iphas_aug2004a/intphas_0084_mercat.fits,newmerges/iphas_aug2004a/intphas_0084o_mercat.fits
